"","MouseID","DPI","ID","X","Y"
"1","Td33","30D",30143,1988,3235.1
"2","Td33","30D",30621,1394.8,3307.3
"3","Td33","30D",28399,2052.6,2998.7
"4","Td33","30D",30701,1319.6,3319.2
"5","Td33","30D",15991,1313.7,2994.8
"6","Td33","30D",29096,1233,3104.7
"7","Td33","30D",29499,1293.9,3151.8
"8","Td33","30D",28322,2081.3,2992.2
"9","Td33","30D",16200,1306,3026.2
"10","Td33","30D",29666,1296.7,3172.5
"11","Td33","30D",29388,1277.8,3143.2
"12","Td33","30D",28853,1971.9,3039.2
"13","Td33","30D",34783,2095.6,3053.2
"14","Td33","30D",29255,1266.9,3124
"15","Td33","30D",28844,1213,3045.4
"16","Td33","30D",30575,1414,3293.2
"17","Td33","30D",28866,1978.6,3067.3
"18","Td33","30D",16396,1302.8,3053.9
"19","Td33","30D",28875,1286.2,3077.3
"20","Td33","30D",29171,1989.4,3113.2
"21","Td33","30D",16463,1919.7,3057.6
"22","Td33","30D",28861,1231.8,3047.8
"23","Td33","30D",33992,1671.1,4137.3
"24","Td33","30D",29773,1315.3,3188.2
"25","Td33","30D",32761,1589.4,3773
"26","Td33","30D",28617,1968.1,3019.2
"27","Td33","30D",31085,1430.6,3376.2
"28","Td33","30D",16177,1989.3,3017.6
"29","Td33","30D",29088,1210.9,3102.5
"30","Td33","30D",29150,1973.1,3109.1
"31","Td33","30D",29036,1248.6,3095.8
"32","Td33","30D",56445,2774.6,5610.2
"33","Td33","30D",30182,1795,3234.5
"34","Td33","30D",16322,1199.8,3042.5
"35","Td33","30D",16082,1210.6,3004.5
"36","Td33","30D",30810,1330.2,3335.3
"37","Td33","30D",28668,2124.8,3024.7
"38","Td33","30D",29298,1321.8,3126.1
"39","Td33","30D",33729,1753.6,4046.1
"40","Td33","30D",28868,1934.3,3067.6
"41","Td33","30D",33855,1761.1,4088
"42","Td33","30D",25306,3293.5,2712.4
"43","Td33","30D",32704,1609.7,3754.8
"44","Td33","30D",28872,1336.1,3067.8
"45","Td33","30D",29383,1171.3,3133.8
"46","Td33","30D",34782,2015.7,3037
"47","Td33","30D",40306,2220.3,3648.4
"48","Td33","30D",29263,1352.4,3123
"49","Td33","30D",16938,2793.8,1602
"50","Td33","30D",30281,1375.6,3252.3
"51","Td33","30D",30661,1417.9,3309
"52","Td33","30D",11581,1830.3,2151.2
"53","Td33","30D",1259,1504.3,1414.3
"54","Td33","30D",15491,1759.6,2913.1
"55","Td33","30D",34785,2109.5,3042.2
"56","Td33","30D",31263,1443.4,3403.5
"57","Td33","30D",29796,1992.2,3187.8
"58","Td33","30D",31370,1597.4,3421.3
"59","Td33","30D",10732,1714.3,1920.9
"60","Td33","30D",30219,1776.3,3241.6
"61","Td33","30D",58538,3359.1,5919.4
"62","Td33","30D",30736,1364.4,3322.9
"63","Td33","30D",57573,2565.8,5757.2
"64","Td33","30D",9437,2839.8,1532
"65","Td33","30D",29890,1848.3,3194.4
"66","Td33","30D",40166,3330.2,3631.6
"67","Td33","30D",18947,2766.9,1875.2
"68","Td33","30D",998,1450.3,1329.9
