"","MouseID","DPI","Condition","Class","X","Y"
"1","Td33","30D","MCAO","Positive",2463.2,2835.5
"2","Td33","30D","MCAO","Positive",2097,3088
"3","Td33","30D","MCAO","Positive",1908.5,3482.7
"4","Td33","30D","MCAO","Positive",1583.5,2552.1
"5","Td33","30D","MCAO","Positive",2012,3079.5
"6","Td33","30D","MCAO","Positive",1661.8,2825.1
"7","Td33","30D","MCAO","Positive",1586.2,2588.6
"8","Td33","30D","MCAO","Positive",1750,3710.9
"9","Td33","30D","MCAO","Positive",2536.7,2920.9
"10","Td33","30D","MCAO","Positive",1705.4,3435.6
"11","Td33","30D","MCAO","Positive",1990,3621.8
"12","Td33","30D","MCAO","Positive",1381.9,3057
"13","Td33","30D","MCAO","Positive",1302.9,3095.9
"14","Td33","30D","MCAO","Positive",1964.8,3046.5
"15","Td33","30D","MCAO","Positive",1965,3180.1
"16","Td33","30D","MCAO","Positive",1955.1,4154.8
"17","Td33","30D","MCAO","Positive",1649.8,1208.1
"18","Td33","30D","MCAO","Positive",1515.4,2990.9
"19","Td33","30D","MCAO","Positive",2040.7,3765
"20","Td33","30D","MCAO","Positive",2278.9,3365.2
"21","Td33","30D","MCAO","Positive",1725.7,3269.6
"22","Td33","30D","MCAO","Positive",1650.6,3052.3
"23","Td33","30D","MCAO","Positive",2233.6,3110.6
"24","Td33","30D","MCAO","Positive",2032.3,4109.4
"25","Td33","30D","MCAO","Positive",2724.4,5002.5
"26","Td33","30D","MCAO","Positive",1496.1,3173.7
"27","Td33","30D","MCAO","Positive",1539.8,3229.8
"28","Td33","30D","MCAO","Positive",1653.4,3092.1
"29","Td33","30D","MCAO","Positive",1627.4,2730.2
"30","Td33","30D","MCAO","Positive",3064.6,1390.1
"31","Td33","30D","MCAO","Positive",2115.1,3632.2
"32","Td33","30D","MCAO","Positive",1258.3,2574.4
"33","Td33","30D","MCAO","Positive",2342,2641.4
"34","Td33","30D","MCAO","Positive",2070.6,3658.4
"35","Td33","30D","MCAO","Positive",1723.3,2487.3
"36","Td33","30D","MCAO","Positive",2136.9,3019.1
"37","Td33","30D","MCAO","Positive",2210.6,2571.1
"38","Td33","30D","MCAO","Positive",2009.8,3664
"39","Td33","30D","MCAO","Positive",3040.5,549.63
"40","Td33","30D","MCAO","Positive",1999.5,3918.7
"41","Td33","30D","MCAO","Positive",1972,3300.8
"42","Td33","30D","MCAO","Positive",2292.3,3045.3
"43","Td33","30D","MCAO","Positive",2614.8,2748.7
"44","Td33","30D","MCAO","Positive",2293.3,3468.3
"45","Td33","30D","MCAO","Positive",1196.8,3286.6
"46","Td33","30D","MCAO","Positive",1485,2630.3
"47","Td33","30D","MCAO","Positive",2426.1,1066.2
"48","Td33","30D","MCAO","Positive",1877.9,4456.2
"49","Td33","30D","MCAO","Positive",1970.6,2957.8
"50","Td33","30D","MCAO","Positive",1582.8,3529.6
"51","Td33","30D","MCAO","Positive",1524.5,3466.7
"52","Td33","30D","MCAO","Positive",1905,3429.7
"53","Td33","30D","MCAO","Positive",1680.7,3144.8
"54","Td33","30D","MCAO","Positive",3180.4,2460.3
"55","Td33","30D","MCAO","Positive",2249.9,3435.9
"56","Td33","30D","MCAO","Positive",2624.1,2162.6
"57","Td33","30D","MCAO","Positive",2254,3159.8
"58","Td33","30D","MCAO","Positive",1441.1,3053.7
"59","Td33","30D","MCAO","Positive",2069.2,3526.3
"60","Td33","30D","MCAO","Positive",1437.1,2249.8
"61","Td33","30D","MCAO","Positive",1664.4,3262.3
"62","Td33","30D","MCAO","Positive",2378.4,3212.8
"63","Td33","30D","MCAO","Positive",1925.7,3788.3
"64","Td33","30D","MCAO","Positive",1862.7,4327.8
"65","Td33","30D","MCAO","Positive",1769.6,2860.9
"66","Td33","30D","MCAO","Positive",2017.9,2889.7
"67","Td33","30D","MCAO","Positive",1356.7,3007.2
"68","Td33","30D","MCAO","Positive",1587.5,3738.9
"69","Td33","30D","MCAO","Positive",1535.7,3062.5
"70","Td33","30D","MCAO","Positive",1944.9,3368.9
"71","Td33","30D","MCAO","Positive",2142.9,3736.1
"72","Td33","30D","MCAO","Positive",2033,3227.1
"73","Td33","30D","MCAO","Positive",2037.9,2926
"74","Td33","30D","MCAO","Positive",1916.4,3709.7
"75","Td33","30D","MCAO","Positive",1773.4,4002.8
"76","Td33","30D","MCAO","Positive",1275.9,2521.9
"77","Td33","30D","MCAO","Positive",1979.6,3239.7
"78","Td33","30D","MCAO","Positive",1393.1,2963.3
"79","Td33","30D","MCAO","Positive",1597.8,3131.1
"80","Td33","30D","MCAO","Positive",1544.5,2981.5
"81","Td33","30D","MCAO","Positive",1759.8,2545.6
"82","Td33","30D","MCAO","Positive",2201.4,3843.2
"83","Td33","30D","MCAO","Positive",2278.8,3825.8
"84","Td33","30D","MCAO","Positive",2104,3607.4
"85","Td33","30D","MCAO","Positive",1819.5,2945.1
"86","Td33","30D","MCAO","Positive",1329.9,2619.1
"87","Td33","30D","MCAO","Positive",2106.9,4621.9
"88","Td33","30D","MCAO","Positive",1409.3,2675
"89","Td33","30D","MCAO","Positive",1379.8,3409.7
"90","Td33","30D","MCAO","Positive",3034,390.05
"91","Td33","30D","MCAO","Positive",1978.8,3135
"92","Td33","30D","MCAO","Positive",2075.9,2720.1
"93","Td33","30D","MCAO","Positive",1849.8,3484.2
"94","Td33","30D","MCAO","Positive",2404.4,3217.5
"95","Td33","30D","MCAO","Positive",1559.1,2771.6
"96","Td33","30D","MCAO","Positive",3221.3,1681.5
"97","Td33","30D","MCAO","Positive",1677.2,3308.2
"98","Td33","30D","MCAO","Positive",2470.2,1169.6
"99","Td33","30D","MCAO","Positive",2257.2,3487.6
"100","Td33","30D","MCAO","Positive",2452,917.66
"101","Td33","30D","MCAO","Positive",2014.1,3974.1
"102","Td33","30D","MCAO","Positive",1641.8,4111.3
"103","Td33","30D","MCAO","Positive",2827.7,1914.8
"104","Td33","30D","MCAO","Positive",1221.3,3125.5
"105","Td33","30D","MCAO","Positive",1762,2922.7
"106","Td33","30D","MCAO","Positive",1473.9,2956.8
"107","Td33","30D","MCAO","Positive",1884.6,3025.7
"108","Td33","30D","MCAO","Positive",1758.1,3141.3
"109","Td33","30D","MCAO","Positive",1244.2,1796.9
"110","Td33","30D","MCAO","Positive",1879.7,4280.7
"111","Td33","30D","MCAO","Positive",1221.9,2151.3
"112","Td33","30D","MCAO","Positive",3256.5,2630
"113","Td33","30D","MCAO","Positive",2107.5,3155
"114","Td33","30D","MCAO","Positive",1591.9,4097.3
"115","Td33","30D","MCAO","Positive",1523.3,2881.2
"116","Td33","30D","MCAO","Positive",2418.5,2978.7
