"","MouseID","DPI","ID","X","Y"
"1","Td36","30D",1751,1088.9,2482.2
"2","Td36","30D",3074,755.1,3346.3
"3","Td36","30D",2276,1180.7,2813.6
"4","Td36","30D",816,1089.8,1923.8
"5","Td36","30D",258,1599,1388.4
"6","Td36","30D",2823,724.21,3183.3
"7","Td36","30D",1507,762.99,2333.6
"8","Td36","30D",1481,324,2311.7
"9","Td36","30D",2086,1121.7,2688.8
"10","Td36","30D",2347,773.9,2876.4
"11","Td36","30D",1635,1324.4,2401.3
"12","Td36","30D",2644,1113.2,3056.2
"13","Td36","30D",3399,952.37,3609.5
"14","Td36","30D",1288,1512.1,2226.7
"15","Td36","30D",3207,335.57,3456.7
"16","Td36","30D",1738,1716.8,2471.6
"17","Td36","30D",1115,90.79,2107.7
"18","Td36","30D",1984,640.58,2646.6
"19","Td36","30D",489,1373.1,1635.6
"20","Td36","30D",1256,48.4,2199.6
"21","Td36","30D",1056,988.25,2075.6
"22","Td36","30D",2943,657.32,3243
"23","Td36","30D",3463,931.58,3667.7
"24","Td36","30D",382,193.36,1535
"25","Td36","30D",1778,1225.5,2492.9
"26","Td36","30D",2041,1085.3,2669.6
"27","Td36","30D",2482,1109,2969
"28","Td36","30D",3903,1697.9,4683.1
"29","Td36","30D",107,265.65,1196.5
"30","Td36","30D",2239,1094.7,2792
"31","Td36","30D",2561,1707.2,3026.8
"32","Td36","30D",620,1254.5,1748.4
"33","Td36","30D",1063,1163.2,2079.8
"34","Td36","30D",3747,635.97,4140.1
"35","Td36","30D",2754,1130,3120.1
"36","Td36","30D",11,616.26,877.34
"37","Td36","30D",2467,1411.5,2955.1
"38","Td36","30D",3908,1511.5,4695
"39","Td36","30D",564,1224.3,1691.2
"40","Td36","30D",1633,1101.1,2408.9
"41","Td36","30D",1,563.56,786.51
"42","Td36","30D",452,192.62,1590.8
"43","Td36","30D",3881,1163,4611.9
"44","Td36","30D",856,438.17,1949.8
"45","Td36","30D",3693,353.93,4020.3
"46","Td36","30D",3963,1731.6,4946.5
"47","Td36","30D",539,1076.9,1665.3
"48","Td36","30D",88,1573.3,1165.3
"49","Td36","30D",1535,1433.6,2342.8
"50","Td36","30D",1443,1421,2293.7
"51","Td36","30D",2785,1615.3,3129.9
"52","Td36","30D",3004,1282.1,3294.5
"53","Td36","30D",2476,1594.8,2970
"54","Td36","30D",3000,1536,3289.2
"55","Td36","30D",19,404.82,968.77
"56","Td36","30D",221,191.92,1337.6
"57","Td36","30D",497,989.66,1634
"58","Td36","30D",2593,738.6,3045.5
"59","Td36","30D",3231,828.38,3459
"60","Td36","30D",2002,835.19,2650.8
"61","Td36","30D",3348,1336.9,3580.7
"62","Td36","30D",1211,1516.3,2176.4
"63","Td36","30D",1564,1006.2,2354.8
"64","Td36","30D",2313,1314.1,2842.5
"65","Td36","30D",1433,820,2292
"66","Td36","30D",273,176.5,1406.1
