"","MouseID","DPI","ID","X","Y"
"1","Td68","7D",25773,3168.5,1608.6
"2","Td68","7D",25865,3089.3,1613.9
"3","Td68","7D",25767,3121.2,1606.6
"4","Td68","7D",25845,3140.8,1610
"5","Td68","7D",72194,2552.3,5609.4
"6","Td68","7D",25832,3348,1610.4
"7","Td68","7D",73024,3229.4,5720.9
"8","Td68","7D",58903,2034.8,4325.6
"9","Td68","7D",25725,3104.1,1600.4
"10","Td68","7D",73216,3218.2,5745.3
"11","Td68","7D",25810,3238.7,1604.4
"12","Td68","7D",58338,1846.2,4266.4
"13","Td68","7D",51970,2660.1,3577.5
"14","Td68","7D",43998,715.88,3861
"15","Td68","7D",25677,3215,1593.2
"16","Td68","7D",63725,1465.2,5294.8
"17","Td68","7D",64548,3072.3,4651.5
"18","Td68","7D",61412,1342.6,4587.1
"19","Td68","7D",63730,1503.2,5294.5
"20","Td68","7D",51990,2009.7,3579.1
"21","Td68","7D",57222,1842.8,4150.8
"22","Td68","7D",9872,1976.3,1075.9
"23","Td68","7D",69280,2500.1,5214
"24","Td68","7D",1946,1525.7,1314.6
"25","Td68","7D",41716,1010.4,3479.3
"26","Td68","7D",41313,552.13,3422.5
"27","Td68","7D",42205,1680.6,3551.1
"28","Td68","7D",38830,1220.1,3097.4
"29","Td68","7D",69656,2830.3,5267.3
"30","Td68","7D",40899,1390,3365.3
"31","Td68","7D",740,1173.5,1059.2
"32","Td68","7D",43924,1226.7,3840.8
"33","Td68","7D",23533,405.52,2865
"34","Td68","7D",40669,259.42,3344.5
"35","Td68","7D",38200,3357,3021.7
"36","Td68","7D",36861,3364.2,2863.8
"37","Td68","7D",73374,3186.6,5769.7
"38","Td68","7D",19575,199.29,2333.9
"39","Td68","7D",60655,1766.5,4500.2
"40","Td68","7D",32089,3167.4,2290.3
"41","Td68","7D",59977,3257.5,4433.6
"42","Td68","7D",42271,517.84,3561.7
"43","Td68","7D",9511,1818.7,1036.3
"44","Td68","7D",42902,1481.5,3659
"45","Td68","7D",72548,3220.2,5650.1
"46","Td68","7D",34587,3134.9,2594.4
"47","Td68","7D",25052,3364.6,1532.7
"48","Td68","7D",18188,525,2141
"49","Td68","7D",62761,1628.5,4827.1
"50","Td68","7D",14980,553.65,1700.9
"51","Td68","7D",42985,1450.8,3674.5
"52","Td68","7D",40394,647.1,3303.5
"53","Td68","7D",18494,1629.9,2179.8
"54","Td68","7D",26015,3276.4,1627.8
"55","Td68","7D",17554,905.86,2059.7
"56","Td68","7D",34681,1849.7,2607.4
"57","Td68","7D",74481,2438.1,6072.9
"58","Td68","7D",71757,3339,5555.2
"59","Td68","7D",60581,2064,4493.7
"60","Td68","7D",24880,2203.7,1513.4
"61","Td68","7D",6000,2663.5,664.32
"62","Td68","7D",14436,781.29,1617.1
"63","Td68","7D",23042,736.64,2799.2
"64","Td68","7D",73473,2469.7,5779.1
"65","Td68","7D",20866,1507.3,2503.5
"66","Td68","7D",31727,1922.4,2249.2
"67","Td68","7D",9371,2062.9,1021.2
"68","Td68","7D",73811,2260.4,5823.8
"69","Td68","7D",58574,1735.7,4287.7
"70","Td68","7D",20780,1066.7,2488.8
"71","Td68","7D",56302,2962.6,4059.2
"72","Td68","7D",21166,636.49,2541.9
"73","Td68","7D",53959,2672,3801.7
"74","Td68","7D",15050,1116.8,1717.6
"75","Td68","7D",43885,1645,3833.2
"76","Td68","7D",25599,1822.9,1588.7
"77","Td68","7D",61947,1338.3,4681.4
"78","Td68","7D",63850,1517.9,5430.9
"79","Td68","7D",74198,2431.9,5889.7
"80","Td68","7D",62503,1692.6,4762.7
"81","Td68","7D",44410,1649.7,3960
"82","Td68","7D",34063,1702.8,2533.1
"83","Td68","7D",44474,580.88,3977.3
"84","Td68","7D",52058,2106.1,3585.6
"85","Td68","7D",70184,2051.6,5337.8
"86","Td68","7D",14234,742.51,1584.6
"87","Td68","7D",34394,2332.5,2571.7
"88","Td68","7D",14709,1093,1660
"89","Td68","7D",53744,1723.6,3780.7
"90","Td68","7D",72951,2329.4,5710.7
"91","Td68","7D",22988,437.92,2793.4
"92","Td68","7D",5349,2047.7,589.49
"93","Td68","7D",50488,1956.6,3404.8
"94","Td68","7D",22504,1679.3,2727.3
"95","Td68","7D",68620,2286.5,5120.9
"96","Td68","7D",1401,1642.8,1215.7
"97","Td68","7D",52256,1875.5,3606.6
"98","Td68","7D",25812,3269.3,1607.1
"99","Td68","7D",73562,2062.8,5793.5
"100","Td68","7D",21898,1323.9,2641.8
"101","Td68","7D",21071,715.86,2528.4
"102","Td68","7D",53575,2064.1,3761.8
"103","Td68","7D",37118,2920,2894.5
"104","Td68","7D",23806,330.57,2903.7
"105","Td68","7D",8696,1960.2,946.11
"106","Td68","7D",26692,2598.7,1696.1
"107","Td68","7D",56366,3236,4065.7
"108","Td68","7D",14853,1681.4,1680.4
"109","Td68","7D",23830,574.2,2904.5
"110","Td68","7D",39928,1669.6,3234.5
"111","Td68","7D",21852,1169.7,2633.1
"112","Td68","7D",53911,3334.5,3798
"113","Td68","7D",21670,1357.3,2607.9
"114","Td68","7D",56919,3316.8,4118.4
"115","Td68","7D",73862,2747.6,5832.1
"116","Td68","7D",46217,1125.1,4336.2
"117","Td68","7D",35181,2522.3,2661.5
"118","Td68","7D",64790,3160.3,4675.3
"119","Td68","7D",52516,2371.2,3635.8
"120","Td68","7D",12669,2014.8,1382.1
"121","Td68","7D",38776,392.16,3090.2
"122","Td68","7D",1067,1677.2,1140.3
"123","Td68","7D",39268,551.02,3155.9
"124","Td68","7D",27598,3262.4,1793.3
"125","Td68","7D",48010,3321,3115.6
"126","Td68","7D",40247,606.27,3279.7
"127","Td68","7D",20569,1141.1,2466.2
"128","Td68","7D",46349,923.14,4359.2
"129","Td68","7D",43272,564.47,3722.4
"130","Td68","7D",53840,2630.4,3789.9
"131","Td68","7D",66039,2209.8,4818.5
"132","Td68","7D",8695,1792.6,949.03
"133","Td68","7D",69185,2413.2,5202
"134","Td68","7D",25784,3198.9,1601.1
"135","Td68","7D",34059,2604.3,2529.7
"136","Td68","7D",65797,2517.5,4792.3
"137","Td68","7D",64836,3130.7,4675.7
