"","MouseID","DPI","Condition","Class","X","Y"
"6","Td69","14D","SHAM","Positive",2319.1,2291
"7","Td69","14D","SHAM","Positive",574.4,1928.8
"8","Td69","14D","SHAM","Positive",970.95,2715.7
"9","Td69","14D","SHAM","Positive",1843.4,4942.9
"10","Td69","14D","SHAM","Positive",2729.3,2071.3
"11","Td69","14D","SHAM","Positive",2839.1,4395.7
"12","Td69","14D","SHAM","Positive",1650.3,1534.4
"13","Td69","14D","SHAM","Positive",794.78,4576
"14","Td69","14D","SHAM","Positive",1964.3,4842.9
"15","Td69","14D","SHAM","Positive",1839.7,5319.4
"16","Td69","14D","SHAM","Positive",1734.3,3740.3
"17","Td69","14D","SHAM","Positive",1877.4,5726.9
"18","Td69","14D","SHAM","Positive",2956.2,4029.7
"19","Td69","14D","SHAM","Positive",1576.7,4115.6
"20","Td69","14D","SHAM","Positive",2164.6,2210.8
"21","Td69","14D","SHAM","Positive",2644.7,3913.3
"22","Td69","14D","SHAM","Positive",3351.7,884.8
"23","Td69","14D","SHAM","Positive",2249.2,2383.3
"24","Td69","14D","SHAM","Positive",236.83,2878.6
"25","Td69","14D","SHAM","Positive",699.74,2591.5
"26","Td69","14D","SHAM","Positive",2369.4,1041.6
"27","Td69","14D","SHAM","Positive",2867.2,2527
"28","Td69","14D","SHAM","Positive",3303.7,1862.7
"29","Td69","14D","SHAM","Positive",1172.5,3332
"30","Td69","14D","SHAM","Positive",1520.3,3239.7
"31","Td69","14D","SHAM","Positive",848.44,4944.7
"32","Td69","14D","SHAM","Positive",2593.2,907.1
"33","Td69","14D","SHAM","Positive",1075.5,5018.3
"34","Td69","14D","SHAM","Positive",1247.3,4053.4
"35","Td69","14D","SHAM","Positive",2812.8,2751.7
"36","Td69","14D","SHAM","Positive",3121.4,3160.7
"37","Td69","14D","SHAM","Positive",1190.4,916.95
"38","Td69","14D","SHAM","Positive",1581.4,4204.8
"39","Td69","14D","SHAM","Positive",1904.8,1159.1
"40","Td69","14D","SHAM","Positive",2256.4,2607.5
"41","Td69","14D","SHAM","Positive",1251.7,877.65
"42","Td69","14D","SHAM","Negative",2056.8,3519.9
"43","Td69","14D","SHAM","Positive",609.11,2757.9
"44","Td69","14D","SHAM","Positive",2874.4,2930.1
"45","Td69","14D","SHAM","Positive",1877.5,1184.9
"46","Td69","14D","SHAM","Positive",2268.9,4305.4
"47","Td69","14D","SHAM","Positive",2838.7,3513.3
"48","Td69","14D","SHAM","Positive",2445.5,4745.2
"49","Td69","14D","SHAM","Positive",1727.8,4420.6
"50","Td69","14D","SHAM","Positive",2138,1216.4
"51","Td69","14D","SHAM","Positive",2009.1,4711
"52","Td69","14D","SHAM","Positive",1869.1,5667.6
"53","Td69","14D","SHAM","Positive",2914,2932.5
"54","Td69","14D","SHAM","Positive",2285.5,4314.8
"55","Td69","14D","SHAM","Positive",2558.9,3994.3
"56","Td69","14D","SHAM","Positive",1722.9,4466.8
"57","Td69","14D","SHAM","Positive",1491.1,4722.2
"58","Td69","14D","SHAM","Positive",3136.2,5697.1
"59","Td69","14D","SHAM","Positive",3326.4,5972.9
"60","Td69","14D","SHAM","Positive",348.67,3514.5
"61","Td69","14D","SHAM","Positive",1534.3,4079.5
"62","Td69","14D","SHAM","Positive",1628.7,3074.1
"63","Td69","14D","SHAM","Negative",2188.3,3770.8
"64","Td69","14D","SHAM","Positive",2407.7,5232.6
"65","Td69","14D","SHAM","Positive",2781.1,2812.8
"66","Td69","14D","SHAM","Positive",1939.4,1214.9
"67","Td69","14D","SHAM","Positive",2361.1,2284.1
"68","Td69","14D","SHAM","Positive",371.66,2606.6
"69","Td69","14D","SHAM","Positive",1353.5,2973.6
"70","Td69","14D","SHAM","Positive",1907.3,4840.3
"71","Td69","14D","SHAM","Positive",2079.2,5324.6
"72","Td69","14D","SHAM","Positive",1622.1,1473.5
"73","Td69","14D","SHAM","Positive",1410.8,1996.5
"74","Td69","14D","SHAM","Positive",3348.2,4517.1
"75","Td69","14D","SHAM","Positive",1999.8,1371.8
"76","Td69","14D","SHAM","Positive",3228.2,1195.1
"77","Td69","14D","SHAM","Positive",1996.7,4894
"78","Td69","14D","SHAM","Positive",3060.2,5440.8
"79","Td69","14D","SHAM","Positive",2233.9,4370.2
"80","Td69","14D","SHAM","Positive",2022.2,2820.9
"81","Td69","14D","SHAM","Positive",2021.1,2906.2
"82","Td69","14D","SHAM","Positive",1638.7,4251.9
"83","Td69","14D","SHAM","Positive",1367.5,2320.4
"84","Td69","14D","SHAM","Positive",2392.1,2927.6
"85","Td69","14D","SHAM","Negative",2643.2,2082.7
"86","Td69","14D","SHAM","Positive",1476,3122.5
"87","Td69","14D","SHAM","Positive",1761.9,3961.8
"88","Td69","14D","SHAM","Positive",1457.3,1986.7
"89","Td69","14D","SHAM","Positive",807.65,4696.9
"90","Td69","14D","SHAM","Positive",3284.7,848.96
"91","Td69","14D","SHAM","Positive",883.2,2298.4
"92","Td69","14D","SHAM","Positive",3021.8,5599
"93","Td69","14D","SHAM","Positive",3269.5,1864.5
"94","Td69","14D","SHAM","Positive",2454.7,4378
"95","Td69","14D","SHAM","Positive",1267.5,5254.9
"96","Td69","14D","SHAM","Positive",3323.8,713.52
"97","Td69","14D","SHAM","Positive",1465.9,2386.9
"98","Td69","14D","SHAM","Negative",2428,3088.1
"99","Td69","14D","SHAM","Positive",971.44,3082.6
"100","Td69","14D","SHAM","Negative",1793.6,1675.3
"101","Td69","14D","SHAM","Positive",1499.9,1942.9
"102","Td69","14D","SHAM","Positive",1120.2,2120.4
"103","Td69","14D","SHAM","Positive",3271.3,2493.1
"104","Td69","14D","SHAM","Positive",2485.5,4355.6
"105","Td69","14D","SHAM","Positive",236.88,3064.6
"106","Td69","14D","SHAM","Positive",2704.9,3993.2
"107","Td69","14D","SHAM","Positive",1396.9,2394.5
"108","Td69","14D","SHAM","Positive",1775.7,4527
"109","Td69","14D","SHAM","Negative",2411.4,1051.8
"110","Td69","14D","SHAM","Positive",650.47,4235
"111","Td69","14D","SHAM","Positive",3268,5507.2
"112","Td69","14D","SHAM","Positive",3319.8,5644.7
"113","Td69","14D","SHAM","Positive",1701.4,5814.7
"114","Td69","14D","SHAM","Positive",3209.2,1661.3
"115","Td69","14D","SHAM","Negative",795.55,3301.3
"116","Td69","14D","SHAM","Positive",2963.5,4326
"117","Td69","14D","SHAM","Positive",293.36,2719.8
"118","Td69","14D","SHAM","Positive",688.66,3073.4
"119","Td69","14D","SHAM","Positive",1708.1,5318.9
"120","Td69","14D","SHAM","Positive",920.09,2347.9
"121","Td69","14D","SHAM","Positive",2305.6,933.99
"122","Td69","14D","SHAM","Positive",1077.3,1690
"123","Td69","14D","SHAM","Positive",674.61,2567.8
"124","Td69","14D","SHAM","Negative",2982.4,5758.9
"125","Td69","14D","SHAM","Positive",3093.3,2791.4
"126","Td69","14D","SHAM","Positive",2048.7,5267.2
"127","Td69","14D","SHAM","Positive",2787.3,3856.8
"128","Td69","14D","SHAM","Positive",1989.4,4920.4
"129","Td69","14D","SHAM","Positive",2124.3,3541.1
"130","Td69","14D","SHAM","Positive",2553.5,4296
"131","Td69","14D","SHAM","Positive",2388.6,1074
"132","Td69","14D","SHAM","Positive",1609.4,4195.4
"133","Td69","14D","SHAM","Positive",3025,2559.9
"134","Td69","14D","SHAM","Positive",1439.8,2014.9
"135","Td69","14D","SHAM","Positive",3343.8,1957.9
"136","Td69","14D","SHAM","Positive",1512.6,1338.4
"137","Td69","14D","SHAM","Positive",1057.6,955.52
"138","Td69","14D","SHAM","Positive",1787.5,5496.4
"139","Td69","14D","SHAM","Positive",2764.5,4840.3
"140","Td69","14D","SHAM","Positive",2790.7,4821.4
"141","Td69","14D","SHAM","Positive",1716.5,1637.2
"142","Td69","14D","SHAM","Positive",1695.4,1560.3
"143","Td69","14D","SHAM","Positive",3249.1,811.02
"144","Td69","14D","SHAM","Positive",1532.9,5604.1
"145","Td69","14D","SHAM","Positive",3025.9,1754.6
"146","Td69","14D","SHAM","Positive",2937.2,3949.5
"147","Td69","14D","SHAM","Positive",2515.9,4044.2
"148","Td69","14D","SHAM","Positive",1127,4193.1
"149","Td69","14D","SHAM","Negative",598.7,2540.7
"150","Td69","14D","SHAM","Positive",3297.5,827.7
"151","Td69","14D","SHAM","Positive",3235.5,2874.7
"152","Td69","14D","SHAM","Positive",843.28,4395.7
"153","Td69","14D","SHAM","Positive",753.61,2303.9
"154","Td69","14D","SHAM","Positive",789.28,2432.4
"155","Td69","14D","SHAM","Positive",571.3,2624.3
"156","Td69","14D","SHAM","Positive",843.04,2441.3
"157","Td69","14D","SHAM","Positive",2579.2,4613.5
"158","Td69","14D","SHAM","Positive",883.44,3227.3
"159","Td69","14D","SHAM","Positive",3263.4,3055.6
"160","Td69","14D","SHAM","Positive",2172.4,4140
"161","Td69","14D","SHAM","Positive",807.61,2457.7
"162","Td69","14D","SHAM","Negative",2164.2,4427.7
"163","Td69","14D","SHAM","Positive",492.97,2795.8
"164","Td69","14D","SHAM","Positive",1728.3,4490.6
"165","Td69","14D","SHAM","Positive",2366.4,5297.1
"166","Td69","14D","SHAM","Positive",587.65,2706.6
"167","Td69","14D","SHAM","Positive",363.51,3706.1
"168","Td69","14D","SHAM","Positive",2820.3,3093.6
"169","Td69","14D","SHAM","Positive",3271.9,3927.6
"170","Td69","14D","SHAM","Positive",1884.5,3084.3
"171","Td69","14D","SHAM","Positive",1289.8,3946
"172","Td69","14D","SHAM","Positive",922.35,2933
"173","Td69","14D","SHAM","Positive",252.89,3082.3
"174","Td69","14D","SHAM","Negative",3267.8,5635.4
"175","Td69","14D","SHAM","Positive",1281.3,1909.1
"176","Td69","14D","SHAM","Positive",2592.8,2077.6
"177","Td69","14D","SHAM","Positive",748.26,2646.5
"178","Td69","14D","SHAM","Positive",2654.2,1573.8
"179","Td69","14D","SHAM","Positive",3305.3,1880.9
"180","Td69","14D","SHAM","Positive",2213.5,4409.3
"181","Td69","14D","SHAM","Positive",1989.2,4826.2
"182","Td69","14D","SHAM","Positive",1489.3,1970.3
"183","Td69","14D","SHAM","Positive",2904,3642
"184","Td69","14D","SHAM","Positive",2239.1,5855.9
"185","Td69","14D","SHAM","Positive",1821.2,4976.5
"186","Td69","14D","SHAM","Positive",1894,3047.5
"187","Td69","14D","SHAM","Positive",2117.9,442.4
"188","Td69","14D","SHAM","Positive",2148.6,4120.4
"189","Td69","14D","SHAM","Positive",2293.6,2618.2
"190","Td69","14D","SHAM","Positive",1668,3053.2
"191","Td69","14D","SHAM","Negative",1563.8,5685.5
"192","Td69","14D","SHAM","Positive",2243.9,4459.3
"193","Td69","14D","SHAM","Negative",792.9,3123.3
"194","Td69","14D","SHAM","Negative",2128.4,3372.7
"195","Td69","14D","SHAM","Positive",2431.3,1975
"196","Td69","14D","SHAM","Positive",2725.6,4868.9
"197","Td69","14D","SHAM","Negative",1105.9,2012.8
"198","Td69","14D","SHAM","Positive",2369.6,5270.3
"199","Td69","14D","SHAM","Positive",3068.5,4003.5
"200","Td69","14D","SHAM","Positive",1342.6,3098.1
"201","Td69","14D","SHAM","Positive",3145.4,1845.4
"202","Td69","14D","SHAM","Positive",2674.6,3076.9
"203","Td69","14D","SHAM","Positive",2956.2,6209.9
"204","Td69","14D","SHAM","Positive",2477.9,4634.8
"205","Td69","14D","SHAM","Positive",1374,1961.2
"206","Td69","14D","SHAM","Negative",2391.3,4153.4
"207","Td69","14D","SHAM","Negative",1896.5,1234.4
"208","Td69","14D","SHAM","Positive",1692.5,1540.2
"209","Td69","14D","SHAM","Positive",3290.1,3910.9
"210","Td69","14D","SHAM","Negative",2636.8,2213.6
"211","Td69","14D","SHAM","Negative",2846.3,2081
"212","Td69","14D","SHAM","Positive",1767.9,4223.1
"213","Td69","14D","SHAM","Positive",2318.3,4257.8
"214","Td69","14D","SHAM","Positive",2533.4,800.03
"215","Td69","14D","SHAM","Positive",3234.5,1854.6
"216","Td69","14D","SHAM","Negative",2243.3,1217.2
"217","Td69","14D","SHAM","Positive",2885.9,938.93
"218","Td69","14D","SHAM","Positive",3183.2,1837.2
"219","Td69","14D","SHAM","Positive",1680,3018.2
"220","Td69","14D","SHAM","Negative",1188.4,4895.2
"221","Td69","14D","SHAM","Positive",657.08,1938.8
"222","Td69","14D","SHAM","Positive",1473.1,5510.5
"223","Td69","14D","SHAM","Positive",2957.5,2021.3
"224","Td69","14D","SHAM","Negative",1739.9,4182
"225","Td69","14D","SHAM","Positive",2048.3,1145.9
"226","Td69","14D","SHAM","Positive",2689.5,3882.3
"227","Td69","14D","SHAM","Negative",460.08,1971.6
"228","Td69","14D","SHAM","Positive",1397.7,1977.9
"229","Td69","14D","SHAM","Positive",2277.2,1527.4
"230","Td69","14D","SHAM","Positive",2562.9,291.2
"231","Td69","14D","SHAM","Negative",1138.8,3312.4
"232","Td69","14D","SHAM","Negative",1643.3,1360.9
"233","Td69","14D","SHAM","Positive",2218,5870.5
"234","Td69","14D","SHAM","Negative",2766.1,2282.3
"235","Td69","14D","SHAM","Negative",2723.9,3185.4
"236","Td69","14D","SHAM","Positive",1820.2,5290.3
"237","Td69","14D","SHAM","Positive",862.53,2475
"238","Td69","14D","SHAM","Positive",1848.3,5833.4
"239","Td69","14D","SHAM","Positive",1495.1,1785.1
"240","Td69","14D","SHAM","Positive",3363.6,539.43
"241","Td69","14D","SHAM","Negative",2736.9,2549.9
"242","Td69","14D","SHAM","Positive",422.26,1972.4
"243","Td69","14D","SHAM","Positive",2608.3,264.15
"244","Td69","14D","SHAM","Negative",3216.2,5792
"245","Td69","14D","SHAM","Negative",1866.5,2861.4
"246","Td69","14D","SHAM","Positive",370.15,2372.9
"247","Td69","14D","SHAM","Positive",1847.7,5758.2
"248","Td69","14D","SHAM","Positive",3239.9,4001.8
"249","Td69","14D","SHAM","Positive",1212.1,5304.7
"250","Td69","14D","SHAM","Positive",557.63,2641.2
"251","Td69","14D","SHAM","Positive",3360.2,5227.7
"252","Td69","14D","SHAM","Negative",2158.3,6049.3
"253","Td69","14D","SHAM","Positive",2532.2,4012.1
"254","Td69","14D","SHAM","Positive",944.94,1312.8
"255","Td69","14D","SHAM","Negative",1349.9,4002.9
"256","Td69","14D","SHAM","Positive",764.83,1311.1
"257","Td69","14D","SHAM","Negative",2710.4,2342.3
"258","Td69","14D","SHAM","Negative",787.77,2735.2
"259","Td69","14D","SHAM","Positive",561.22,4235.4
"260","Td69","14D","SHAM","Positive",1748,2241.4
"261","Td69","14D","SHAM","Positive",1663.9,1508.2
"262","Td69","14D","SHAM","Negative",1476.7,5264.7
"263","Td69","14D","SHAM","Positive",3257.4,2892.6
"264","Td69","14D","SHAM","Positive",504.95,1889.5
"265","Td69","14D","SHAM","Negative",1393.6,1871.3
"266","Td69","14D","SHAM","Positive",1831.9,2919.9
"267","Td69","14D","SHAM","Negative",1271.2,3957.5
"268","Td69","14D","SHAM","Positive",3228.5,3252.2
"269","Td69","14D","SHAM","Negative",1658.4,3246.4
"270","Td69","14D","SHAM","Negative",1801.8,1535.9
"271","Td69","14D","SHAM","Negative",2384.8,4193.5
"272","Td69","14D","SHAM","Positive",2144.6,3394.3
"273","Td69","14D","SHAM","Positive",360.28,2160.2
"274","Td69","14D","SHAM","Positive",2836.3,4953.5
"275","Td69","14D","SHAM","Positive",866.44,1529.4
"276","Td69","14D","SHAM","Positive",767.01,2204.6
"277","Td69","14D","SHAM","Negative",2591.1,3236.4
"278","Td69","14D","SHAM","Positive",3175.2,1863.5
"279","Td69","14D","SHAM","Positive",833.43,4697.4
"280","Td69","14D","SHAM","Positive",1761.4,2213.7
"281","Td69","14D","SHAM","Positive",3064.8,1819.3
"282","Td69","14D","SHAM","Positive",382.48,2749.4
"283","Td69","14D","SHAM","Negative",2296,6072.4
"284","Td69","14D","SHAM","Positive",2050.3,4258.7
"285","Td69","14D","SHAM","Positive",1296.9,852.69
"286","Td69","14D","SHAM","Positive",1654.9,3040.9
"287","Td69","14D","SHAM","Positive",2370.9,2147.3
"288","Td69","14D","SHAM","Negative",2819.9,3702.3
"289","Td69","14D","SHAM","Negative",3004.9,1322.4
"290","Td69","14D","SHAM","Positive",1999.3,2895.9
"291","Td69","14D","SHAM","Negative",962.91,4081.9
"292","Td69","14D","SHAM","Negative",2032.2,2524.6
"293","Td69","14D","SHAM","Positive",2413.8,4158.1
"294","Td69","14D","SHAM","Negative",1242.6,3474.2
"295","Td69","14D","SHAM","Positive",1931.3,2967.7
"296","Td69","14D","SHAM","Positive",749.8,4447.3
"297","Td69","14D","SHAM","Positive",1987.2,4742.6
"298","Td69","14D","SHAM","Positive",2876.6,1822.4
"299","Td69","14D","SHAM","Positive",2815.6,2540.9
"300","Td69","14D","SHAM","Negative",1791.2,5283.5
"301","Td69","14D","SHAM","Positive",1788.7,5919.9
"302","Td69","14D","SHAM","Positive",894.31,2486.8
"303","Td69","14D","SHAM","Negative",1769.7,5191.8
"304","Td69","14D","SHAM","Negative",2402.9,936.75
"305","Td69","14D","SHAM","Negative",2170.3,3824.5
"306","Td69","14D","SHAM","Negative",2878.7,645.37
"307","Td69","14D","SHAM","Negative",1850.3,1859
"308","Td69","14D","SHAM","Positive",1686.4,1829.5
"309","Td69","14D","SHAM","Negative",983.28,1876.3
"310","Td69","14D","SHAM","Positive",3278.6,2055.9
"311","Td69","14D","SHAM","Positive",772.35,2553.1
"312","Td69","14D","SHAM","Negative",2746.2,1658.5
"313","Td69","14D","SHAM","Positive",351.84,2590.2
"314","Td69","14D","SHAM","Negative",1177.7,1801
"315","Td69","14D","SHAM","Negative",1307.8,2067
"316","Td69","14D","SHAM","Positive",2402.6,3577.3
"317","Td69","14D","SHAM","Negative",979.11,1622.5
"318","Td69","14D","SHAM","Positive",2258.2,4351
"319","Td69","14D","SHAM","Negative",2186.4,2317.2
"320","Td69","14D","SHAM","Positive",2988.6,4308.3
"321","Td69","14D","SHAM","Negative",1759.5,3154.3
"322","Td69","14D","SHAM","Positive",1967.8,1265.4
"323","Td69","14D","SHAM","Positive",1942.2,2020.4
