"","MouseID","DPI","ID","X","Y"
"1","Td80","7D",665,3045.1,6054.6
"2","Td80","7D",546,436.26,4034.8
"3","Td80","7D",522,123.73,3419.7
"4","Td80","7D",92,2379.4,301
"5","Td80","7D",559,1442.3,4186.2
"6","Td80","7D",24,1279.6,680.7
"7","Td80","7D",222,4.56,2339.4
"8","Td80","7D",609,981.46,4786.3
"9","Td80","7D",151,2142.1,534.55
"10","Td80","7D",26,1128,748.96
"11","Td80","7D",207,163.07,2013.1
"12","Td80","7D",209,112.65,2047.3
"13","Td80","7D",525,177.44,3530
"14","Td80","7D",79,2698.5,208.14
"15","Td80","7D",138,1963.5,498.49
"16","Td80","7D",214,25.78,2215.1
"17","Td80","7D",271,2626.9,1634.6
"18","Td80","7D",114,2112.3,395.9
"19","Td80","7D",664,2828,6057.7
"20","Td80","7D",532,255.26,3694.9
"21","Td80","7D",530,207.64,3610.2
"22","Td80","7D",69,3167.6,102.95
"23","Td80","7D",367,2311.1,1808.2
"24","Td80","7D",557,527.68,4139.8
"25","Td80","7D",466,2349.5,2156.8
"26","Td80","7D",418,2158.1,1911.4
"27","Td80","7D",479,2579.3,2291.6
"28","Td80","7D",419,3008.4,1916.6
"29","Td80","7D",68,317.38,1557.1
"30","Td80","7D",631,1707.6,5408.7
"31","Td80","7D",343,2699.7,1768.5
"32","Td80","7D",481,2788.9,2356.4
"33","Td80","7D",429,1871,1959.4
"34","Td80","7D",165,2521,1351
"35","Td80","7D",386,2580.9,1822.5
"36","Td80","7D",435,1967.6,2002.2
"37","Td80","7D",660,2556,6023.4
"38","Td80","7D",538,1530.8,3867.9
"39","Td80","7D",648,2117.4,5814.6
"40","Td80","7D",21,1399.3,622.73
"41","Td80","7D",166,3135.2,1377.1
"42","Td80","7D",654,2239.3,5898.3
"43","Td80","7D",548,464.56,4096.9
"44","Td80","7D",450,2388.5,2072.3
"45","Td80","7D",87,2874.8,272.86
"46","Td80","7D",659,2440.2,6014.9
"47","Td80","7D",666,2782.2,6057.7
"48","Td80","7D",603,877.72,4634.9
"49","Td80","7D",136,1692.1,489.95
"50","Td80","7D",219,3.536,2271.2
"51","Td80","7D",558,458.81,4145.3
"52","Td80","7D",84,2733.2,249.43
"53","Td80","7D",388,3176.7,1832.2
"54","Td80","7D",407,3166.3,1887
"55","Td80","7D",144,1856.7,514.78
"56","Td80","7D",139,1920.6,502.59
"57","Td80","7D",611,1073.9,4866
"58","Td80","7D",428,1998.2,1948.5
"59","Td80","7D",583,862.08,4574.4
"60","Td80","7D",503,2993.7,2900.2
"61","Td80","7D",445,2898.5,2037.8
"62","Td80","7D",124,1749.9,467.07
"63","Td80","7D",619,1468.9,5153.3
"64","Td80","7D",617,1383.7,5083.6
"65","Td80","7D",279,2954.9,1642.3
"66","Td80","7D",12,1572.2,562.8
"67","Td80","7D",272,2445.2,1630.1
"68","Td80","7D",569,383.83,4202.1
"69","Td80","7D",234,1379.7,2498.9
"70","Td80","7D",5,1481.6,447.21
"71","Td80","7D",655,2260.9,5927.9
"72","Td80","7D",502,3055.2,2889
"73","Td80","7D",127,1892.5,462.77
"74","Td80","7D",484,3132.3,2388
"75","Td80","7D",353,3179.8,1784.7
"76","Td80","7D",196,250.51,1710
"77","Td80","7D",38,945.23,887.99
"78","Td80","7D",16,1532.9,571.25
"79","Td80","7D",109,2109,371.28
"80","Td80","7D",489,2752,2625.3
"81","Td80","7D",148,1721.6,518.24
"82","Td80","7D",7,1443,517.52
"83","Td80","7D",172,2942,1475.8
"84","Td80","7D",71,2794.4,124.25
"85","Td80","7D",111,2582.6,371.99
"86","Td80","7D",541,394.22,3944.3
"87","Td80","7D",116,2485.7,420.45
"88","Td80","7D",202,290.5,1905.3
"89","Td80","7D",247,1220.1,2883.7
"90","Td80","7D",125,2072.4,463.09
