"","MouseID","DPI","ID","X","Y"
"1","Td74","3D",679,521.93,92.06
"2","Td74","3D",881,67.45,116.43
"3","Td74","3D",2344,97.16,303.87
"4","Td74","3D",816,74.72,106.75
"5","Td74","3D",1572,144.32,206.57
"6","Td74","3D",4912,101.95,656.29
"7","Td74","3D",1032,320.27,133.7
"8","Td74","3D",189,494.78,25.81
"9","Td74","3D",3745,50.32,483.15
"10","Td74","3D",3490,621.94,450.6
"11","Td74","3D",274,109.81,36.99
"12","Td74","3D",112,336.22,17.96
"13","Td74","3D",4937,621.14,657.47
"14","Td74","3D",4750,372.01,630.38
"15","Td74","3D",149,757.47,20.16
"16","Td74","3D",1634,84.46,212.35
"17","Td74","3D",500,88.84,66.51
"18","Td74","3D",3018,561.53,387.59
"19","Td74","3D",1887,638.58,243.37
"20","Td74","3D",431,522.5,56.3
"21","Td74","3D",1314,243.1,168.18
"22","Td74","3D",3160,840.57,408.43
"23","Td74","3D",4203,65.11,542.61
"24","Td74","3D",2032,70.98,262.12
"25","Td74","3D",4934,33.8,657.93
"26","Td74","3D",3751,651.6,484.23
"27","Td74","3D",3695,214.48,477.69
"28","Td74","3D",2499,620.21,324.08
"29","Td74","3D",201,474.44,26.99
"30","Td74","3D",3925,353.53,508.2
"31","Td74","3D",3868,49.11,501.01
"32","Td74","3D",4555,215.24,596.1
"33","Td74","3D",3388,311.61,436.76
"34","Td74","3D",4384,46.05,571.78
"35","Td74","3D",4710,91.87,622.12
"36","Td74","3D",2748,217.63,353.68
"37","Td74","3D",4245,356.48,549.99
"38","Td74","3D",4876,352.55,648.28
"39","Td74","3D",3597,716.21,463.47
"40","Td74","3D",4782,57.56,631.57
"41","Td74","3D",847,544.93,107.5
"42","Td74","3D",1516,107.34,196.28
"43","Td74","3D",4079,118.69,526.16
"44","Td74","3D",1453,269.97,187.24
"45","Td74","3D",4033,422.26,520.17
"46","Td74","3D",3149,720.79,404.47
"47","Td74","3D",4868,94.02,647.73
"48","Td74","3D",2051,839.77,264.58
"49","Td74","3D",3822,333.83,492.56
"50","Td74","3D",1765,807.76,226.95
"51","Td74","3D",3727,548.54,480.33
"52","Td74","3D",3792,694.37,487.96
"53","Td74","3D",2383,754.38,307.31
"54","Td74","3D",1305,320.18,166.52
"55","Td74","3D",2498,335.47,321.45
"56","Td74","3D",1055,128.65,134.9
"57","Td74","3D",1268,263.93,162.65
"58","Td74","3D",375,683.09,47.74
"59","Td74","3D",2393,292.98,306.87
"60","Td74","3D",2200,103.69,284.17
"61","Td74","3D",826,41.35,104.39
"62","Td74","3D",4617,458.37,607.06
"63","Td74","3D",2612,285.98,335.4
"64","Td74","3D",2617,113.31,337.14
"65","Td74","3D",2990,668.98,387.07
"66","Td74","3D",2439,247.76,313.64
"67","Td74","3D",2672,462.99,342.09
"68","Td74","3D",1737,10.69,223.02
"69","Td74","3D",3698,431.91,476.02
"70","Td74","3D",1238,205.94,159.45
"71","Td74","3D",3087,830.38,395.74
"72","Td74","3D",3880,145.71,502.08
"73","Td74","3D",4657,334.93,612.63
"74","Td74","3D",435,243.72,56.11
"75","Td74","3D",3794,745.6,487.95
"76","Td74","3D",4005,354.19,519.08
"77","Td74","3D",1030,11.07,137.7
"78","Td74","3D",2013,588.46,256.44
"79","Td74","3D",2621,264.35,336.91
"80","Td74","3D",447,124.09,58.02
"81","Td74","3D",1350,170.03,172.95
"82","Td74","3D",4808,447.83,639.72
"83","Td74","3D",2731,778.19,351.46
"84","Td74","3D",1474,130.45,190.5
"85","Td74","3D",2390,523.32,304.68
"86","Td74","3D",4688,705.88,616.72
"87","Td74","3D",3004,628.68,385.55
"88","Td74","3D",2913,419.09,374.31
"89","Td74","3D",27,323.9,5.217
"90","Td74","3D",308,252.16,39.04
"91","Td74","3D",2721,656.17,348.35
"92","Td74","3D",325,511.49,43.37
"93","Td74","3D",3570,89.85,460.14
"94","Td74","3D",3564,256.49,457.57
"95","Td74","3D",3801,95.22,488.57
"96","Td74","3D",2493,137.65,320.35
"97","Td74","3D",1256,36.12,159.06
"98","Td74","3D",3913,106.13,504.69
"99","Td74","3D",1422,789.45,181.26
"100","Td74","3D",392,207.47,53.03
"101","Td74","3D",4188,338.56,541.01
"102","Td74","3D",2516,320.48,322.54
"103","Td74","3D",3748,239.44,483.49
"104","Td74","3D",341,415.15,43.62
"105","Td74","3D",1845,613.13,238.27
"106","Td74","3D",4414,298.02,574.08
"107","Td74","3D",4205,32.67,543.37
"108","Td74","3D",1163,497.43,150.93
"109","Td74","3D",1047,150.61,135.38
"110","Td74","3D",2084,273.16,267.37
"111","Td74","3D",4819,737.01,639.93
"112","Td74","3D",193,571.09,24.67
"113","Td74","3D",4930,387.05,656.86
"114","Td74","3D",4461,35.64,580.03
"115","Td74","3D",2249,597.16,289.98
"116","Td74","3D",2879,32.21,370.21
"117","Td74","3D",4485,126.18,582.9
"118","Td74","3D",3954,336.41,511.03
"119","Td74","3D",748,8.883,97.93
"120","Td74","3D",4722,573.36,624.41
"121","Td74","3D",507,685.51,65.05
"122","Td74","3D",4028,210.51,520.56
"123","Td74","3D",2523,595.07,324.94
"124","Td74","3D",2850,448.95,367.12
"125","Td74","3D",3254,118.93,418.01
"126","Td74","3D",3693,169.7,474.26
"127","Td74","3D",1531,540.59,196.22
"128","Td74","3D",384,42.32,48.54
"129","Td74","3D",2525,343.99,325.37
"130","Td74","3D",3446,409.28,442.39
"131","Td74","3D",2816,561.97,360.78
"132","Td74","3D",4152,571.12,537.67
"133","Td74","3D",3579,250.69,463.34
"134","Td74","3D",4669,498.45,615.47
"135","Td74","3D",3232,270.27,414.81
"136","Td74","3D",1965,284.77,251.91
"137","Td74","3D",1114,721.62,142.5
"138","Td74","3D",2426,17.42,310.19
"139","Td74","3D",1909,541.23,245.22
"140","Td74","3D",1152,562.49,146.72
"141","Td74","3D",871,772.17,111.86
"142","Td74","3D",2496,268.36,320.85
"143","Td74","3D",1029,817.1,131.62
"144","Td74","3D",3755,456.42,486.14
"145","Td74","3D",1202,718.67,153.09
"146","Td74","3D",3477,98.26,447.35
"147","Td74","3D",3352,35.07,431.5
"148","Td74","3D",2669,119.99,343.44
"149","Td74","3D",3376,152.04,434.2
"150","Td74","3D",4567,801.94,597.38
"151","Td74","3D",664,542.87,85.3
"152","Td74","3D",3973,98.98,512.54
"153","Td74","3D",1656,19.18,212.7
"154","Td74","3D",1097,267.55,140.49
"155","Td74","3D",4535,504.98,591.07
"156","Td74","3D",907,619.43,115.78
"157","Td74","3D",376,873.92,50.17
"158","Td74","3D",3697,380.82,477.08
"159","Td74","3D",1504,398.61,193.4
"160","Td74","3D",3818,664.84,491.61
"161","Td74","3D",3393,625.3,437.06
"162","Td74","3D",1214,214.77,155.03
"163","Td74","3D",4683,604.54,617.77
"164","Td74","3D",3757,774.3,485.5
"165","Td74","3D",3823,536.15,491.55
"166","Td74","3D",4310,731.83,560.33
"167","Td74","3D",3515,138.56,452.57
"168","Td74","3D",1857,235.18,239.94
"169","Td74","3D",4149,182.93,536.24
"170","Td74","3D",158,464.44,20.39
"171","Td74","3D",71,747.64,10.42
"172","Td74","3D",1340,459.22,170.18
"173","Td74","3D",3645,15.53,469.16
"174","Td74","3D",483,52.88,62.51
"175","Td74","3D",475,420.5,61.73
"176","Td74","3D",1761,34.66,226.24
"177","Td74","3D",148,270.69,18.31
"178","Td74","3D",4626,674.04,607.14
"179","Td74","3D",4382,368.05,572.02
"180","Td74","3D",2476,843.94,318.27
"181","Td74","3D",2424,406.71,313.09
"182","Td74","3D",2776,582.03,354.61
"183","Td74","3D",1458,711.49,186.35
"184","Td74","3D",3552,856.25,456.47
"185","Td74","3D",4029,231.94,519.6
"186","Td74","3D",2451,560.56,314.08
"187","Td74","3D",4363,807.7,567.69
"188","Td74","3D",3737,184.59,481.38
"189","Td74","3D",2618,275.79,335.95
"190","Td74","3D",2524,666.8,324.06
"191","Td74","3D",421,592.46,55.31
"192","Td74","3D",1534,120.49,197.28
"193","Td74","3D",101,376.81,14.92
"194","Td74","3D",3609,491.52,464.11
"195","Td74","3D",2809,740.07,359.62
"196","Td74","3D",2504,112.38,323.68
"197","Td74","3D",1286,437.53,163.24
"198","Td74","3D",4801,727.73,635.55
"199","Td74","3D",700,75.3,91.79
"200","Td74","3D",2272,619.3,291.73
"201","Td74","3D",2489,762.2,318.59
"202","Td74","3D",4263,119.7,552.07
"203","Td74","3D",3010,251.09,385.74
"204","Td74","3D",456,373.55,59.5
"205","Td74","3D",4032,32.51,520.03
"206","Td74","3D",4922,458.55,656.42
"207","Td74","3D",4358,720.32,565.84
"208","Td74","3D",755,165.06,97.36
"209","Td74","3D",1190,139.89,151.63
"210","Td74","3D",1694,610.39,217.52
"211","Td74","3D",3020,690.81,386.71
"212","Td74","3D",4470,508.96,580.92
"213","Td74","3D",2060,741.32,263.96
"214","Td74","3D",2814,76.71,361.86
"215","Td74","3D",4237,519.37,546.99
"216","Td74","3D",4211,849.14,543.51
"217","Td74","3D",45,706.58,6.782
"218","Td74","3D",3362,364.61,433.17
"219","Td74","3D",2103,182.34,270.98
"220","Td74","3D",2845,465.16,364.95
"221","Td74","3D",2859,611.38,367.06
"222","Td74","3D",3532,293.56,455.07
"223","Td74","3D",4112,824.33,529.97
"224","Td74","3D",296,358.39,38.1
"225","Td74","3D",272,738.79,35.04
"226","Td74","3D",2765,691.73,354.16
"227","Td74","3D",2436,627.34,312.86
"228","Td74","3D",82,186.25,13.2
"229","Td74","3D",3771,68.53,485.81
"230","Td74","3D",932,202.63,118.43
"231","Td74","3D",2389,430.83,305.82
"232","Td74","3D",1629,810.68,207.57
"233","Td74","3D",4557,580.16,594.78
"234","Td74","3D",758,490.23,98.11
"235","Td74","3D",2623,452.19,335.82
"236","Td74","3D",684,46.89,88.31
"237","Td74","3D",4544,569.35,592.34
"238","Td74","3D",2138,278.69,274.31
"239","Td74","3D",2831,771.69,362.27
"240","Td74","3D",2154,238.74,274.31
"241","Td74","3D",3054,45.02,392.02
"242","Td74","3D",653,384.54,87.48
"243","Td74","3D",3313,317.51,424.91
"244","Td74","3D",3319,42.4,425.7
"245","Td74","3D",3575,150.16,459.48
"246","Td74","3D",4320,702.44,560.31
"247","Td74","3D",4251,88.93,550.48
"248","Td74","3D",4606,843.89,603.3
"249","Td74","3D",4694,412.16,619.09
"250","Td74","3D",284,484.54,35.73
"251","Td74","3D",306,858.47,39.21
"252","Td74","3D",2513,476.66,322.28
"253","Td74","3D",4587,57.93,600.55
"254","Td74","3D",2812,454.81,361.43
"255","Td74","3D",3816,299.47,492.22
"256","Td74","3D",2753,281.32,353.39
"257","Td74","3D",3951,256.92,510.19
"258","Td74","3D",1375,238.54,175.04
"259","Td74","3D",608,415.51,80.64
"260","Td74","3D",3676,104.58,475.65
"261","Td74","3D",2342,7.846,300.88
"262","Td74","3D",542,377.89,71.09
"263","Td74","3D",4104,66.44,529.26
"264","Td74","3D",3058,497.5,391.18
"265","Td74","3D",3068,692.52,393.25
"266","Td74","3D",1107,281.54,141.66
"267","Td74","3D",3993,516.72,515.21
"268","Td74","3D",649,495.93,83.86
"269","Td74","3D",3001,601.82,383.82
"270","Td74","3D",4308,622.29,558.32
"271","Td74","3D",1682,755.73,214.33
"272","Td74","3D",769,457.39,98.78
"273","Td74","3D",610,212.97,79.35
"274","Td74","3D",4534,9.911,592.58
"275","Td74","3D",1064,483.17,135.76
"276","Td74","3D",1936,696.94,248.39
"277","Td74","3D",1698,625.9,217.35
"278","Td74","3D",1058,679.15,135.58
"279","Td74","3D",3307,739.08,422.95
"280","Td74","3D",403,444.33,51.62
"281","Td74","3D",4920,259.12,655.4
"282","Td74","3D",3385,481.39,433.55
"283","Td74","3D",3381,330.53,434.44
"284","Td74","3D",3804,556.29,492.6
"285","Td74","3D",3285,525.6,422.34
"286","Td74","3D",3053,33.6,392.04
"287","Td74","3D",2142,349.79,274.16
"288","Td74","3D",2966,212.44,380.19
"289","Td74","3D",2903,249.04,371.83
"290","Td74","3D",28,421.31,6.858
"291","Td74","3D",1237,23.44,158.08
"292","Td74","3D",987,497.55,125.41
"293","Td74","3D",3598,342.97,461.53
"294","Td74","3D",2810,756.64,359.75
"295","Td74","3D",4248,97.38,550.33
"296","Td74","3D",717,285.33,92.47
"297","Td74","3D",209,720.92,27.92
"298","Td74","3D",1218,771.37,154.48
"299","Td74","3D",3988,725.85,514.83
"300","Td74","3D",3478,335.55,447.72
"301","Td74","3D",4472,158.59,583.25
"302","Td74","3D",4332,590.63,563
"303","Td74","3D",4665,396.52,613.95
"304","Td74","3D",3390,499.42,434.7
"305","Td74","3D",111,842.02,15.38
"306","Td74","3D",568,728.34,73.22
"307","Td74","3D",3909,539.46,503.8
"308","Td74","3D",1945,253.99,249.13
"309","Td74","3D",4138,645.8,532.22
"310","Td74","3D",3807,429.48,490.3
"311","Td74","3D",453,810.25,59.4
"312","Td74","3D",3039,774.09,388.47
"313","Td74","3D",2206,293.32,283.26
"314","Td74","3D",1679,470.12,215.8
"315","Td74","3D",1140,627.42,145.47
"316","Td74","3D",4076,831.89,524.52
"317","Td74","3D",650,685.56,83.07
"318","Td74","3D",933,319.17,121.28
"319","Td74","3D",2527,542.73,324.2
"320","Td74","3D",2459,716.43,314.38
"321","Td74","3D",1430,221.31,183.42
"322","Td74","3D",1696,405.51,217.8
"323","Td74","3D",481,320.52,63.65
"324","Td74","3D",2909,143.28,372.12
"325","Td74","3D",1148,159.72,146.97
"326","Td74","3D",1783,144.37,230.77
"327","Td74","3D",4871,577.53,647.81
"328","Td74","3D",4630,743.9,606.95
"329","Td74","3D",2066,382.93,265.78
"330","Td74","3D",1007,808.93,128.04
"331","Td74","3D",4244,314.58,547.74
"332","Td74","3D",3613,158.39,465.09
"333","Td74","3D",3415,211.78,437.8
"334","Td74","3D",659,10.37,84.94
"335","Td74","3D",4882,870.95,649.54
"336","Td74","3D",140,648.76,17.49
"337","Td74","3D",3092,454.73,395.83
"338","Td74","3D",3814,4.088,491.3
"339","Td74","3D",3305,433.1,422.92
"340","Td74","3D",4730,796.4,625.13
"341","Td74","3D",262,762.46,33.96
"342","Td74","3D",4771,361.54,630.6
"343","Td74","3D",3080,664.93,394.28
"344","Td74","3D",4212,870.33,542.74
"345","Td74","3D",4416,453.94,573.48
"346","Td74","3D",1233,190.1,157.33
"347","Td74","3D",2296,828.59,294.5
"348","Td74","3D",2447,600.73,313.3
"349","Td74","3D",2846,800.73,364.61
"350","Td74","3D",2918,184.89,374
"351","Td74","3D",1543,852.87,197.27
"352","Td74","3D",1400,669.26,182.69
"353","Td74","3D",2422,476.49,310.49
"354","Td74","3D",1508,81.67,194.51
"355","Td74","3D",565,596.36,71.79
"356","Td74","3D",2787,244.11,359.58
"357","Td74","3D",4509,223.09,586.73
"358","Td74","3D",1922,526.28,245.93
"359","Td74","3D",3227,855.97,414.55
"360","Td74","3D",3298,420.28,424.13
"361","Td74","3D",1103,307.31,142.11
"362","Td74","3D",1961,741.79,251.45
"363","Td74","3D",1284,364.89,165.24
"364","Td74","3D",1168,197.82,149.28
"365","Td74","3D",2440,282.02,313.04
