"","MouseID","DPI","ID","X","Y"
"1","Td74","3D",11,504.5,55.56
"2","Td74","3D",16,518.56,85.99
"3","Td74","3D",26,213.27,159.26
"4","Td74","3D",70,833.04,520.8
"5","Td74","3D",55,840.67,405.84
"6","Td74","3D",25,476.66,156.08
"7","Td74","3D",54,688.46,404.43
"8","Td74","3D",49,746.93,362.64
"9","Td74","3D",7,104.65,25.46
"10","Td74","3D",28,195.49,168.36
"11","Td74","3D",4,103.98,10.97
"12","Td74","3D",39,441.09,306.37
"13","Td74","3D",35,627.33,268.29
"14","Td74","3D",76,749.3,597.24
"15","Td74","3D",42,538.84,324.64
"16","Td74","3D",27,7.707,161.35
"17","Td74","3D",60,485.88,448.51
"18","Td74","3D",38,219.99,289.73
"19","Td74","3D",23,712.63,143.91
"20","Td74","3D",3,506.12,6.174
"21","Td74","3D",45,274.87,335.75
"22","Td74","3D",63,28.26,468.73
"23","Td74","3D",29,654.16,226.92
"24","Td74","3D",48,562.38,360.33
"25","Td74","3D",24,627.17,145.64
"26","Td74","3D",40,504.45,303.02
"27","Td74","3D",32,545.22,233.41
"28","Td74","3D",19,849.31,103.48
"29","Td74","3D",75,703.61,586.7
"30","Td74","3D",47,450.16,364.01
"31","Td74","3D",21,498.49,125.29
"32","Td74","3D",10,20.42,39.23
"33","Td74","3D",71,538.81,531.68
"34","Td74","3D",8,218.44,31.96
"35","Td74","3D",65,158.39,475.3
"36","Td74","3D",51,629.82,395.07
"37","Td74","3D",33,816.17,232.57
"38","Td74","3D",57,779.34,423.88
"39","Td74","3D",61,638.82,463.03
"40","Td74","3D",36,283.32,275.64
"41","Td74","3D",12,517.6,46.48
"42","Td74","3D",67,53.34,482.41
"43","Td74","3D",62,492.62,463.03
"44","Td74","3D",6,700.43,17
"45","Td74","3D",56,313.21,419.96
"46","Td74","3D",66,773.13,482.33
"47","Td74","3D",18,474.35,93.15
"48","Td74","3D",41,212.39,312.78
"49","Td74","3D",5,842.58,15.69
"50","Td74","3D",52,455.65,395.18
"51","Td74","3D",34,328.07,237.49
"52","Td74","3D",50,46.12,370.57
"53","Td74","3D",73,560.65,564.05
"54","Td74","3D",9,318.85,33.95
"55","Td74","3D",44,286.1,334.28
"56","Td74","3D",74,808.7,577.2
"57","Td74","3D",69,449.18,515.4
"58","Td74","3D",46,874.99,361.05
"59","Td74","3D",68,779.11,491.54
"60","Td74","3D",72,272.79,531.02
"61","Td74","3D",30,804.14,229.15
"62","Td74","3D",43,662.62,329.3
"63","Td74","3D",31,338.13,232.54
"64","Td74","3D",14,507.7,74.53
"65","Td74","3D",59,243.29,438.92
"66","Td74","3D",13,522.03,73.06
"67","Td74","3D",17,531.6,88.91
"68","Td74","3D",58,312,435.02
"69","Td74","3D",22,720.36,139.97
"70","Td74","3D",20,12.53,108.2
"71","Td74","3D",53,467.91,397.07
"72","Td74","3D",2,494.34,3.737
"73","Td74","3D",15,532.25,78.04
"74","Td74","3D",37,628.64,276.91
"75","Td74","3D",1,483.14,2.389
"76","Td74","3D",64,640.71,471.96
