"","MouseID","DPI","ID","X","Y"
"1","Td80","0D",701,553.71,113.95
"2","Td80","0D",2584,171.88,422.02
"3","Td80","0D",422,329.35,68.14
"4","Td80","0D",1402,118.4,233.4
"5","Td80","0D",1176,850.45,200.1
"6","Td80","0D",3860,721.71,624.64
"7","Td80","0D",3730,317.95,604.33
"8","Td80","0D",719,24.64,118.76
"9","Td80","0D",677,57.94,109.99
"10","Td80","0D",3636,674.79,589.44
"11","Td80","0D",2452,402.84,403.46
"12","Td80","0D",353,313.83,56.73
"13","Td80","0D",3032,582.21,490.84
"14","Td80","0D",3650,721.24,591.41
"15","Td80","0D",3620,103.19,588.89
"16","Td80","0D",3458,546.43,562.49
"17","Td80","0D",1600,328.97,264.13
"18","Td80","0D",4040,422.72,651.39
"19","Td80","0D",3802,603.32,619.28
"20","Td80","0D",2036,758.45,332.09
"21","Td80","0D",1440,201.28,238.74
"22","Td80","0D",3350,862.8,544.34
"23","Td80","0D",706,241.41,114.63
"24","Td80","0D",1394,612.89,232.38
"25","Td80","0D",1122,734.06,193.04
"26","Td80","0D",1822,567.39,298.27
"27","Td80","0D",2730,237.18,442.6
"28","Td80","0D",3223,743.96,521.21
"29","Td80","0D",3304,676.28,535.7
"30","Td80","0D",778,646.39,128.98
"31","Td80","0D",924,379.61,154.95
"32","Td80","0D",2579,283.94,422.44
"33","Td80","0D",2761,265.87,448.93
"34","Td80","0D",1629,832.47,267.5
"35","Td80","0D",2949,90.29,478.39
"36","Td80","0D",2609,681.49,424.5
"37","Td80","0D",3176,339.74,515.86
"38","Td80","0D",933,781.73,155.76
"39","Td80","0D",3751,65.48,606.99
"40","Td80","0D",3357,376.85,547.99
"41","Td80","0D",557,270.28,88.74
"42","Td80","0D",503,354.47,80.88
"43","Td80","0D",3243,663.59,525.02
"44","Td80","0D",2846,241.03,462.75
"45","Td80","0D",3341,235.49,541.91
"46","Td80","0D",2289,759.8,372.35
"47","Td80","0D",979,181.66,164.38
"48","Td80","0D",538,36.59,87.32
"49","Td80","0D",2272,54.39,368.18
"50","Td80","0D",304,6.902,49.63
"51","Td80","0D",3623,865.65,586.05
"52","Td80","0D",533,806.45,86.34
"53","Td80","0D",1651,19.82,272.02
"54","Td80","0D",1645,872.43,269.25
