"","MouseID","DPI","ID","X","Y"
"1","Td80","0D",10,746.79,66.31
"2","Td80","0D",73,76.1,438.05
"3","Td80","0D",34,855.86,189.58
"4","Td80","0D",54,863.21,313.97
"5","Td80","0D",6,694.76,61.22
"6","Td80","0D",77,65.65,474.75
"7","Td80","0D",20,177.01,144.46
"8","Td80","0D",8,709.66,63.24
"9","Td80","0D",61,13.25,343.3
"10","Td80","0D",51,175.91,299.87
"11","Td80","0D",36,870.97,196.03
"12","Td80","0D",57,874.16,323.77
"13","Td80","0D",98,640.41,602.78
"14","Td80","0D",84,542.28,495.63
"15","Td80","0D",25,169.12,155.95
"16","Td80","0D",29,844.54,178.56
"17","Td80","0D",13,643.43,81.1
"18","Td80","0D",85,49.64,500.18
"19","Td80","0D",83,526.39,494.81
"20","Td80","0D",80,57.3,487.37
"21","Td80","0D",40,179.14,227.77
"22","Td80","0D",56,774.03,315.16
"23","Td80","0D",65,615.74,373.23
"24","Td80","0D",41,588.98,243.2
"25","Td80","0D",21,211.06,141.4
"26","Td80","0D",3,797.22,17.01
"27","Td80","0D",23,596.27,146.82
"28","Td80","0D",7,869.82,62.59
"29","Td80","0D",32,297.55,181.41
"30","Td80","0D",17,71.34,114.77
"31","Td80","0D",43,632.47,252.75
"32","Td80","0D",5,609,49.89
"33","Td80","0D",96,617.73,601.29
"34","Td80","0D",27,592.89,160.34
"35","Td80","0D",47,533.61,277.53
"36","Td80","0D",89,598.82,508.55
"37","Td80","0D",44,491.54,260.1
"38","Td80","0D",26,667.75,158.08
"39","Td80","0D",16,340.25,112.47
"40","Td80","0D",91,131.29,553.04
"41","Td80","0D",103,350.98,645.69
"42","Td80","0D",86,406.53,496.69
"43","Td80","0D",66,558.77,371.85
"44","Td80","0D",76,85.18,450.93
"45","Td80","0D",99,744.38,604.1
"46","Td80","0D",94,41.28,583
"47","Td80","0D",45,772.75,261.21
"48","Td80","0D",72,250.03,429.19
"49","Td80","0D",104,591.79,651.46
"50","Td80","0D",92,698.29,560.28
"51","Td80","0D",68,804.96,377.6
"52","Td80","0D",49,375.27,288.63
"53","Td80","0D",75,306.81,437.54
"54","Td80","0D",100,259.22,606.29
"55","Td80","0D",106,740.95,654.17
"56","Td80","0D",101,433.5,621.4
"57","Td80","0D",90,47.03,513.33
"58","Td80","0D",63,366.4,364.28
"59","Td80","0D",71,570.62,426.28
"60","Td80","0D",78,4.952,482.41
"61","Td80","0D",67,436.7,377.48
"62","Td80","0D",24,354.3,149.15
"63","Td80","0D",64,35.6,363.65
"64","Td80","0D",42,381.43,247.92
"65","Td80","0D",53,167.3,307.45
"66","Td80","0D",4,80.52,46.54
"67","Td80","0D",87,809.7,497.92
"68","Td80","0D",88,232.47,505.19
"69","Td80","0D",2,120.58,5.848
"70","Td80","0D",52,555.41,303.52
"71","Td80","0D",18,767.04,119.89
"72","Td80","0D",60,543.44,341.87
"73","Td80","0D",95,577.46,588.76
"74","Td80","0D",12,354.08,68.93
"75","Td80","0D",38,95.77,212.39
"76","Td80","0D",58,552.98,321.77
"77","Td80","0D",11,646.45,63.85
"78","Td80","0D",62,138.21,350.64
"79","Td80","0D",97,179.09,601.74
"80","Td80","0D",55,342.24,311.65
"81","Td80","0D",33,151.96,183.52
"82","Td80","0D",70,8.323,417.73
"83","Td80","0D",93,124.4,571.63
"84","Td80","0D",14,188.95,77.6
"85","Td80","0D",79,573.96,481.6
"86","Td80","0D",102,549.16,634.62
"87","Td80","0D",46,267.52,274.24
"88","Td80","0D",105,54.55,652.21
"89","Td80","0D",37,41.45,202.58
"90","Td80","0D",35,291.1,191.8
"91","Td80","0D",31,364.56,177.83
"92","Td80","0D",48,182.95,282.86
"93","Td80","0D",39,408.92,222.11
"94","Td80","0D",74,376.84,436.59
"95","Td80","0D",22,502.59,141.82
"96","Td80","0D",15,553.79,88.12
"97","Td80","0D",28,867.93,173.4
"98","Td80","0D",59,450.16,328.45
"99","Td80","0D",1,197.72,4.7
"100","Td80","0D",69,170.66,386.82
"101","Td80","0D",9,760.2,62.36
"102","Td80","0D",19,317.34,121.03
"103","Td80","0D",82,133.92,490.13
"104","Td80","0D",81,566.05,484.9
"105","Td80","0D",50,184.5,293.97
"106","Td80","0D",30,876.18,178.46
