,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tissue_Area,Num Detections,Area ?m^2,Perimeter ?m
1,Td12_7D_MCAO_Str.tif,00fea79f-bb76-4782-8a03-cbc8a752616a,Positive,Positive,Image,Geometry,1822.9,3573.2,14244220,5206,14244220.3,26382.9
2,Td12_7D_MCAO_Str.tif,87823490-343e-4a4a-aacd-6d2528f6b191,Ignore*,Ignore*,Image,Geometry,1171.5,3947.8,0,32,9097659.9,37889
3,Td14_7D_MCAO_Str.tif,099cfa45-92ed-4dcb-8aaa-893cadbe040d,Ignore*,Ignore*,Image,Geometry,1228.5,3153.1,0,27,9560310,35680.8
4,Td14_7D_MCAO_Str.tif,120f8382-b097-46a2-b824-55fefcce6cc0,Positive,Positive,Image,Geometry,1966.8,4068.1,15510598,8318,15510598.4,22082.6
5,Td16_7D_MCAO_Str.tif,71910d5d-0024-4dd9-9acc-76bc7664125a,Positive,Positive,Image,Geometry,2043.5,3092.9,13224364,3745,13224363.9,19990.5
6,Td16_7D_MCAO_Str.tif,03a8b29a-8ed5-4691-9b48-223f134f4435,Ignore*,Ignore*,Image,Geometry,841.67,3139.3,0,9,7010668.9,28591.1
7,Td18_7D_MCAO_Str.tif,83e41c98-76a6-40f4-97bc-24d8defb24a0,Positive,Positive,Image,Geometry,2094.1,3024.2,13714030,4931,13714030,22082.6
8,Td18_7D_MCAO_Str.tif,470e7a66-05b8-40e3-a236-26887f77df71,Ignore*,Ignore*,Image,Geometry,911.11,3269.5,0,9,7243682.5,32775.2
9,Td20_14D_MCAO_Str.tif,d85c0058-17fa-4f82-abaa-6359404ec7ee,Positive,Positive,Image,Geometry,2506.6,2896.2,8884908,3649,8884908.4,17782.3
10,Td20_14D_MCAO_Str.tif,46e88474-c486-4907-b820-917bb913582a,Ignore*,Ignore*,Image,Geometry,1080.8,3265.6,0,20,12072804.1,26731.5
11,Td21_14D_MCAO_Str.tif,d90145d9-45df-4ca3-b56f-43afe82afd6a,Ignore*,Ignore*,Image,Geometry,1055.4,3102.2,0,32,11356878.4,24755.7
12,Td21_14D_MCAO_Str.tif,2f0e19c2-7d26-4fd7-81bf-126d1bb45f62,Positive,Positive,Image,Geometry,2394.6,3117.3,9239494,6529,9239494.3,19060.7
13,Td22_14D_MCAO_Str.tif,9a678066-2238-4d17-9f7b-dc5372f42d7d,Positive,Positive,Image,Geometry,2208.7,2948,10813180,7411,10813180.1,16852.5
