object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,Vacular,0.99,0.01,1348.0,17.0,1329.0,0.0,268.0,1338.0261,7.302239
1,0,2,0,Vacular,0.55,0.45,307.0,33.0,291.0,17.0,202.0,298.4802,24.361385
2,0,3,0,NonVascular,0.49,0.51,1418.0,48.0,1405.0,38.0,105.0,1410.9524,42.361904
3,0,4,0,NonVascular,0.39,0.61,1848.0,57.0,1832.0,39.0,206.0,1839.4418,47.941746
4,0,5,0,Vacular,0.68,0.32,737.0,81.0,717.0,59.0,328.0,726.8049,69.73781
5,0,6,0,NonVascular,0.47,0.53,1394.0,69.0,1386.0,60.0,57.0,1389.5614,64.17544
6,0,7,0,Vacular,0.98,0.02,14.0,85.0,0.0,62.0,253.0,5.6205535,72.01581
7,0,8,0,Vacular,0.68,0.32,522.0,103.0,505.0,82.0,275.0,512.63275,92.03273
8,0,9,0,Vacular,0.89,0.11,207.0,113.0,191.0,94.0,248.0,198.6129,102.84677
9,0,10,0,Vacular,0.98,0.02,897.0,120.0,877.0,96.0,367.0,886.248,107.70845
10,0,11,0,Vacular,0.95,0.05,1565.0,124.0,1541.0,100.0,428.0,1552.8574,112.64019
11,0,12,0,NonVascular,0.0,1.0,980.0,162.0,937.0,106.0,1446.0,955.4855,131.61479
12,0,13,0,Vacular,0.84,0.16,1044.0,132.0,1028.0,113.0,236.0,1035.8093,122.26695
13,0,14,0,Vacular,0.7,0.3,1799.0,149.0,1780.0,133.0,236.0,1788.7584,140.34746
14,0,15,0,Vacular,0.91,0.09,1326.0,156.0,1303.0,137.0,346.0,1313.8613,145.60115
15,0,16,0,Vacular,0.73,0.27,697.0,168.0,673.0,146.0,374.0,684.48126,156.86899
16,0,17,0,Vacular,0.97,0.03,616.0,177.0,598.0,152.0,347.0,606.4928,163.9366
17,0,18,0,Vacular,0.95,0.05,1419.0,179.0,1397.0,158.0,361.0,1407.5568,168.38504
18,0,19,0,Vacular,0.98,0.02,1639.0,191.0,1620.0,170.0,323.0,1628.4644,180.12384
19,0,20,0,NonVascular,0.16,0.84,1180.0,214.0,1163.0,200.0,144.0,1171.4445,206.17361
20,0,21,0,NonVascular,0.47,0.53,957.0,236.0,940.0,218.0,236.0,948.3644,226.75847
21,0,22,0,Vacular,0.97,0.03,483.0,245.0,463.0,225.0,317.0,472.99368,234.19559
22,0,23,0,NonVascular,0.01,0.99,910.0,317.0,858.0,243.0,2058.0,883.28375,279.31
23,0,24,0,Vacular,0.52,0.48,744.0,261.0,728.0,244.0,215.0,735.29767,252.13954
24,0,25,0,NonVascular,0.21,0.79,794.0,264.0,774.0,246.0,132.0,783.23486,256.20456
25,0,26,0,Vacular,0.84,0.16,1400.0,268.0,1382.0,252.0,236.0,1390.3983,259.52966
26,0,27,0,NonVascular,0.21,0.79,1936.0,360.0,1880.0,255.0,2781.0,1911.6049,309.01904
27,0,28,0,NonVascular,0.15,0.85,928.0,286.0,914.0,267.0,201.0,920.55225,276.49252
28,0,29,0,Vacular,0.89,0.11,1863.0,321.0,1840.0,300.0,386.0,1851.0363,310.44818
29,0,30,0,Vacular,0.58,0.42,1086.0,325.0,1067.0,309.0,236.0,1076.4534,316.68643
30,0,31,0,NonVascular,0.37,0.63,1704.0,331.0,1693.0,316.0,124.0,1698.3871,322.87097
31,0,32,0,Vacular,0.56,0.44,792.0,342.0,770.0,324.0,308.0,780.526,332.57144
32,0,33,0,Vacular,1.0,0.0,553.0,385.0,534.0,360.0,375.0,543.4,372.29333
33,0,34,0,Vacular,0.96,0.04,900.0,384.0,880.0,363.0,321.0,889.67914,372.53894
34,0,35,0,Vacular,0.74,0.26,382.0,389.0,359.0,367.0,390.0,369.85385,377.67435
35,0,36,0,Vacular,0.55,0.45,1116.0,391.0,1104.0,383.0,77.0,1109.4286,386.2987
36,0,37,0,NonVascular,0.21,0.79,391.0,403.0,382.0,387.0,72.0,385.66666,394.30554
37,0,38,0,Vacular,0.99,0.01,423.0,414.0,398.0,390.0,353.0,411.3626,402.49008
38,0,39,0,Vacular,1.0,0.0,1683.0,416.0,1660.0,393.0,385.0,1671.3896,404.22598
39,0,40,0,Vacular,0.56,0.44,481.0,508.0,416.0,412.0,2223.0,447.7139,463.78903
40,0,41,0,Vacular,0.82,0.18,1396.0,440.0,1374.0,422.0,316.0,1384.7784,430.52216
41,0,42,0,NonVascular,0.46,0.54,1503.0,444.0,1487.0,430.0,151.0,1495.0133,436.57617
42,0,43,0,Vacular,0.98,0.02,630.0,473.0,613.0,452.0,287.0,620.8153,461.885
43,0,44,0,Vacular,0.85,0.15,1501.0,472.0,1481.0,452.0,310.0,1490.258,461.8
44,0,45,0,Vacular,0.52,0.48,739.0,489.0,719.0,469.0,302.0,728.7947,478.89072
45,0,46,0,NonVascular,0.35,0.65,1273.0,497.0,1259.0,485.0,112.0,1264.5178,490.2857
46,0,47,0,Vacular,0.8,0.2,1811.0,524.0,1785.0,491.0,587.0,1797.5878,506.82114
47,0,48,0,Vacular,0.99,0.01,21.0,515.0,0.0,492.0,370.0,9.935135,501.9108
48,0,49,0,Vacular,0.91,0.09,468.0,521.0,451.0,503.0,215.0,459.49768,511.6093
49,0,50,0,Vacular,0.85,0.15,509.0,540.0,484.0,505.0,407.0,496.36118,518.2261
50,0,51,0,Vacular,0.72,0.28,286.0,530.0,263.0,509.0,366.0,273.7131,519.3033
51,0,52,0,NonVascular,0.2,0.8,1256.0,537.0,1249.0,527.0,52.0,1251.9615,531.5
52,0,53,0,Vacular,0.95,0.05,1036.0,550.0,1017.0,529.0,318.0,1026.2673,538.80817
53,0,54,0,Vacular,0.8,0.2,594.0,546.0,585.0,537.0,67.0,589.13434,541.1194
54,0,55,0,Vacular,0.87,0.13,527.0,569.0,492.0,544.0,524.0,507.79007,556.3187
55,0,56,0,Vacular,0.87,0.13,1394.0,564.0,1373.0,545.0,306.0,1382.3693,553.6699
56,0,57,0,NonVascular,0.18,0.82,1224.0,570.0,1207.0,554.0,190.0,1215.3263,562.04736
57,0,58,0,Vacular,1.0,0.0,38.0,581.0,19.0,555.0,390.0,28.15641,567.5359
58,0,59,0,Vacular,0.96,0.04,301.0,579.0,282.0,558.0,326.0,290.64725,567.8037
59,0,60,0,Vacular,0.92,0.08,547.0,591.0,528.0,572.0,298.0,537.34564,580.86914
60,0,61,0,Vacular,0.77,0.23,1618.0,595.0,1594.0,573.0,378.0,1605.6561,583.8783
61,0,62,0,Vacular,0.97,0.03,1502.0,612.0,1480.0,590.0,396.0,1490.409,600.3409
62,0,63,0,Vacular,0.94,0.06,716.0,617.0,693.0,595.0,401.0,704.2818,605.2494
63,0,64,0,NonVascular,0.0,1.0,918.0,694.0,815.0,598.0,5150.0,867.41205,650.04
64,0,65,0,Vacular,0.97,0.03,1130.0,619.0,1109.0,598.0,342.0,1118.8625,608.13745
65,0,66,0,NonVascular,0.21,0.79,18.0,668.0,0.0,599.0,560.0,7.4142857,632.8125
66,0,67,0,Vacular,0.58,0.42,595.0,644.0,555.0,605.0,1036.0,575.8929,623.278
67,0,68,0,NonVascular,0.2,0.8,841.0,627.0,833.0,617.0,54.0,836.37036,621.53705
68,0,69,0,Vacular,0.53,0.47,1690.0,643.0,1673.0,627.0,208.0,1680.9904,635.00964
69,0,70,0,Vacular,0.94,0.06,1282.0,651.0,1263.0,629.0,314.0,1271.8567,639.94904
70,0,71,0,Vacular,0.89,0.11,1335.0,655.0,1314.0,635.0,320.0,1323.9688,644.59686
71,0,72,0,Vacular,0.77,0.23,612.0,668.0,593.0,644.0,285.0,601.8351,656.5088
72,0,73,0,NonVascular,0.2,0.8,691.0,683.0,665.0,656.0,375.0,678.83734,669.03735
73,0,74,0,Vacular,0.97,0.03,649.0,679.0,623.0,658.0,407.0,634.86975,668.4054
74,0,75,0,Vacular,0.85,0.15,754.0,697.0,733.0,676.0,317.0,743.2019,686.8423
75,0,76,0,Vacular,0.99,0.01,248.0,699.0,227.0,678.0,332.0,237.68675,688.012
76,0,77,0,Vacular,0.88,0.12,1429.0,700.0,1408.0,680.0,332.0,1417.8434,689.80725
77,0,78,0,Vacular,0.98,0.02,12.0,717.0,0.0,686.0,313.0,5.1246004,700.76996
78,0,79,0,Vacular,0.96,0.04,971.0,711.0,948.0,693.0,327.0,959.4679,701.4556
79,0,80,0,NonVascular,0.02,0.98,270.0,812.0,176.0,705.0,3415.0,215.09488,740.7426
80,0,81,0,NonVascular,0.45,0.55,1243.0,735.0,1229.0,722.0,136.0,1235.3677,727.69116
81,0,82,0,Vacular,0.89,0.11,1599.0,745.0,1581.0,723.0,323.0,1589.2539,732.9598
82,0,83,0,Vacular,0.91,0.09,417.0,759.0,397.0,740.0,303.0,406.1683,749.0429
83,0,84,0,Vacular,0.83,0.17,252.0,783.0,220.0,754.0,643.0,236.03732,768.72003
84,0,85,0,Vacular,0.95,0.05,16.0,801.0,0.0,760.0,396.0,6.3560605,782.97473
85,0,86,0,NonVascular,0.05,0.95,262.0,810.0,232.0,782.0,444.0,247.02252,793.27026
86,0,87,0,Vacular,0.97,0.03,1202.0,809.0,1181.0,784.0,394.0,1191.0914,796.1269
87,0,88,0,Vacular,0.87,0.13,1468.0,819.0,1442.0,791.0,523.0,1453.7782,805.24664
88,0,89,0,Vacular,0.94,0.06,1050.0,822.0,1030.0,803.0,298.0,1039.5167,811.6577
89,0,90,0,NonVascular,0.47,0.53,1678.0,829.0,1650.0,805.0,397.0,1661.131,816.48865
90,0,91,0,Vacular,0.88,0.12,33.0,831.0,10.0,813.0,295.0,21.762712,822.0102
91,0,92,0,Vacular,0.99,0.01,224.0,839.0,204.0,820.0,301.0,213.44186,828.7475
92,0,93,0,Vacular,0.94,0.06,1471.0,839.0,1454.0,824.0,201.0,1462.2836,830.5025
93,0,94,0,NonVascular,0.33,0.67,1701.0,848.0,1682.0,825.0,330.0,1691.1879,835.8242
94,0,95,0,Vacular,0.95,0.05,404.0,855.0,380.0,834.0,377.0,391.0955,844.17505
95,0,96,0,Vacular,1.0,0.0,667.0,860.0,646.0,837.0,359.0,655.8858,847.9081
96,0,97,0,NonVascular,0.16,0.84,1491.0,847.0,1474.0,839.0,74.0,1482.1757,843.08105
97,0,98,0,NonVascular,0.01,0.99,1140.0,925.0,1050.0,840.0,4428.0,1091.8207,885.25653
98,0,99,0,Vacular,0.9,0.1,1505.0,870.0,1480.0,847.0,421.0,1491.3729,858.14966
99,0,100,0,NonVascular,0.35,0.65,227.0,871.0,203.0,851.0,349.0,214.05731,859.6476
100,0,101,0,Vacular,0.8,0.2,1006.0,878.0,990.0,861.0,214.0,997.3598,869.3318
101,0,102,0,Vacular,0.88,0.12,942.0,896.0,923.0,881.0,227.0,931.97797,888.19385
102,0,103,0,Vacular,0.83,0.17,1244.0,931.0,1209.0,891.0,810.0,1227.3124,910.1741
103,0,104,0,NonVascular,0.44,0.56,1361.0,910.0,1350.0,897.0,107.0,1355.1776,902.78503
104,0,105,0,Vacular,0.98,0.02,252.0,944.0,231.0,924.0,337.0,241.30267,933.19586
105,0,106,0,Vacular,0.99,0.01,1322.0,946.0,1301.0,925.0,363.0,1310.8237,935.0275
106,0,107,0,NonVascular,0.05,0.95,144.0,978.0,108.0,940.0,654.0,124.56881,961.22784
107,0,108,0,Vacular,0.96,0.04,778.0,965.0,755.0,946.0,346.0,765.9798,954.9104
108,0,109,0,Vacular,0.51,0.49,229.0,1050.0,146.0,974.0,2095.0,188.94415,1006.9589
109,0,110,0,Vacular,0.79,0.21,1936.0,1002.0,1920.0,982.0,267.0,1928.1686,991.1311
110,0,111,0,Vacular,0.9,0.1,590.0,1025.0,570.0,1004.0,305.0,579.9902,1013.518
111,0,112,0,NonVascular,0.46,0.54,1107.0,1022.0,1094.0,1009.0,130.0,1100.0,1015.1385
112,0,113,0,Vacular,0.97,0.03,1637.0,1034.0,1612.0,1010.0,452.0,1624.2522,1020.52875
113,0,114,0,NonVascular,0.02,0.98,85.0,1059.0,54.0,1026.0,478.0,64.94979,1041.3431
114,0,115,0,NonVascular,0.02,0.98,1665.0,1044.0,1642.0,1027.0,172.0,1651.907,1035.1105
115,0,116,0,Vacular,0.98,0.02,1223.0,1053.0,1203.0,1028.0,380.0,1212.1211,1039.3105
116,0,117,0,NonVascular,0.15,0.85,392.0,1055.0,356.0,1032.0,436.0,369.8555,1042.3876
117,0,118,0,Vacular,1.0,0.0,685.0,1051.0,661.0,1032.0,353.0,672.3116,1041.3088
118,0,119,0,Vacular,0.7,0.3,36.0,1060.0,7.0,1036.0,418.0,22.098085,1046.3899
119,0,120,0,Vacular,0.89,0.11,287.0,1077.0,246.0,1040.0,846.0,264.63004,1059.2754
120,0,121,0,Vacular,0.65,0.35,239.0,1058.0,220.0,1050.0,103.0,229.63107,1053.1748
121,0,122,0,Vacular,0.75,0.25,1476.0,1074.0,1455.0,1052.0,367.0,1464.4496,1062.5367
122,0,123,0,NonVascular,0.07,0.93,11.0,1089.0,0.0,1072.0,138.0,4.6014495,1079.4348
123,0,124,0,Vacular,0.94,0.06,256.0,1096.0,233.0,1073.0,215.0,245.27441,1083.7906
124,0,125,0,Vacular,0.95,0.05,315.0,1096.0,281.0,1075.0,431.0,298.29236,1084.7935
125,0,126,0,Vacular,0.99,0.01,869.0,1098.0,845.0,1077.0,389.0,855.97174,1087.4061
126,0,127,0,Vacular,0.91,0.09,1695.0,1103.0,1670.0,1080.0,429.0,1682.2657,1090.1376
127,0,128,0,Vacular,0.96,0.04,1291.0,1118.0,1274.0,1095.0,292.0,1282.7432,1105.4863
128,0,129,0,Vacular,0.91,0.09,1402.0,1127.0,1379.0,1105.0,390.0,1390.1077,1115.123
129,0,130,0,NonVascular,0.08,0.92,864.0,1117.0,849.0,1107.0,101.0,855.901,1110.3466
130,0,131,0,Vacular,0.93,0.07,333.0,1141.0,304.0,1116.0,480.0,318.65,1128.2875
131,0,132,0,Vacular,0.88,0.12,810.0,1141.0,788.0,1117.0,380.0,799.05,1128.6237
132,0,133,0,Vacular,0.98,0.02,84.0,1142.0,63.0,1120.0,362.0,73.060776,1130.5387
133,0,134,0,Vacular,0.91,0.09,1731.0,1147.0,1709.0,1125.0,377.0,1719.4562,1134.6366
134,0,135,0,NonVascular,0.26,0.74,1160.0,1169.0,1133.0,1148.0,415.0,1146.665,1156.8385
135,0,136,0,NonVascular,0.36,0.64,439.0,1213.0,383.0,1158.0,1295.0,411.35675,1187.4279
136,0,137,0,NonVascular,0.41,0.59,608.0,1175.0,590.0,1160.0,214.0,598.8645,1166.6729
137,0,138,0,NonVascular,0.43,0.57,1131.0,1176.0,1120.0,1162.0,120.0,1124.975,1168.975
138,0,139,0,NonVascular,0.02,0.98,420.0,1238.0,339.0,1166.0,2134.0,369.81583,1203.0426
139,0,140,0,NonVascular,0.47,0.53,1634.0,1209.0,1626.0,1197.0,73.0,1629.7123,1202.3424
140,0,141,0,Vacular,0.89,0.11,1315.0,1235.0,1294.0,1209.0,455.0,1304.1714,1221.7671
141,0,142,0,Vacular,0.96,0.04,899.0,1237.0,879.0,1218.0,312.0,888.6923,1226.9744
142,0,143,0,Vacular,0.88,0.12,697.0,1247.0,677.0,1224.0,341.0,686.98535,1235.478
143,0,144,0,NonVascular,0.23,0.77,1642.0,1257.0,1629.0,1245.0,104.0,1635.9423,1250.4615
144,0,145,0,Vacular,0.87,0.13,1818.0,1264.0,1798.0,1245.0,278.0,1807.1151,1254.1835
145,0,146,0,NonVascular,0.44,0.56,597.0,1261.0,580.0,1251.0,127.0,588.0079,1255.5039
146,0,147,0,Vacular,0.95,0.05,1292.0,1289.0,1273.0,1264.0,369.0,1282.4011,1275.9187
147,0,148,0,Vacular,0.93,0.07,1375.0,1294.0,1356.0,1271.0,349.0,1364.8109,1282.1461
