object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,Vacular,0.94,0.06,756.0,11.0,733.0,0.0,188.0,743.28723,3.9095745
1,0,2,0,Vacular,0.67,0.33,743.0,24.0,733.0,12.0,90.0,737.73334,17.088888
2,0,3,0,NonVascular,0.12,0.88,1044.0,48.0,1012.0,25.0,495.0,1026.9253,37.345455
3,0,4,0,Vacular,0.89,0.11,1733.0,69.0,1711.0,48.0,343.0,1721.0787,58.265305
4,0,5,0,NonVascular,0.19,0.81,437.0,77.0,412.0,50.0,394.0,424.42386,61.840103
5,0,6,0,Vacular,0.93,0.07,1450.0,91.0,1434.0,68.0,291.0,1441.1547,79.2921
6,0,7,0,Vacular,0.97,0.03,168.0,96.0,141.0,73.0,421.0,154.6057,84.19477
7,0,8,0,NonVascular,0.39,0.61,1908.0,96.0,1900.0,86.0,68.0,1903.6471,90.17647
8,0,9,0,NonVascular,0.2,0.8,30.0,102.0,16.0,90.0,118.0,22.313559,95.44068
9,0,10,0,NonVascular,0.08,0.92,212.0,124.0,164.0,91.0,721.0,185.23302,107.21914
10,0,11,0,NonVascular,0.38,0.62,276.0,127.0,246.0,101.0,398.0,262.5804,112.28895
11,0,12,0,NonVascular,0.25,0.75,8.0,115.0,0.0,105.0,65.0,3.0307693,110.10769
12,0,13,0,NonVascular,0.22,0.78,41.0,126.0,10.0,105.0,316.0,24.702532,115.20253
13,0,14,0,NonVascular,0.41,0.59,1145.0,143.0,1136.0,134.0,67.0,1140.0,138.1194
14,0,15,0,NonVascular,0.2,0.8,1865.0,165.0,1855.0,156.0,50.0,1859.42,160.44
15,0,16,0,Vacular,0.99,0.01,903.0,182.0,881.0,159.0,358.0,891.22345,169.6285
16,0,17,0,Vacular,0.91,0.09,278.0,216.0,253.0,194.0,392.0,265.80103,204.00766
17,0,18,0,NonVascular,0.48,0.52,1389.0,216.0,1370.0,199.0,254.0,1378.8386,207.40552
18,0,19,0,NonVascular,0.24,0.76,1828.0,227.0,1819.0,219.0,57.0,1823.228,222.5614
19,0,20,0,NonVascular,0.12,0.88,429.0,234.0,419.0,221.0,76.0,423.03946,225.8158
20,0,21,0,NonVascular,0.21,0.79,1510.0,253.0,1500.0,245.0,63.0,1504.3016,248.42857
21,0,22,0,NonVascular,0.04,0.96,157.0,275.0,131.0,246.0,458.0,143.86026,261.04584
22,0,23,0,Vacular,0.87,0.13,1653.0,265.0,1633.0,247.0,278.0,1642.4532,255.32014
23,0,24,0,Vacular,0.94,0.06,964.0,292.0,946.0,270.0,306.0,954.6177,281.09805
24,0,25,0,Vacular,0.93,0.07,108.0,303.0,87.0,277.0,418.0,97.181816,289.9378
25,0,26,0,Vacular,0.95,0.05,426.0,297.0,408.0,278.0,268.0,416.46268,287.40298
26,0,27,0,Vacular,0.95,0.05,651.0,320.0,631.0,296.0,348.0,640.1724,307.55173
27,0,28,0,Vacular,0.93,0.07,1281.0,344.0,1259.0,326.0,323.0,1269.7523,334.4799
28,0,29,0,Vacular,0.99,0.01,1687.0,373.0,1662.0,355.0,362.0,1674.7762,363.40884
29,0,30,0,Vacular,0.9,0.1,1501.0,380.0,1480.0,361.0,325.0,1490.1415,369.9446
30,0,31,0,NonVascular,0.01,0.99,1792.0,410.0,1755.0,381.0,641.0,1773.2667,395.04367
31,0,32,0,NonVascular,0.22,0.78,23.0,394.0,11.0,386.0,68.0,16.808823,390.19116
32,0,33,0,NonVascular,0.26,0.74,7.0,397.0,0.0,387.0,59.0,2.6949153,391.6271
33,0,34,0,NonVascular,0.28,0.72,433.0,433.0,416.0,414.0,237.0,423.6287,422.0042
34,0,35,0,Vacular,0.79,0.21,1810.0,478.0,1765.0,443.0,767.0,1788.6558,458.11343
35,0,36,0,NonVascular,0.45,0.55,822.0,464.0,803.0,451.0,174.0,812.5517,457.3161
36,0,37,0,Vacular,0.99,0.01,796.0,477.0,770.0,457.0,378.0,782.7778,466.27777
37,0,38,0,Vacular,0.74,0.26,1771.0,481.0,1703.0,461.0,722.0,1732.493,470.5554
38,0,39,0,Vacular,0.91,0.09,554.0,523.0,518.0,497.0,638.0,536.0125,509.05957
39,0,40,0,Vacular,0.57,0.43,1546.0,544.0,1521.0,527.0,285.0,1530.7018,534.78595
40,0,41,0,Vacular,0.93,0.07,1033.0,557.0,1012.0,535.0,349.0,1022.0659,545.1576
41,0,42,0,NonVascular,0.06,0.94,311.0,552.0,296.0,536.0,156.0,302.64743,543.10254
42,0,43,0,Vacular,0.59,0.41,1380.0,548.0,1368.0,536.0,116.0,1373.6034,541.40515
43,0,44,0,NonVascular,0.01,0.99,904.0,577.0,867.0,540.0,837.0,885.07166,557.3584
44,0,45,0,Vacular,0.99,0.01,118.0,607.0,93.0,588.0,381.0,104.608925,597.20996
45,0,46,0,NonVascular,0.03,0.97,1880.0,627.0,1834.0,588.0,956.0,1856.6088,605.6946
46,0,47,0,Vacular,0.94,0.06,464.0,616.0,440.0,590.0,417.0,451.31656,602.79376
47,0,48,0,Vacular,0.95,0.05,1744.0,614.0,1723.0,593.0,354.0,1733.4067,602.87573
48,0,49,0,NonVascular,0.19,0.81,1635.0,634.0,1620.0,607.0,255.0,1627.2588,620.15686
49,0,50,0,Vacular,0.83,0.17,1611.0,634.0,1588.0,613.0,378.0,1599.6561,623.8333
50,0,51,0,Vacular,0.79,0.21,1936.0,683.0,1921.0,664.0,242.0,1928.8016,673.5661
51,0,52,0,NonVascular,0.25,0.75,1433.0,692.0,1411.0,674.0,274.0,1419.7847,682.27734
52,0,53,0,Vacular,0.88,0.12,376.0,790.0,356.0,770.0,307.0,365.35504,779.39087
53,0,54,0,Vacular,0.86,0.14,46.0,813.0,25.0,794.0,320.0,34.70625,803.2438
54,0,55,0,Vacular,0.94,0.06,284.0,834.0,260.0,809.0,460.0,271.53262,820.9761
55,0,56,0,Vacular,0.95,0.05,1431.0,838.0,1410.0,812.0,412.0,1420.0098,824.23303
56,0,57,0,NonVascular,0.03,0.97,1906.0,861.0,1879.0,827.0,548.0,1890.8248,842.1095
57,0,58,0,Vacular,0.84,0.16,484.0,852.0,461.0,832.0,339.0,471.5428,841.2773
58,0,59,0,Vacular,0.95,0.05,289.0,885.0,263.0,859.0,492.0,274.48172,871.7561
59,0,60,0,Vacular,0.77,0.23,889.0,906.0,863.0,882.0,437.0,876.20593,892.9634
60,0,61,0,Vacular,0.96,0.04,1704.0,912.0,1681.0,889.0,408.0,1691.7303,900.14215
61,0,62,0,Vacular,0.79,0.21,338.0,918.0,291.0,894.0,680.0,315.81616,905.6603
62,0,63,0,Vacular,0.5,0.5,164.0,924.0,140.0,906.0,317.0,151.62776,913.82965
63,0,64,0,Vacular,0.92,0.08,228.0,931.0,192.0,907.0,615.0,209.7626,916.787
64,0,65,0,Vacular,0.89,0.11,384.0,927.0,363.0,907.0,334.0,372.6048,916.19763
65,0,66,0,NonVascular,0.42,0.58,1751.0,925.0,1737.0,913.0,113.0,1743.2124,918.39825
66,0,67,0,NonVascular,0.12,0.88,882.0,956.0,824.0,916.0,732.0,856.47,935.6913
67,0,68,0,NonVascular,0.4,0.6,400.0,935.0,390.0,922.0,104.0,394.54807,927.9423
68,0,69,0,Vacular,0.89,0.11,1491.0,946.0,1467.0,925.0,368.0,1478.3994,934.93475
69,0,70,0,Vacular,0.63,0.37,511.0,964.0,459.0,935.0,965.0,483.91708,949.76685
70,0,71,0,NonVascular,0.38,0.62,186.0,948.0,171.0,937.0,111.0,177.13513,941.8378
71,0,72,0,Vacular,0.86,0.14,1057.0,954.0,1048.0,942.0,88.0,1051.8523,947.4773
72,0,73,0,Vacular,0.64,0.36,577.0,987.0,538.0,960.0,604.0,560.87415,972.15894
73,0,74,0,Vacular,0.7,0.3,1243.0,996.0,1218.0,964.0,540.0,1230.9019,981.2537
74,0,75,0,Vacular,0.69,0.31,622.0,999.0,605.0,979.0,142.0,613.3732,989.24646
75,0,76,0,NonVascular,0.05,0.95,799.0,1001.0,774.0,979.0,408.0,785.4363,989.8407
76,0,77,0,Vacular,0.87,0.13,637.0,1005.0,620.0,984.0,218.0,629.7294,994.5688
77,0,78,0,Vacular,0.91,0.09,856.0,1011.0,834.0,990.0,367.0,844.51227,999.18256
78,0,79,0,Vacular,0.92,0.08,686.0,1034.0,657.0,996.0,684.0,670.72516,1014.09064
79,0,80,0,NonVascular,0.1,0.9,833.0,1022.0,807.0,996.0,389.0,819.6915,1009.0051
80,0,81,0,NonVascular,0.19,0.81,1414.0,1020.0,1403.0,1008.0,87.0,1407.3448,1013.68964
81,0,82,0,NonVascular,0.0,1.0,1936.0,1055.0,1903.0,1008.0,1047.0,1922.4211,1029.276
82,0,83,0,NonVascular,0.22,0.78,817.0,1055.0,756.0,1013.0,776.0,789.14044,1032.862
83,0,84,0,Vacular,0.95,0.05,177.0,1063.0,158.0,1041.0,339.0,166.73157,1051.2272
84,0,85,0,Vacular,0.72,0.28,746.0,1055.0,739.0,1042.0,72.0,742.19446,1047.6389
85,0,86,0,Vacular,0.98,0.02,1563.0,1068.0,1542.0,1048.0,335.0,1552.2656,1057.5463
86,0,87,0,Vacular,0.83,0.17,381.0,1082.0,360.0,1062.0,334.0,369.88025,1071.7036
87,0,88,0,Vacular,0.94,0.06,743.0,1091.0,717.0,1065.0,461.0,729.1887,1077.9132
88,0,89,0,Vacular,0.79,0.21,1167.0,1096.0,1122.0,1070.0,748.0,1143.9331,1083.9158
89,0,90,0,NonVascular,0.47,0.53,1837.0,1081.0,1827.0,1071.0,80.0,1831.125,1075.4
90,0,91,0,Vacular,0.76,0.24,102.0,1089.0,85.0,1073.0,214.0,93.107475,1080.4065
91,0,92,0,Vacular,0.62,0.38,139.0,1090.0,124.0,1075.0,166.0,130.94579,1082.0663
92,0,93,0,NonVascular,0.39,0.61,797.0,1093.0,786.0,1083.0,74.0,791.2027,1087.7703
93,0,94,0,NonVascular,0.13,0.87,274.0,1113.0,264.0,1098.0,82.0,268.67075,1105.6464
94,0,95,0,NonVascular,0.11,0.89,738.0,1150.0,725.0,1137.0,119.0,731.4286,1142.8488
95,0,96,0,NonVascular,0.31,0.69,498.0,1164.0,483.0,1149.0,169.0,490.26035,1155.5208
96,0,97,0,NonVascular,0.15,0.85,1607.0,1159.0,1592.0,1150.0,74.0,1597.9324,1153.8379
97,0,98,0,NonVascular,0.0,1.0,1667.0,1189.0,1614.0,1153.0,1118.0,1638.9741,1171.568
