object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,NonVascular,0.35,0.65,298.0,12.0,291.0,0.0,72.0,293.91666,5.2083335
1,0,2,0,NonVascular,0.2,0.8,576.0,21.0,556.0,0.0,322.0,564.14594,8.400621
2,0,3,0,NonVascular,0.03,0.97,614.0,89.0,547.0,0.0,2289.0,575.87506,46.047184
3,0,4,0,NonVascular,0.0,1.0,787.0,105.0,740.0,0.0,2275.0,761.1156,43.71736
4,0,5,0,NonVascular,0.02,0.98,876.0,32.0,823.0,0.0,973.0,849.6156,11.686537
5,0,6,0,NonVascular,0.05,0.95,987.0,17.0,927.0,0.0,634.0,954.1356,5.195584
6,0,7,0,NonVascular,0.0,1.0,1136.0,114.0,1037.0,0.0,4136.0,1090.2164,49.208656
7,0,8,0,NonVascular,0.02,0.98,1266.0,30.0,1215.0,0.0,908.0,1243.6046,11.534141
8,0,9,0,Vacular,0.72,0.28,1376.0,16.0,1350.0,0.0,273.0,1362.1978,5.571429
9,0,10,0,NonVascular,0.02,0.98,685.0,44.0,657.0,3.0,690.0,670.31305,23.031883
10,0,11,0,NonVascular,0.05,0.95,1207.0,154.0,1119.0,8.0,3601.0,1169.1069,80.46071
11,0,12,0,NonVascular,0.27,0.73,281.0,37.0,258.0,9.0,410.0,269.37073,23.95366
12,0,13,0,NonVascular,0.23,0.77,1162.0,46.0,1127.0,9.0,756.0,1143.9814,27.535715
13,0,14,0,NonVascular,0.33,0.67,1162.0,22.0,1151.0,10.0,97.0,1156.7113,14.742268
14,0,15,0,NonVascular,0.02,0.98,1419.0,65.0,1393.0,12.0,876.0,1405.4829,40.03767
15,0,16,0,NonVascular,0.19,0.81,1054.0,36.0,1032.0,15.0,219.0,1044.0273,25.03653
16,0,17,0,NonVascular,0.0,1.0,643.0,68.0,608.0,16.0,887.0,623.3709,41.721535
17,0,18,0,NonVascular,0.2,0.8,314.0,36.0,296.0,17.0,209.0,304.10526,25.870813
18,0,19,0,NonVascular,0.22,0.78,1371.0,33.0,1359.0,20.0,99.0,1364.7273,25.525253
19,0,20,0,Vacular,0.93,0.07,1329.0,48.0,1303.0,26.0,387.0,1315.2222,36.178295
20,0,21,0,Vacular,0.74,0.26,1295.0,90.0,1246.0,27.0,1195.0,1269.5615,54.256905
21,0,22,0,NonVascular,0.0,1.0,986.0,116.0,920.0,29.0,2017.0,950.00446,71.015366
22,0,23,0,Vacular,0.99,0.01,881.0,55.0,858.0,35.0,385.0,869.22076,44.42857
23,0,24,0,NonVascular,0.09,0.91,1237.0,64.0,1226.0,38.0,213.0,1231.554,49.73709
24,0,25,0,NonVascular,0.3,0.7,393.0,122.0,342.0,41.0,1775.0,364.90536,78.59718
25,0,26,0,NonVascular,0.07,0.93,1385.0,95.0,1327.0,41.0,1392.0,1358.5388,69.93462
26,0,27,0,Vacular,0.74,0.26,319.0,66.0,298.0,43.0,376.0,308.0665,53.662235
27,0,28,0,Vacular,0.99,0.01,1338.0,75.0,1315.0,52.0,286.0,1324.937,61.8986
28,0,29,0,NonVascular,0.23,0.77,1670.0,68.0,1661.0,57.0,75.0,1665.1466,62.48
29,0,30,0,NonVascular,0.22,0.78,541.0,73.0,531.0,60.0,91.0,535.0879,65.62637
30,0,31,0,Vacular,0.97,0.03,1637.0,78.0,1610.0,61.0,372.0,1623.0376,68.68817
31,0,32,0,NonVascular,0.23,0.77,296.0,72.0,288.0,62.0,51.0,291.43137,66.64706
32,0,33,0,NonVascular,0.0,1.0,427.0,140.0,388.0,72.0,1613.0,408.70987,111.17917
33,0,34,0,NonVascular,0.05,0.95,913.0,110.0,869.0,73.0,889.0,890.78064,90.99663
34,0,35,0,NonVascular,0.46,0.54,1306.0,99.0,1282.0,75.0,470.0,1292.7574,86.90213
35,0,36,0,Vacular,0.99,0.01,273.0,100.0,247.0,76.0,447.0,260.481,87.185684
36,0,37,0,NonVascular,0.14,0.86,252.0,127.0,223.0,79.0,837.0,236.54958,102.84588
37,0,38,0,NonVascular,0.1,0.9,9.0,100.0,0.0,85.0,85.0,3.447059,91.72941
38,0,39,0,NonVascular,0.0,1.0,1053.0,198.0,995.0,90.0,3239.0,1026.0182,147.81383
39,0,40,0,Vacular,0.82,0.18,1289.0,127.0,1243.0,92.0,770.0,1261.1935,109.6026
40,0,41,0,NonVascular,0.01,0.99,1367.0,237.0,1289.0,103.0,4355.0,1322.7828,165.77864
41,0,42,0,NonVascular,0.0,1.0,303.0,142.0,261.0,106.0,820.0,280.43536,126.66219
42,0,43,0,NonVascular,0.22,0.78,709.0,116.0,697.0,109.0,53.0,702.8868,112.01887
43,0,44,0,NonVascular,0.05,0.95,119.0,150.0,89.0,111.0,715.0,101.87133,130.92728
44,0,45,0,NonVascular,0.21,0.79,703.0,134.0,671.0,111.0,587.0,686.06305,122.216354
45,0,46,0,Vacular,0.86,0.14,1235.0,128.0,1221.0,114.0,158.0,1227.5886,120.72152
46,0,47,0,NonVascular,0.03,0.97,785.0,133.0,769.0,119.0,158.0,775.8924,126.24683
47,0,48,0,NonVascular,0.19,0.81,207.0,138.0,194.0,126.0,115.0,200.1826,131.1826
48,0,49,0,NonVascular,0.02,0.98,916.0,171.0,890.0,131.0,813.0,903.40466,148.6187
49,0,50,0,NonVascular,0.0,1.0,881.0,223.0,794.0,132.0,3601.0,839.6198,175.70314
50,0,51,0,NonVascular,0.0,1.0,990.0,307.0,863.0,134.0,5469.0,942.2778,220.62389
51,0,52,0,NonVascular,0.26,0.74,1627.0,142.0,1618.0,134.0,55.0,1622.091,137.05455
52,0,53,0,Vacular,0.71,0.29,1267.0,192.0,1210.0,137.0,1377.0,1241.159,161.02106
53,0,54,0,NonVascular,0.01,0.99,359.0,167.0,337.0,144.0,336.0,347.15475,155.91965
54,0,55,0,NonVascular,0.04,0.96,528.0,170.0,498.0,144.0,640.0,512.3641,157.71875
55,0,56,0,NonVascular,0.24,0.76,303.0,155.0,293.0,146.0,70.0,297.3143,149.98572
56,0,57,0,NonVascular,0.47,0.53,1548.0,165.0,1525.0,147.0,344.0,1536.7413,155.44186
57,0,58,0,NonVascular,0.27,0.73,416.0,246.0,279.0,153.0,3920.0,354.34848,201.36684
58,0,59,0,NonVascular,0.0,1.0,1153.0,203.0,1110.0,155.0,1458.0,1129.5007,178.98422
59,0,60,0,NonVascular,0.22,0.78,293.0,179.0,282.0,162.0,96.0,287.6146,169.33333
60,0,61,0,Vacular,0.99,0.01,1614.0,182.0,1588.0,164.0,364.0,1601.0385,172.42308
61,0,62,0,NonVascular,0.09,0.91,1797.0,189.0,1770.0,164.0,395.0,1785.4076,176.74431
62,0,63,0,NonVascular,0.01,0.99,43.0,195.0,14.0,168.0,361.0,29.069252,181.10527
63,0,64,0,NonVascular,0.27,0.73,599.0,328.0,462.0,183.0,5750.0,526.88385,249.81444
64,0,65,0,NonVascular,0.08,0.92,916.0,215.0,892.0,185.0,444.0,904.9122,200.6982
65,0,66,0,NonVascular,0.06,0.94,1757.0,200.0,1740.0,187.0,155.0,1748.742,193.07742
66,0,67,0,NonVascular,0.29,0.71,1264.0,278.0,1183.0,202.0,1850.0,1225.7805,243.55081
67,0,68,0,NonVascular,0.02,0.98,711.0,244.0,666.0,216.0,832.0,690.6995,228.83293
68,0,69,0,Vacular,0.58,0.42,486.0,261.0,450.0,218.0,655.0,465.76794,235.24123
69,0,70,0,Vacular,0.98,0.02,908.0,246.0,888.0,223.0,342.0,897.43274,232.8158
70,0,71,0,NonVascular,0.06,0.94,1148.0,244.0,1129.0,228.0,215.0,1137.7302,234.52559
