object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,Vacular,0.99,0.01,1308.0,21.0,1289.0,2.0,278.0,1298.0288,10.852518
1,0,2,0,Vacular,0.52,0.48,535.0,32.0,514.0,11.0,312.0,523.9583,20.833334
2,0,3,0,NonVascular,0.05,0.95,519.0,53.0,483.0,34.0,318.0,499.96225,41.68239
3,0,4,0,NonVascular,0.06,0.94,1936.0,64.0,1924.0,47.0,164.0,1930.4695,55.536587
4,0,5,0,NonVascular,0.24,0.76,491.0,71.0,455.0,54.0,320.0,471.5125,61.8375
5,0,6,0,NonVascular,0.12,0.88,1629.0,92.0,1589.0,70.0,493.0,1605.862,79.574036
6,0,7,0,Vacular,1.0,0.0,1166.0,109.0,1146.0,88.0,333.0,1155.5946,98.51652
7,0,8,0,NonVascular,0.19,0.81,47.0,102.0,33.0,91.0,95.0,39.36842,95.41053
8,0,9,0,Vacular,1.0,0.0,263.0,116.0,239.0,92.0,430.0,250.08372,104.4
9,0,10,0,Vacular,0.83,0.17,375.0,112.0,358.0,94.0,227.0,365.6652,102.63436
10,0,11,0,Vacular,0.96,0.04,688.0,124.0,666.0,102.0,376.0,676.82184,112.54521
11,0,12,0,NonVascular,0.06,0.94,1907.0,153.0,1889.0,127.0,254.0,1898.2795,138.62204
12,0,13,0,NonVascular,0.35,0.65,615.0,140.0,602.0,130.0,92.0,607.8043,134.10869
13,0,14,0,Vacular,0.93,0.07,1554.0,156.0,1534.0,133.0,351.0,1543.7578,144.16809
14,0,15,0,Vacular,1.0,0.0,582.0,159.0,561.0,135.0,374.0,571.1417,147.0401
15,0,16,0,Vacular,0.82,0.18,921.0,176.0,899.0,157.0,301.0,909.402,166.17276
16,0,17,0,Vacular,0.94,0.06,496.0,176.0,475.0,159.0,280.0,485.08572,166.98572
17,0,18,0,Vacular,0.95,0.05,1802.0,192.0,1779.0,172.0,362.0,1789.7017,181.82043
18,0,19,0,NonVascular,0.25,0.75,224.0,210.0,209.0,182.0,324.0,215.65433,195.86728
19,0,20,0,Vacular,0.95,0.05,1262.0,218.0,1240.0,198.0,337.0,1250.5193,207.31454
20,0,21,0,Vacular,0.99,0.01,1657.0,235.0,1635.0,213.0,366.0,1645.5437,223.0765
21,0,22,0,Vacular,0.97,0.03,1148.0,239.0,1112.0,220.0,469.0,1126.9617,227.98933
22,0,23,0,Vacular,0.86,0.14,1734.0,241.0,1717.0,220.0,282.0,1724.8723,229.9929
23,0,24,0,NonVascular,0.04,0.96,253.0,251.0,229.0,224.0,456.0,240.48685,236.46272
24,0,25,0,Vacular,0.96,0.04,447.0,253.0,424.0,232.0,368.0,434.95923,242.37772
25,0,26,0,NonVascular,0.45,0.55,1452.0,257.0,1439.0,242.0,146.0,1445.1644,248.9726
26,0,27,0,Vacular,0.97,0.03,813.0,268.0,791.0,246.0,370.0,801.38916,256.92163
27,0,28,0,Vacular,0.98,0.02,136.0,279.0,116.0,254.0,368.0,125.002716,266.31793
28,0,29,0,Vacular,0.96,0.04,77.0,281.0,59.0,261.0,275.0,67.810905,270.76727
29,0,30,0,Vacular,0.98,0.02,386.0,306.0,364.0,285.0,355.0,373.9127,295.3324
30,0,31,0,Vacular,1.0,0.0,327.0,306.0,306.0,287.0,321.0,315.71027,295.67603
31,0,32,0,NonVascular,0.43,0.57,287.0,318.0,266.0,295.0,360.0,276.53888,306.65
32,0,33,0,Vacular,0.97,0.03,605.0,325.0,581.0,303.0,428.0,593.493,313.47195
33,0,34,0,NonVascular,0.19,0.81,1559.0,317.0,1547.0,306.0,103.0,1552.4175,311.0
