object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,Vacular,0.85,0.15,216.0,12.0,193.0,0.0,213.0,204.43661,4.4366198
1,0,2,0,Vacular,0.95,0.05,921.0,13.0,901.0,0.0,223.0,910.08966,5.3901343
2,0,3,0,NonVascular,0.32,0.68,1513.0,13.0,1504.0,0.0,92.0,1507.424,5.402174
3,0,4,0,Vacular,0.71,0.29,1877.0,37.0,1857.0,11.0,403.0,1866.6129,23.543425
4,0,5,0,NonVascular,0.01,0.99,1688.0,38.0,1661.0,13.0,447.0,1676.2573,24.098434
5,0,6,0,NonVascular,0.03,0.97,1659.0,81.0,1626.0,55.0,593.0,1642.5498,67.05059
6,0,7,0,NonVascular,0.15,0.85,1888.0,78.0,1879.0,65.0,62.0,1882.2742,70.98387
7,0,8,0,NonVascular,0.17,0.83,1896.0,90.0,1889.0,77.0,66.0,1891.9395,83.469696
8,0,9,0,Vacular,0.93,0.07,12.0,105.0,0.0,83.0,214.0,4.5981307,93.88785
9,0,10,0,Vacular,0.89,0.11,201.0,120.0,171.0,93.0,586.0,186.06996,104.91638
10,0,11,0,NonVascular,0.14,0.86,1411.0,158.0,1388.0,127.0,530.0,1398.9792,142.66037
11,0,12,0,Vacular,0.82,0.18,1033.0,179.0,1013.0,157.0,322.0,1022.40375,167.48137
12,0,13,0,NonVascular,0.19,0.81,1633.0,181.0,1617.0,166.0,191.0,1624.8848,173.18848
13,0,14,0,Vacular,0.78,0.22,1364.0,221.0,1336.0,198.0,428.0,1348.9392,209.10046
14,0,15,0,Vacular,1.0,0.0,601.0,220.0,575.0,199.0,405.0,587.4321,209.25679
15,0,16,0,NonVascular,0.2,0.8,116.0,220.0,109.0,206.0,74.0,112.4054,211.94595
16,0,17,0,NonVascular,0.33,0.67,806.0,258.0,792.0,243.0,161.0,798.35406,249.75156
17,0,18,0,NonVascular,0.2,0.8,1166.0,260.0,1156.0,246.0,71.0,1160.7324,252.01408
18,0,19,0,NonVascular,0.42,0.58,291.0,277.0,272.0,258.0,285.0,280.02808,266.92633
19,0,20,0,Vacular,0.88,0.12,841.0,278.0,817.0,258.0,366.0,828.5191,267.959
20,0,21,0,Vacular,0.9,0.1,1781.0,279.0,1760.0,259.0,331.0,1770.1118,267.85196
21,0,22,0,NonVascular,0.17,0.83,1177.0,273.0,1162.0,260.0,116.0,1169.5087,265.98276
22,0,23,0,Vacular,0.94,0.06,257.0,287.0,236.0,267.0,329.0,246.67477,276.72037
23,0,24,0,Vacular,0.97,0.03,1474.0,288.0,1450.0,268.0,375.0,1461.5093,277.86932
24,0,25,0,NonVascular,0.19,0.81,1734.0,295.0,1719.0,284.0,99.0,1726.6666,289.65656
25,0,26,0,NonVascular,0.35,0.65,210.0,299.0,201.0,289.0,71.0,205.19719,293.32394
26,0,27,0,NonVascular,0.04,0.96,1829.0,328.0,1809.0,306.0,311.0,1818.2668,316.28296
27,0,28,0,NonVascular,0.2,0.8,160.0,340.0,141.0,318.0,324.0,149.94753,329.2963
28,0,29,0,NonVascular,0.14,0.86,1936.0,410.0,1846.0,322.0,2707.0,1892.0931,361.52493
29,0,30,0,NonVascular,0.43,0.57,382.0,380.0,361.0,360.0,317.0,371.42587,369.55835
30,0,31,0,NonVascular,0.18,0.82,1301.0,382.0,1274.0,365.0,330.0,1287.6727,372.3303
31,0,32,0,Vacular,1.0,0.0,892.0,388.0,869.0,366.0,385.0,879.8156,376.65454
32,0,33,0,NonVascular,0.02,0.98,1936.0,389.0,1923.0,369.0,195.0,1930.2719,379.84616
33,0,34,0,Vacular,0.86,0.14,631.0,410.0,611.0,381.0,461.0,620.6139,395.6139
34,0,35,0,NonVascular,0.23,0.77,1134.0,419.0,1120.0,407.0,136.0,1126.6396,412.68384
35,0,36,0,Vacular,0.83,0.17,12.0,444.0,0.0,422.0,197.0,4.3147206,431.98984
36,0,37,0,Vacular,0.97,0.03,550.0,478.0,523.0,451.0,527.0,536.5541,463.44403
37,0,38,0,NonVascular,0.38,0.62,1145.0,469.0,1127.0,453.0,208.0,1135.9182,460.8029
38,0,39,0,NonVascular,0.41,0.59,1219.0,475.0,1210.0,464.0,73.0,1214.3424,469.30136
39,0,40,0,Vacular,0.92,0.08,259.0,504.0,235.0,482.0,415.0,246.52771,492.09155
40,0,41,0,NonVascular,0.17,0.83,1148.0,502.0,1127.0,483.0,248.0,1137.5443,493.11694
41,0,42,0,NonVascular,0.29,0.71,651.0,511.0,638.0,495.0,178.0,644.27527,502.51685
42,0,43,0,NonVascular,0.45,0.55,597.0,560.0,575.0,527.0,421.0,585.867,541.3183
43,0,44,0,NonVascular,0.4,0.6,704.0,567.0,674.0,548.0,358.0,686.8743,555.986
44,0,45,0,NonVascular,0.24,0.76,293.0,565.0,276.0,550.0,149.0,283.84564,556.8859
45,0,46,0,Vacular,1.0,0.0,1210.0,575.0,1187.0,550.0,439.0,1198.4897,561.4282
46,0,47,0,NonVascular,0.01,0.99,1789.0,594.0,1750.0,556.0,901.0,1771.1809,574.33185
47,0,48,0,Vacular,0.85,0.15,1131.0,591.0,1094.0,566.0,493.0,1115.4788,577.9128
48,0,49,0,Vacular,0.79,0.21,1915.0,595.0,1894.0,569.0,417.0,1904.0455,580.8369
49,0,50,0,NonVascular,0.03,0.97,562.0,586.0,550.0,573.0,120.0,555.45,578.9167
50,0,51,0,NonVascular,0.2,0.8,1235.0,584.0,1224.0,574.0,83.0,1229.4216,578.4458
51,0,52,0,Vacular,0.85,0.15,1219.0,590.0,1211.0,581.0,54.0,1214.537,585.2222
52,0,53,0,NonVascular,0.07,0.93,524.0,613.0,500.0,584.0,397.0,510.60452,595.9421
53,0,54,0,NonVascular,0.33,0.67,1276.0,596.0,1268.0,588.0,53.0,1271.585,591.67926
54,0,55,0,Vacular,0.71,0.29,1055.0,642.0,1009.0,590.0,1062.0,1027.3258,609.113
55,0,56,0,Vacular,0.92,0.08,840.0,636.0,820.0,601.0,463.0,829.0605,617.09937
56,0,57,0,Vacular,0.85,0.15,677.0,636.0,657.0,618.0,279.0,666.1828,626.5197
57,0,58,0,NonVascular,0.44,0.56,1547.0,650.0,1537.0,638.0,98.0,1541.2653,643.03064
58,0,59,0,NonVascular,0.2,0.8,686.0,667.0,664.0,639.0,402.0,673.6866,653.9826
59,0,60,0,Vacular,0.97,0.03,1019.0,669.0,1002.0,645.0,282.0,1010.2659,657.6454
60,0,61,0,Vacular,0.66,0.34,585.0,675.0,563.0,651.0,394.0,573.38324,662.3934
61,0,62,0,NonVascular,0.18,0.82,1584.0,664.0,1575.0,653.0,66.0,1579.3334,658.42426
62,0,63,0,Vacular,0.9,0.1,26.0,682.0,6.0,661.0,321.0,15.2429905,671.5888
63,0,64,0,Vacular,0.99,0.01,1731.0,694.0,1712.0,671.0,361.0,1720.9335,681.8338
64,0,65,0,Vacular,0.98,0.02,701.0,718.0,679.0,694.0,382.0,690.6361,705.144
65,0,66,0,Vacular,0.95,0.05,986.0,718.0,959.0,695.0,318.0,971.261,705.29877
66,0,67,0,NonVascular,0.02,0.98,1659.0,744.0,1626.0,711.0,749.0,1642.1228,729.59143
67,0,68,0,Vacular,0.88,0.12,1245.0,743.0,1221.0,726.0,333.0,1232.3273,734.0991
68,0,69,0,NonVascular,0.01,0.99,1844.0,767.0,1811.0,726.0,995.0,1827.6904,747.55273
69,0,70,0,NonVascular,0.45,0.55,1205.0,743.0,1192.0,730.0,136.0,1198.4779,735.9191
70,0,71,0,NonVascular,0.25,0.75,6.0,765.0,0.0,737.0,131.0,2.0076337,750.75574
71,0,72,0,NonVascular,0.47,0.53,692.0,785.0,672.0,754.0,457.0,682.0635,769.40045
72,0,73,0,Vacular,0.96,0.04,975.0,773.0,944.0,755.0,364.0,959.49176,763.4533
73,0,74,0,Vacular,0.94,0.06,610.0,780.0,567.0,759.0,644.0,590.10406,768.79193
74,0,75,0,NonVascular,0.0,1.0,1674.0,797.0,1634.0,761.0,1020.0,1653.4696,777.65295
75,0,76,0,Vacular,0.95,0.05,940.0,791.0,910.0,771.0,431.0,922.8863,780.3944
76,0,77,0,Vacular,0.89,0.11,840.0,802.0,801.0,787.0,311.0,819.27655,793.90674
77,0,78,0,Vacular,0.94,0.06,1058.0,813.0,1034.0,793.0,367.0,1044.7875,802.45233
78,0,79,0,NonVascular,0.0,1.0,1562.0,840.0,1513.0,794.0,1599.0,1538.0112,816.69794
79,0,80,0,Vacular,0.82,0.18,887.0,815.0,869.0,800.0,193.0,877.0881,807.09326
80,0,81,0,Vacular,0.96,0.04,853.0,818.0,822.0,801.0,332.0,837.76807,809.3313
81,0,82,0,Vacular,0.69,0.31,786.0,833.0,757.0,803.0,533.0,769.62665,819.45776
82,0,83,0,Vacular,0.96,0.04,1088.0,831.0,1060.0,808.0,465.0,1073.3613,819.36346
83,0,84,0,NonVascular,0.01,0.99,1852.0,855.0,1827.0,814.0,598.0,1837.194,835.5184
84,0,85,0,Vacular,0.86,0.14,857.0,839.0,801.0,820.0,380.0,834.53424,827.72107
85,0,86,0,NonVascular,0.11,0.89,1916.0,877.0,1856.0,827.0,1688.0,1883.9431,854.29205
86,0,87,0,NonVascular,0.08,0.92,703.0,848.0,690.0,830.0,124.0,694.8145,837.69354
87,0,88,0,NonVascular,0.17,0.83,711.0,854.0,700.0,836.0,134.0,704.6866,844.0821
88,0,89,0,NonVascular,0.03,0.97,1493.0,866.0,1468.0,843.0,324.0,1479.5957,853.66974
89,0,90,0,Vacular,0.96,0.04,358.0,876.0,336.0,848.0,477.0,346.42767,861.6876
90,0,91,0,Vacular,0.89,0.11,949.0,882.0,911.0,859.0,516.0,926.6977,869.8159
91,0,92,0,Vacular,0.86,0.14,628.0,892.0,603.0,861.0,618.0,614.91583,875.30585
92,0,93,0,Vacular,0.94,0.06,1446.0,888.0,1423.0,868.0,333.0,1434.1111,877.6336
93,0,94,0,NonVascular,0.43,0.57,982.0,898.0,967.0,884.0,164.0,973.9146,890.46344
94,0,95,0,Vacular,1.0,0.0,1036.0,930.0,1012.0,909.0,396.0,1023.298,919.2879
95,0,96,0,NonVascular,0.32,0.68,1367.0,920.0,1358.0,910.0,71.0,1362.1549,914.43665
96,0,97,0,NonVascular,0.42,0.58,240.0,925.0,231.0,917.0,51.0,234.86275,920.5294
97,0,98,0,Vacular,0.53,0.47,353.0,942.0,341.0,919.0,179.0,347.55865,930.9162
98,0,99,0,Vacular,0.79,0.21,637.0,944.0,618.0,919.0,373.0,627.2976,931.15015
99,0,100,0,NonVascular,0.0,1.0,1759.0,964.0,1712.0,919.0,988.0,1739.0212,940.6822
100,0,101,0,NonVascular,0.22,0.78,1119.0,946.0,1107.0,933.0,123.0,1112.1626,939.4878
101,0,102,0,NonVascular,0.16,0.84,1708.0,950.0,1696.0,937.0,104.0,1701.5,942.8173
102,0,103,0,NonVascular,0.06,0.94,1450.0,952.0,1438.0,941.0,94.0,1444.0212,945.6064
103,0,104,0,NonVascular,0.34,0.66,769.0,955.0,757.0,944.0,101.0,762.8614,948.83167
104,0,105,0,NonVascular,0.02,0.98,1910.0,986.0,1844.0,951.0,1431.0,1873.6002,968.4333
105,0,106,0,NonVascular,0.31,0.69,1053.0,970.0,1037.0,955.0,178.0,1044.691,961.92694
106,0,107,0,NonVascular,0.18,0.82,1425.0,976.0,1415.0,962.0,117.0,1419.5897,968.3675
107,0,108,0,Vacular,0.61,0.39,627.0,987.0,607.0,969.0,275.0,616.31635,977.60364
108,0,109,0,Vacular,0.53,0.47,867.0,1007.0,846.0,982.0,396.0,855.90656,994.19446
109,0,110,0,NonVascular,0.46,0.54,782.0,1033.0,762.0,1011.0,319.0,771.5204,1021.0815
110,0,111,0,NonVascular,0.03,0.97,612.0,1046.0,573.0,1014.0,679.0,594.6495,1028.6967
