object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Vacular,Probability of NonVascular,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Size in pixels,Center of the object_0,Center of the object_1
0,0,1,0,Vacular,0.92,0.08,443.0,17.0,426.0,0.0,226.0,433.45575,6.615044
1,0,2,0,NonVascular,0.0,1.0,823.0,48.0,749.0,0.0,2474.0,784.99554,18.594584
2,0,3,0,NonVascular,0.01,0.99,1019.0,51.0,918.0,0.0,2006.0,954.0937,16.83649
3,0,4,0,NonVascular,0.24,0.76,1385.0,7.0,1373.0,0.0,53.0,1378.9246,3.4339623
4,0,5,0,Vacular,0.85,0.15,1460.0,10.0,1434.0,0.0,201.0,1447.0149,3.686567
5,0,6,0,NonVascular,0.21,0.79,1874.0,10.0,1859.0,0.0,108.0,1865.6204,4.648148
6,0,7,0,Vacular,1.0,0.0,276.0,21.0,254.0,2.0,333.0,265.06006,10.195195
7,0,8,0,Vacular,0.51,0.49,1079.0,35.0,1055.0,14.0,377.0,1066.1671,23.986738
8,0,9,0,Vacular,0.96,0.04,1766.0,49.0,1745.0,27.0,342.0,1755.1404,37.736843
9,0,10,0,NonVascular,0.25,0.75,457.0,87.0,442.0,73.0,166.0,449.1265,79.49397
10,0,11,0,NonVascular,0.01,0.99,674.0,156.0,623.0,84.0,1615.0,652.1678,112.60186
11,0,12,0,Vacular,0.88,0.12,185.0,111.0,167.0,89.0,310.0,175.82259,99.493546
12,0,13,0,Vacular,0.96,0.04,1351.0,119.0,1328.0,97.0,376.0,1339.4548,107.643616
13,0,14,0,NonVascular,0.2,0.8,632.0,125.0,616.0,113.0,116.0,623.93964,118.11207
14,0,15,0,NonVascular,0.18,0.82,7.0,134.0,0.0,118.0,97.0,2.6804123,124.75258
15,0,16,0,NonVascular,0.14,0.86,1847.0,174.0,1787.0,119.0,2153.0,1816.517,144.36554
16,0,17,0,Vacular,0.65,0.35,1570.0,147.0,1520.0,124.0,720.0,1544.2069,135.53612
17,0,18,0,Vacular,0.8,0.2,1927.0,148.0,1908.0,126.0,328.0,1916.933,136.60365
18,0,19,0,Vacular,0.99,0.01,1435.0,151.0,1412.0,130.0,364.0,1423.1758,139.71428
19,0,20,0,Vacular,0.77,0.23,1664.0,162.0,1624.0,130.0,762.0,1646.2795,147.76247
20,0,21,0,NonVascular,0.24,0.76,12.0,152.0,0.0,139.0,122.0,4.9344263,145.12296
21,0,22,0,Vacular,0.87,0.13,789.0,159.0,770.0,142.0,257.0,778.8054,150.32684
22,0,23,0,Vacular,0.63,0.37,573.0,153.0,564.0,144.0,68.0,567.9706,147.76471
23,0,24,0,NonVascular,0.28,0.72,771.0,259.0,692.0,148.0,3090.0,734.00775,206.07217
24,0,25,0,Vacular,0.98,0.02,427.0,181.0,406.0,161.0,325.0,415.69537,170.73538
25,0,26,0,Vacular,0.98,0.02,1427.0,195.0,1407.0,173.0,340.0,1416.3118,184.05295
26,0,27,0,NonVascular,0.22,0.78,983.0,183.0,970.0,174.0,78.0,976.21796,178.82051
27,0,28,0,Vacular,0.97,0.03,1230.0,205.0,1209.0,183.0,373.0,1219.4343,193.79356
28,0,29,0,NonVascular,0.05,0.95,1600.0,200.0,1582.0,183.0,205.0,1590.7805,191.45854
29,0,30,0,NonVascular,0.38,0.62,1783.0,234.0,1766.0,209.0,311.0,1773.9036,221.93248
30,0,31,0,NonVascular,0.01,0.99,813.0,325.0,714.0,241.0,4440.0,766.72186,289.15518
31,0,32,0,Vacular,0.96,0.04,169.0,263.0,147.0,244.0,328.0,157.78354,253.04573
32,0,33,0,NonVascular,0.14,0.86,1304.0,269.0,1286.0,252.0,230.0,1294.4827,259.93912
33,0,34,0,Vacular,0.97,0.03,1701.0,274.0,1678.0,254.0,357.0,1688.5826,263.35855
34,0,35,0,Vacular,0.63,0.37,716.0,280.0,689.0,256.0,414.0,701.2536,267.79953
35,0,36,0,NonVascular,0.4,0.6,434.0,284.0,419.0,268.0,169.0,426.69232,275.04733
36,0,37,0,NonVascular,0.37,0.63,415.0,309.0,406.0,298.0,70.0,410.02856,303.3
37,0,38,0,Vacular,1.0,0.0,478.0,321.0,455.0,299.0,380.0,466.19473,309.7158
38,0,39,0,Vacular,0.91,0.09,1117.0,321.0,1097.0,303.0,302.0,1106.4205,311.40396
39,0,40,0,Vacular,0.96,0.04,400.0,330.0,377.0,312.0,339.0,388.59293,320.54572
40,0,41,0,Vacular,1.0,0.0,1322.0,333.0,1302.0,313.0,309.0,1311.8771,322.36893
41,0,42,0,Vacular,0.94,0.06,1609.0,333.0,1587.0,314.0,337.0,1597.8724,322.1454
42,0,43,0,Vacular,0.84,0.16,791.0,339.0,771.0,317.0,318.0,779.55347,327.88678
43,0,44,0,NonVascular,0.18,0.82,637.0,340.0,625.0,331.0,79.0,630.22784,334.98734
44,0,45,0,Vacular,0.99,0.01,386.0,355.0,364.0,338.0,262.0,373.5878,345.74808
45,0,46,0,Vacular,0.94,0.06,1483.0,357.0,1461.0,338.0,335.0,1471.6328,346.88956
