"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0.08,0.92,632.15735,6.1764708
"2","NonVascular",0.04,0.96,805.26886,11.415479
"10","Vacular",0.84,0.16,1474.0273,2.1369863
"12","Vacular",0.94,0.06,1607.7253,5.141631
"13","NonVascular",0.04,0.96,1728.907,9.277845
"14","NonVascular",0.15,0.85,1807.8855,31.926964
"19","NonVascular",0.01,0.99,716.4275,62.082657
"22","Vacular",0.83,0.17,898.6348,24.308989
"23","NonVascular",0.02,0.98,1627.7292,38.914585
"24","NonVascular",0.18,0.82,1870.3136,52.357594
"26","NonVascular",0.03,0.97,772.1169,74.33793
"28","NonVascular",0.02,0.98,1440.7693,50.96468
"30","NonVascular",0.04,0.96,677.2176,48.430054
"31","NonVascular",0.01,0.99,1566.5028,68.92798
"32","Vacular",0.86,0.14,1689.8345,54.43573
"33","Vacular",0.89,0.11,953.45715,54.3
"37","Vacular",1,0,1627.2792,77.16531
"39","NonVascular",0.03,0.97,1710.3411,95.64174
"42","NonVascular",0.11,0.89,1909.5391,140.04346
"44","NonVascular",0.19,0.81,1328.2031,159.34682
"47","NonVascular",0.02,0.98,1560.1862,124.23524
"50","NonVascular",0.02,0.98,1204.2073,171.39359
"53","NonVascular",0.15,0.85,1681.731,284.44525
"54","Vacular",0.95,0.05,1513.6035,144.23386
"55","NonVascular",0.01,0.99,1609.9093,181.3821
"56","NonVascular",0.03,0.97,1271.9543,153.19417
"57","NonVascular",0.03,0.97,1768.5083,195.75504
"61","NonVascular",0.17,0.83,1830.3607,167.00633
"63","NonVascular",0.03,0.97,1846.8113,189.84315
"64","NonVascular",0.02,0.98,1528.4183,196.678
"65","NonVascular",0,1,1931.2222,194.76608
"67","NonVascular",0.04,0.96,1388.612,201.17673
"68","NonVascular",0.08,0.92,1481.5662,200.61188
"70","Vacular",0.95,0.05,1427.0273,209.18306
"72","NonVascular",0.07,0.93,1707.6067,215.33427
"73","Vacular",0.98,0.02,1454.8348,226.28635
"76","NonVascular",0.15,0.85,1798.0365,281.21317
"77","NonVascular",0.04,0.96,1310.9417,235.25761
"78","NonVascular",0.01,0.99,1903.0172,242.42091
"79","NonVascular",0.04,0.96,1389.4562,281.4475
"80","NonVascular",0.01,0.99,1127.7229,248.0023
"81","NonVascular",0.04,0.96,853.4851,251.8833
"82","NonVascular",0.16,0.84,1504.5984,318.61877
"83","NonVascular",0,1,1174.397,265.68448
"84","NonVascular",0.09,0.91,1302.5619,288.80655
"85","NonVascular",0.06,0.94,1737.9675,261.25992
"87","NonVascular",0.1,0.9,1927.1576,267.65216
"88","NonVascular",0.09,0.91,1881.5482,325.0587
"91","NonVascular",0.12,0.88,1251.9402,328.5299
"94","NonVascular",0.14,0.86,1150.2207,393.06134
"95","NonVascular",0.14,0.86,1906.5166,379.50616
"101","NonVascular",0.01,0.99,1530.9894,337.8982
"106","Vacular",0.83,0.17,1800.0115,371.5916
"107","Vacular",0.93,0.07,1348.7301,360.62433
"108","NonVascular",0.08,0.92,989.6159,382.1205
"113","NonVascular",0.03,0.97,1033.9607,446.9563
"114","Vacular",0.93,0.07,1525.8906,399.7836
"116","NonVascular",0.18,0.82,876.6286,403.6857
"117","Vacular",0.96,0.04,1628.3712,413.59396
"120","Vacular",0.85,0.15,1655.4426,421.11963
"121","NonVascular",0.12,0.88,1487.7947,429.9785
"124","NonVascular",0.19,0.81,1376.8184,433.16083
"125","NonVascular",0.03,0.97,843.46313,435.4713
"127","Vacular",0.97,0.03,1683.1469,442.96982
