"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"2","Vacular",0.95,0.05,860.6985,5.045226
"3","NonVascular",0.03,0.97,971.78516,8.684044
"4","NonVascular",0,1,1588.189,25.930109
"5","Vacular",0.95,0.05,1667.8224,5.140187
"8","NonVascular",0.18,0.82,978.83527,32.870586
"9","Vacular",0.97,0.03,1140.4163,36.005585
"11","Vacular",0.97,0.03,937.91846,57.2145
"12","Vacular",1,0,989.95355,61.15847
"14","Vacular",0.83,0.17,1579.3711,82.08789
"18","Vacular",0.95,0.05,1662.7661,107.67431
"20","Vacular",1,0,678.07043,121.330986
"21","NonVascular",0.15,0.85,1684.9166,118.916664
"22","Vacular",0.99,0.01,1439.9391,143.80457
"25","Vacular",0.89,0.11,294.83832,161.78743
"26","Vacular",0.97,0.03,897.44977,196.7814
"28","NonVascular",0.18,0.82,983.88544,235.625
"29","Vacular",0.99,0.01,1011.7052,239.85548
"30","Vacular",0.89,0.11,1168.6553,244.3292
"31","Vacular",0.99,0.01,399.72452,247.92561
"33","Vacular",0.98,0.02,1792.4016,258.8316
"34","Vacular",0.99,0.01,1038.925,256.88126
"35","NonVascular",0.1,0.9,1091.9985,271.6259
"36","NonVascular",0.08,0.92,19.617674,291.3907
"37","Vacular",0.98,0.02,1140.6871,294.3289
"38","Vacular",1,0,1208.5736,309.91412
"39","Vacular",0.92,0.08,1184.1469,311.98016
"40","Vacular",1,0,1602.6774,319.5171
"41","Vacular",1,0,339.1466,331.678
"43","NonVascular",0.19,0.81,1228.4672,335.9079
"44","Vacular",0.86,0.14,1253.1187,354.3729
"45","Vacular",0.99,0.01,245.10265,353.92377
"46","Vacular",1,0,659.37085,355.87637
"47","NonVascular",0.02,0.98,106.26573,363.16083
"48","Vacular",0.99,0.01,1090.5612,369.55362
"51","Vacular",0.96,0.04,799.97614,422.05304
"52","NonVascular",0.01,0.99,774.954,458.5211
"53","Vacular",0.97,0.03,1768.3085,422.31326
"54","NonVascular",0.04,0.96,1039.907,435.49506
"56","Vacular",0.98,0.02,1637.4496,434.9164
"57","Vacular",1,0,420.47876,449.11047
"58","NonVascular",0.19,0.81,21,446.68115
"60","NonVascular",0,1,1094.3196,506.301
"61","Vacular",0.98,0.02,1368.9302,487.14246
"62","Vacular",1,0,1581.0652,490.93478
"63","Vacular",0.99,0.01,909.6489,495.17023
"64","NonVascular",0,1,590.884,536.58997
"65","NonVascular",0.03,0.97,893.06146,528.81836
"66","NonVascular",0.19,0.81,1035.2474,519.0928
"67","Vacular",0.99,0.01,71.970146,528.2139
"68","Vacular",1,0,643.2632,528.0861
"69","Vacular",0.98,0.02,1452.0579,533.71295
"70","NonVascular",0.18,0.82,747.2182,525.7455
"71","NonVascular",0.17,0.83,1228.4286,526.40955
"72","NonVascular",0.01,0.99,1263.4109,570.6686
"73","Vacular",0.98,0.02,539.12756,548.6609
"76","Vacular",0.88,0.12,849.8317,556.945
"78","Vacular",0.89,0.11,1678.6123,575.95917
"80","Vacular",0.96,0.04,233.34805,596.76105
"81","Vacular",0.97,0.03,715.86664,597.8377
"82","Vacular",0.98,0.02,1370.2766,603.2911
"85","Vacular",0.96,0.04,869.65967,648.82806
"86","Vacular",0.99,0.01,1238.9738,651.5102
