"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",1,0,294.03793,6.827586
"2","Vacular",0.86,0.14,608.677,57.196163
"3","Vacular",0.95,0.05,395.45013,43.79772
"4","Vacular",0.86,0.14,876.6792,64.07167
"6","Vacular",0.9,0.1,660.69403,71.965096
"7","Vacular",0.94,0.06,1001.2848,75.84466
"9","Vacular",1,0,1461.0105,86.26224
"11","NonVascular",0.11,0.89,785.89844,103.20703
"12","Vacular",0.86,0.14,1360.9708,133.4416
"13","Vacular",0.96,0.04,267.60706,160.15617
"14","Vacular",0.99,0.01,1574.4985,162.27478
"15","Vacular",1,0,985.6846,163.99533
"17","Vacular",0.86,0.14,1459.5146,176.5146
"22","Vacular",0.88,0.12,1047.6776,253.9011
"25","Vacular",0.84,0.16,1175.5942,282.23322
"26","Vacular",0.89,0.11,1286.0963,301.1789
"27","Vacular",0.93,0.07,768.6465,304.4478
"29","Vacular",0.92,0.08,356.76627,318.85208
"30","Vacular",0.97,0.03,744.65515,326.12778
"31","Vacular",0.98,0.02,177.23099,346.54367
"32","Vacular",0.85,0.15,1843.7958,352.94894
"34","Vacular",0.97,0.03,1012.8769,398.3033
"35","Vacular",0.97,0.03,1204.4417,401.62036
"36","Vacular",0.85,0.15,1150.275,406.723
"37","Vacular",0.93,0.07,290.19302,408.66455
"38","Vacular",0.95,0.05,828.506,411.37424
"39","Vacular",1,0,70.46809,420.7295
"44","Vacular",0.82,0.18,542.4167,442.4861
"48","Vacular",0.9,0.1,984.10504,491.9961
"51","Vacular",0.99,0.01,1263.9464,548.96844
"52","Vacular",0.98,0.02,696.6217,552.6217
"53","Vacular",0.98,0.02,104.58212,553.4082
"56","Vacular",0.83,0.17,377.58163,573.983
"57","Vacular",0.93,0.07,1426.8035,575.1111
"58","Vacular",0.87,0.13,1362.1102,629.14246
"59","Vacular",0.87,0.13,1492.7152,632.9241
"60","Vacular",0.98,0.02,168.63637,657.30304
"61","Vacular",0.85,0.15,811.17645,677.56177
"62","Vacular",0.82,0.18,1884.4789,688.5538
"65","NonVascular",0.17,0.83,1859.254,709.2381
"68","Vacular",0.9,0.1,1438.9307,733.84125
"69","Vacular",0.95,0.05,1706.8951,726.6229
"70","Vacular",0.97,0.03,1289.9084,744.9158
"71","Vacular",0.98,0.02,1663.3271,750.3456
"72","Vacular",0.99,0.01,149.09856,756.0174
"74","Vacular",0.84,0.16,340.1541,755.4229
"75","Vacular",0.91,0.09,1841.899,774.27686
"76","Vacular",0.99,0.01,648.6391,785.74835
"77","Vacular",0.88,0.12,823.15314,785.77026
"78","Vacular",0.92,0.08,311.5761,794.45435
"79","Vacular",0.88,0.12,852.34344,802.7702
"80","Vacular",1,0,1602.0817,816.035
"81","Vacular",0.97,0.03,466.60657,857.61475
"82","Vacular",0.89,0.11,959.543,866.80133
"83","Vacular",0.86,0.14,1662.3474,872.5526
"84","Vacular",0.92,0.08,1839.1792,879.19366
"85","NonVascular",0.19,0.81,1367.4441,889.7565
"86","NonVascular",0.12,0.88,1931.6884,896.2857
"88","Vacular",0.95,0.05,268.80362,915.71906
"90","Vacular",0.82,0.18,1858.7854,962.2217
"93","Vacular",0.99,0.01,545.39844,985.2005
"94","Vacular",0.89,0.11,1112.6735,1002.80176
"96","Vacular",0.96,0.04,1196.1346,1005.5433
"98","Vacular",1,0,1344.15,1043.2426
"100","Vacular",0.94,0.06,1811.9236,1071.5963
"102","Vacular",0.99,0.01,1395.2804,1083.0397
"106","Vacular",0.97,0.03,220.79646,1171.4896
"108","Vacular",0.91,0.09,1559.0773,1175.8182
"109","Vacular",0.97,0.03,724.4868,1186.3191
"110","Vacular",0.9,0.1,1530.8131,1200.2954
"111","NonVascular",0.06,0.94,1463.4227,1227.4878
"112","Vacular",0.89,0.11,1411.8167,1246.6436
"113","Vacular",1,0,100.16398,1241.8737
"114","Vacular",0.85,0.15,388.04718,1243.0944
"116","Vacular",0.89,0.11,1249.6346,1264.6569
"120","Vacular",0.94,0.06,241.28995,1275.716
"123","Vacular",0.85,0.15,1068.3668,1287.4379
"126","NonVascular",0.19,0.81,940.09656,1305.4758
"127","Vacular",0.96,0.04,1077.4476,1308.5363
"128","NonVascular",0.11,0.89,666.157,1314.7246
"129","NonVascular",0.05,0.95,875.14435,1317.7185
"131","Vacular",0.88,0.12,816.2889,1319.4111
"132","Vacular",0.87,0.13,782.7198,1312.2858
"134","Vacular",0.89,0.11,781.0912,1332.0399
"135","Vacular",0.84,0.16,685.046,1353.2418
"137","Vacular",0.87,0.13,103.98784,1372.5289
"138","Vacular",0.9,0.1,717.24585,1375.5632
"139","NonVascular",0.19,0.81,86.07407,1375.9814
"140","Vacular",0.97,0.03,1054.305,1393.7427
"143","Vacular",1,0,90.74138,1417.1265
"144","Vacular",0.96,0.04,1671.1752,1439.989
"145","Vacular",0.94,0.06,960.0453,1450.3728
