"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","Vacular",0.89,0.11,177.9759,4.2108436
"4","Vacular",0.97,0.03,1228.3959,6.2569447
"5","Vacular",0.9,0.1,1260.1923,4.448718
"6","Vacular",1,0,1364.5552,8.690852
"7","Vacular",0.98,0.02,400.28894,21.838528
"8","Vacular",0.91,0.09,1258.3636,23.884298
"9","Vacular",0.97,0.03,713.85754,57.973293
"10","NonVascular",0.04,0.96,753.18604,66.72093
"12","Vacular",0.99,0.01,1056.6514,91.866196
"13","NonVascular",0.05,0.95,740.4982,101.17086
"14","NonVascular",0.18,0.82,203.27692,112.65641
"15","Vacular",0.97,0.03,623.3342,138.05205
"16","Vacular",0.95,0.05,190.18044,158.93578
"17","Vacular",0.9,0.1,341.66385,173.18927
"18","Vacular",0.96,0.04,884.56836,182.7614
"19","Vacular",0.94,0.06,1091.7479,199.72034
"20","NonVascular",0.18,0.82,1189.6786,215.13095
"21","Vacular",1,0,1217.2241,220.70308
"22","Vacular",1,0,1288.9705,244.46916
"23","Vacular",0.99,0.01,114.94034,247.77272
"24","Vacular",0.86,0.14,365.39157,258.67963
"25","Vacular",0.94,0.06,742.33704,283.64365
"26","Vacular",0.99,0.01,432.74478,287.88803
"28","Vacular",0.97,0.03,790.1404,308.7192
"29","Vacular",0.89,0.11,1571.0564,366.7993
"30","Vacular",1,0,49.185482,367.92743
"31","Vacular",1,0,1425.5309,373.3037
"32","Vacular",1,0,231.45822,414.4178
"34","Vacular",0.94,0.06,1729.8563,462.3469
"36","Vacular",0.98,0.02,808.4105,501.69135
"37","Vacular",0.98,0.02,1244.627,503.42508
"38","NonVascular",0.03,0.97,983.60254,549.769
"39","Vacular",0.91,0.09,746.09375,537.7054
"40","Vacular",0.97,0.03,1583.5544,534.0297
"42","NonVascular",0.18,0.82,1841.039,557.1039
"44","Vacular",0.88,0.12,732.0658,579.1447
"45","Vacular",0.98,0.02,106.49718,580.3418
"46","Vacular",0.96,0.04,775.29175,599.9726
"47","Vacular",0.89,0.11,750.8906,601.3906
"48","Vacular",1,0,493.78247,607.77966
"49","Vacular",0.94,0.06,5.841897,641.34784
"50","Vacular",0.95,0.05,1445.1433,648.27686
"51","Vacular",0.9,0.1,53.94737,644.9934
"52","Vacular",0.96,0.04,84.268814,656.8387
"53","Vacular",0.85,0.15,1534.3824,660.1813
"54","Vacular",0.99,0.01,360.95227,665.96484
"55","Vacular",0.91,0.09,121.62774,680.13324
"58","Vacular",0.95,0.05,1800.4845,738.70105
"61","Vacular",0.96,0.04,889.07367,789.72235
"63","Vacular",1,0,1385.7533,790.511
"64","Vacular",0.94,0.06,360.00906,796.0317
"66","Vacular",0.93,0.07,1529.0414,831.2692
"67","Vacular",1,0,747.34375,832.3281
"68","Vacular",0.96,0.04,614.47394,841.34894
"69","Vacular",1,0,1202.4258,841.5192
"70","Vacular",0.98,0.02,986.97656,850.9267
"75","Vacular",1,0,1439.5656,907.4945
"77","Vacular",0.93,0.07,67.138985,963.08136
"79","Vacular",0.96,0.04,960.73865,1002.1227
"82","Vacular",0.96,0.04,134.20053,1057.3826
"84","Vacular",0.92,0.08,1156.0292,1077.8035
"85","Vacular",0.87,0.13,1184.4567,1105.6455
"88","Vacular",0.88,0.12,588.6031,1124.2705
"89","Vacular",1,0,972.50775,1127.2876
"91","Vacular",1,0,1203.0883,1158.1929
"92","Vacular",0.93,0.07,426.34793,1159.8892
"93","Vacular",0.92,0.08,884.8159,1194.7006
"94","Vacular",0.93,0.07,1027.4163,1195.1326
"95","Vacular",0.88,0.12,1659.673,1216.3757
"97","Vacular",0.99,0.01,1417.8705,1238.2067
"98","Vacular",0.95,0.05,804.3439,1239.5853
"99","Vacular",0.93,0.07,538.0746,1248.0516
"101","Vacular",1,0,1248.59,1272.5073
"102","Vacular",1,0,431.00244,1276.9781
"103","Vacular",0.81,0.19,1919.518,1293.1597
"106","Vacular",0.99,0.01,673.6069,1340.5093
"107","Vacular",0.96,0.04,1287.5726,1396.4872
"108","Vacular",0.98,0.02,1486.3179,1414.4691
