"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"5","Vacular",1,0,983.1509,21.72781
"6","Vacular",0.82,0.18,763.9007,42.02483
"10","Vacular",0.87,0.13,1604.7568,86.130135
"13","NonVascular",0.05,0.95,791.4191,151.31915
"15","NonVascular",0.06,0.94,1749.5325,155.62338
"18","NonVascular",0.18,0.82,736.7761,163.98508
"20","Vacular",0.9,0.1,62.524128,179.92091
"24","Vacular",0.91,0.09,4.4262295,202.36885
"28","NonVascular",0.19,0.81,1825.9175,272.5258
"30","Vacular",0.96,0.04,1069.4028,292.16434
"34","Vacular",0.91,0.09,330.88412,306.78085
"38","Vacular",0.99,0.01,1658.2089,338.3264
"39","Vacular",0.81,0.19,245.76,343.78333
"42","Vacular",0.98,0.02,834.8673,427.1376
"49","Vacular",0.91,0.09,1676.5397,482.41177
"50","Vacular",0.83,0.17,532.597,478.80597
"51","Vacular",0.88,0.12,483.87057,481.0084
"55","Vacular",0.98,0.02,9.772109,503.57483
"57","Vacular",0.92,0.08,942.1684,536.3842
"58","NonVascular",0.11,0.89,3.4869566,543.9826
"60","Vacular",0.97,0.03,947.09467,562.41565
"61","Vacular",0.94,0.06,1463.3762,579.1663
"62","Vacular",0.98,0.02,1685.903,583.0941
"64","Vacular",0.82,0.18,55.71482,611.1457
"65","NonVascular",0.09,0.91,447.54745,602.792
"67","Vacular",0.88,0.12,1562.0544,620.2458
"68","NonVascular",0.19,0.81,1347.9639,618.35016
"69","Vacular",0.99,0.01,280.7699,622.59357
"70","NonVascular",0.07,0.93,325.16626,626.82886
"71","NonVascular",0.13,0.87,1875.2477,621.9159
"75","Vacular",0.9,0.1,1848.9154,669.5169
"76","Vacular",0.86,0.14,267.91382,689.5063
"79","NonVascular",0.11,0.89,767.06915,709.65704
"80","Vacular",0.86,0.14,880.4421,714.5237
"85","Vacular",0.82,0.18,764.08246,750.91754
"86","Vacular",1,0,68.79177,758.44794
"91","NonVascular",0.11,0.89,1194.9296,780.3873
"92","Vacular",0.96,0.04,717.87695,806.233
"93","Vacular",0.92,0.08,1288.3942,801.4896
"94","Vacular",0.99,0.01,532.3825,808.3825
"95","NonVascular",0.05,0.95,1905.0869,814.1414
"96","Vacular",0.92,0.08,914.9167,821.0324
"99","Vacular",1,0,35.260143,843.7518
"103","Vacular",0.85,0.15,929.3618,864.375
"105","Vacular",0.84,0.16,200.44725,883.58966
"107","Vacular",0.96,0.04,1812.6,913.9972
"108","Vacular",0.99,0.01,193.42857,920.45715
"109","Vacular",0.96,0.04,1504.8259,948.674
"110","Vacular",0.85,0.15,971.4717,962.6236
"111","NonVascular",0.01,0.99,1596.6096,988.8493
"112","Vacular",0.82,0.18,1283.6229,1009.03015
"113","NonVascular",0.04,0.96,1075.3652,1002.22186
"114","Vacular",0.93,0.07,56.12615,1030.2523
"115","Vacular",1,0,440.9721,1027.3163
"116","Vacular",0.94,0.06,662.0212,1037.7188
"117","Vacular",0.99,0.01,327.4524,1038.6349
"118","Vacular",0.96,0.04,721.33514,1047.981
"119","Vacular",0.89,0.11,1543.3525,1066.2281
"121","NonVascular",0.17,0.83,1518.5692,1086.0615
"122","Vacular",0.82,0.18,1881.1166,1109.4839
"123","Vacular",0.9,0.1,1202.0508,1127.8856
"128","Vacular",0.85,0.15,787.7677,1189.5039
"130","Vacular",0.99,0.01,1238.8224,1237.5529
"134","Vacular",0.93,0.07,456.66666,1261.7106
"135","Vacular",1,0,1181.162,1286.7892
"137","Vacular",0.98,0.02,581.1022,1342.2695
"138","Vacular",0.98,0.02,1795.9403,1344.1814
"141","NonVascular",0.03,0.97,1171.4603,1364.6567
"144","Vacular",0.83,0.17,730.88,1385.5211
"145","Vacular",0.95,0.05,1662.4425,1373.7925
"147","Vacular",0.89,0.11,312.20068,1438.8027
"148","Vacular",0.97,0.03,1115.0862,1451.6982
