"","Predicted Class","Probability of Vacular","Probability of NonVascular","Center of the object_0","Center of the object_1"
"1","NonVascular",0,1,1913.6423,19.59124
"4","NonVascular",0.12,0.88,54.762947,37.272907
"5","NonVascular",0.04,0.96,542.81836,68.21973
"7","NonVascular",0,1,1839.9059,103.47847
"8","Vacular",0.99,0.01,32.686077,104.9519
"10","NonVascular",0.02,0.98,1444.9751,138.63646
"11","NonVascular",0.16,0.84,616.25,158.61267
"12","NonVascular",0.14,0.86,1613.6842,191.1228
"13","Vacular",1,0,1582.675,188.34258
"14","Vacular",0.99,0.01,359.2686,194.44858
"15","Vacular",0.99,0.01,952.09955,211.31169
"16","Vacular",0.88,0.12,1399.7932,214.57288
"20","Vacular",0.82,0.18,1923.2139,280.59637
"21","Vacular",0.99,0.01,656.5582,284.4016
"22","NonVascular",0.19,0.81,78.85,321.6
"24","Vacular",0.89,0.11,853.5726,374.67667
"26","Vacular",0.97,0.03,499.91257,381.99786
"27","Vacular",0.97,0.03,1023.91016,379.27188
"28","Vacular",0.98,0.02,1488.2921,383.4941
"29","Vacular",0.82,0.18,1052.7015,375.02985
"30","Vacular",0.96,0.04,1699.2659,393.2188
"32","Vacular",0.89,0.11,1845.7642,399.76102
"33","Vacular",0.82,0.18,232.35168,404.2722
"34","NonVascular",0.17,0.83,938.5397,411.87302
"38","Vacular",0.99,0.01,27.038363,447.13556
"39","Vacular",0.97,0.03,1328.1709,461
"40","Vacular",0.97,0.03,1296.995,487.8317
"41","NonVascular",0.18,0.82,1721.1233,506.10275
"42","Vacular",0.97,0.03,1824.939,516.5926
"43","Vacular",0.97,0.03,552.93933,529.9657
"44","Vacular",0.96,0.04,326.62268,536.18353
"45","Vacular",0.92,0.08,858.25446,536.8669
"48","Vacular",0.86,0.14,1553.9097,557.6644
"49","Vacular",0.87,0.13,1279.4906,567.8709
"54","NonVascular",0.15,0.85,592.76587,654.2144
"56","Vacular",0.99,0.01,1293.7472,662.4279
"58","Vacular",0.91,0.09,568.84595,692.3914
"59","Vacular",0.84,0.16,1005.2857,696.82855
"60","NonVascular",0.04,0.96,1740.8481,695.6291
"61","Vacular",0.84,0.16,1029.9065,697.9346
"62","Vacular",0.96,0.04,1012.9417,717.82513
"63","NonVascular",0.04,0.96,617.5139,724.10767
"64","NonVascular",0.17,0.83,574.84125,720.5238
"66","NonVascular",0.19,0.81,591.9159,747.90656
"71","Vacular",0.99,0.01,940.4465,760.0026
"72","Vacular",0.93,0.07,825.0381,762.59644
"74","Vacular",0.98,0.02,617.5285,782.8947
"75","NonVascular",0.18,0.82,724.94666,790.12
"77","Vacular",0.99,0.01,238.55013,797.9871
"78","Vacular",0.98,0.02,700.7841,801.175
"81","NonVascular",0.05,0.95,667.6006,828.42145
"82","Vacular",0.98,0.02,1788.3317,834.40674
"84","Vacular",0.85,0.15,554.75494,845.8725
"85","Vacular",0.9,0.1,944.211,854.59326
"86","Vacular",0.91,0.09,1750.681,856.3865
"88","Vacular",0.89,0.11,206.5933,861.4373
"89","Vacular",0.89,0.11,1636.9369,862.40027
"91","NonVascular",0.13,0.87,1102.3793,874.4877
"92","Vacular",0.88,0.12,1487.1698,893.3395
"95","Vacular",0.88,0.12,1095.6586,916.1107
"96","Vacular",0.84,0.16,1267.5924,925.7734
"97","Vacular",1,0,853.5372,937.2446
"101","NonVascular",0.11,0.89,645.05884,950.2534
"102","Vacular",1,0,72.51991,953.93365
"103","Vacular",1,0,434.88763,958.5562
"105","Vacular",0.85,0.15,1488.8105,962.3096
"106","Vacular",0.99,0.01,653.2197,979.7222
"110","Vacular",0.99,0.01,592.85297,1013.3799
"111","Vacular",0.97,0.03,248.33003,1014.3275
"117","Vacular",0.95,0.05,911.66846,1046.4402
"118","Vacular",0.93,0.07,1025.2872,1050.2018
"120","Vacular",1,0,1181.2202,1070.4406
"121","NonVascular",0.18,0.82,383.72726,1070.0404
"127","Vacular",0.99,0.01,1142.2695,1154.2373
"129","NonVascular",0.04,0.96,191.60535,1155.8228
"130","Vacular",1,0,157.38531,1163.1055
"131","Vacular",0.81,0.19,451.94916,1170.7076
"134","Vacular",0.98,0.02,1655.2042,1195.891
"138","Vacular",0.99,0.01,1105.5415,1249.9598
"140","NonVascular",0.02,0.98,1800.4741,1289.213
"142","NonVascular",0.19,0.81,449.04477,1289.3582
"144","Vacular",1,0,351.0502,1303.4036
"145","NonVascular",0.01,0.99,1388.3607,1305.3411
"146","Vacular",0.97,0.03,488.2245,1301.4082
"147","Vacular",0.94,0.06,1338.6,1314.512
"151","Vacular",0.89,0.11,1810.5709,1342.0371
"152","Vacular",0.85,0.15,1682.9846,1344.5615
"157","Vacular",0.97,0.03,404.35556,1401.5414
"159","NonVascular",0.06,0.94,803.3261,1444.0471
