"","MouseID","DPI","ID","X","Y"
"1","Td23","7D",1967,755.54,532.71
"2","Td23","7D",1717,459.19,459.88
"3","Td23","7D",2046,821.04,554.3
"4","Td23","7D",427,51.88,114.13
"5","Td23","7D",1527,386.62,415.89
"6","Td23","7D",606,200.26,160.51
"7","Td23","7D",324,122.17,89.89
"8","Td23","7D",1168,225,314.34
"9","Td23","7D",243,352.3,65.93
"10","Td23","7D",2283,688.35,620.72
"11","Td23","7D",1546,148.96,419.86
"12","Td23","7D",1589,30.54,428.75
"13","Td23","7D",1497,465.78,405.53
"14","Td23","7D",453,171.01,120.47
"15","Td23","7D",1568,105.1,423.59
"16","Td23","7D",582,495.18,155.12
"17","Td23","7D",291,24.11,79.7
"18","Td23","7D",628,94.67,168.36
"19","Td23","7D",213,251.96,55.88
"20","Td23","7D",23,449.6,8.751
"21","Td23","7D",1871,534.19,506.06
"22","Td23","7D",2008,788.01,540.86
"23","Td23","7D",121,156.82,32.42
"24","Td23","7D",2163,523.23,587.38
"25","Td23","7D",663,8.64,179.13
"26","Td23","7D",766,554.18,205.32
"27","Td23","7D",212,175.96,57
"28","Td23","7D",85,295.58,23.85
"29","Td23","7D",527,44.21,139.1
"30","Td23","7D",1393,101.95,370.52
"31","Td23","7D",2378,460.33,642.05
"32","Td23","7D",1892,316.84,513.09
"33","Td23","7D",2225,686.3,602.65
"34","Td23","7D",905,647.8,241.67
"35","Td23","7D",2130,444.48,573.66
"36","Td23","7D",1515,81.16,410.4
"37","Td23","7D",1486,582.66,400.97
"38","Td23","7D",1910,464.89,518.89
"39","Td23","7D",588,834.89,155.23
"40","Td23","7D",2282,468.56,620.26
"41","Td23","7D",743,614.92,199.08
"42","Td23","7D",1317,574.64,347.91
"43","Td23","7D",1258,704,334.42
"44","Td23","7D",1485,53.84,401.45
"45","Td23","7D",1369,54.3,363.42
"46","Td23","7D",2206,510.8,598.72
"47","Td23","7D",379,45.26,101.03
"48","Td23","7D",2397,822.88,648.2
"49","Td23","7D",1644,360.09,442.9
"50","Td23","7D",2322,79.68,628.65
"51","Td23","7D",575,325.24,152.46
"52","Td23","7D",1946,191.98,529.27
"53","Td23","7D",308,450.78,84.02
"54","Td23","7D",1245,608.69,330.05
"55","Td23","7D",2288,639.48,622.25
"56","Td23","7D",2111,875.88,570.18
"57","Td23","7D",172,766.76,43.57
"58","Td23","7D",885,178.6,233.39
"59","Td23","7D",1115,228.15,299.77
"60","Td23","7D",1368,854.31,363.74
"61","Td23","7D",1752,204.77,471.07
"62","Td23","7D",2034,614.43,553.51
"63","Td23","7D",203,190.96,52.74
"64","Td23","7D",855,428.37,229.69
"65","Td23","7D",1607,163.67,431.88
"66","Td23","7D",2116,524.2,570.47
"67","Td23","7D",1855,393.05,503.27
"68","Td23","7D",129,266.86,32.1
"69","Td23","7D",2303,509.08,623.53
"70","Td23","7D",1726,327.46,462.07
"71","Td23","7D",594,247.83,157.08
"72","Td23","7D",1643,123.56,441.15
"73","Td23","7D",1539,334.06,418.22
"74","Td23","7D",397,492.13,103.87
"75","Td23","7D",709,455.07,191.68
"76","Td23","7D",2209,247.27,599.26
"77","Td23","7D",1466,212.59,395.86
"78","Td23","7D",1984,335.44,535.73
"79","Td23","7D",593,89.75,157.65
"80","Td23","7D",1775,144,475.57
"81","Td23","7D",1732,488.22,465.17
"82","Td23","7D",431,842.55,111.83
"83","Td23","7D",2153,12.31,581.84
"84","Td23","7D",311,190.13,82.85
"85","Td23","7D",1470,563.1,396.69
"86","Td23","7D",1819,173.12,491.13
"87","Td23","7D",2,195.77,3.908
"88","Td23","7D",1977,128.6,535.3
"89","Td23","7D",982,183.73,263.38
"90","Td23","7D",234,423.3,62.74
"91","Td23","7D",974,581.79,263.23
"92","Td23","7D",1002,770.59,270.11
"93","Td23","7D",1234,550.69,325.53
"94","Td23","7D",596,512.95,157.46
"95","Td23","7D",1504,485.89,405.54
"96","Td23","7D",1484,412.99,400.72
"97","Td23","7D",1773,546.39,474.83
"98","Td23","7D",935,544.41,250.4
"99","Td23","7D",435,462.65,112.96
"100","Td23","7D",1479,797.69,399.74
"101","Td23","7D",1995,478.38,539.15
"102","Td23","7D",1060,564.88,282.07
"103","Td23","7D",618,106.37,164.26
"104","Td23","7D",2144,386.75,577.73
"105","Td23","7D",414,734.48,108.89
"106","Td23","7D",1902,628.51,515.86
"107","Td23","7D",1709,732.01,455.63
"108","Td23","7D",2278,68.05,618.87
"109","Td23","7D",2285,478.04,618.88
"110","Td23","7D",643,433.35,173.66
"111","Td23","7D",1275,293.6,337.48
"112","Td23","7D",1718,655.46,460.65
