"","MouseID","DPI","ID","X","Y"
"1","Td26","14D",43,848.24,304.62
"2","Td26","14D",55,770.27,422.73
"3","Td26","14D",49,804.08,268.01
"4","Td26","14D",71,777.53,499.28
"5","Td26","14D",72,810.31,504.15
"6","Td26","14D",33,841.66,131.95
"7","Td26","14D",61,785.64,419.17
"8","Td26","14D",42,820.13,183.26
"9","Td26","14D",47,861.42,208.62
"10","Td26","14D",3,832.92,9.838
"11","Td26","14D",64,73.61,419.04
"12","Td26","14D",34,865.09,136.86
"13","Td26","14D",2,809.35,17.29
"14","Td26","14D",6,853.31,37.58
"15","Td26","14D",38,838.92,163.74
"16","Td26","14D",20,869.35,83.04
"17","Td26","14D",75,133.09,469.92
"18","Td26","14D",62,829.14,418.99
"19","Td26","14D",18,834.78,73.01
"20","Td26","14D",19,783.07,76.12
"21","Td26","14D",50,866.76,233.67
"22","Td26","14D",41,869.74,170.3
"23","Td26","14D",12,836.77,44.28
"24","Td26","14D",30,867.98,114.1
"25","Td26","14D",46,865.51,192.16
"26","Td26","14D",23,821.01,93.92
"27","Td26","14D",5,827.74,23.96
"28","Td26","14D",4,855.69,7.507
"29","Td26","14D",15,868.8,58.56
"30","Td26","14D",84,726.35,620.22
"31","Td26","14D",52,848.56,302.13
"32","Td26","14D",17,852.87,65.37
"33","Td26","14D",28,853.92,109.15
"34","Td26","14D",63,822.49,411.67
"35","Td26","14D",53,798.38,309.15
"36","Td26","14D",68,814.67,445.63
"37","Td26","14D",69,830.92,452.42
"38","Td26","14D",70,842.27,448.27
"39","Td26","14D",26,868.17,97.58
"40","Td26","14D",82,720.04,609.48
"41","Td26","14D",9,708.74,32.81
"42","Td26","14D",13,781.25,42.57
"43","Td26","14D",32,799.08,119.33
"44","Td26","14D",81,769.61,488.71
"45","Td26","14D",24,792.95,83.97
"46","Td26","14D",66,82.5,433.37
"47","Td26","14D",51,856.59,233.06
"48","Td26","14D",36,825.99,154
"49","Td26","14D",40,805.64,165.31
"50","Td26","14D",10,817.29,34.79
"51","Td26","14D",58,820.61,392.42
"52","Td26","14D",73,841.49,462.03
"53","Td26","14D",25,856.03,87.18
"54","Td26","14D",37,874.93,155.97
"55","Td26","14D",80,822.3,481.4
"56","Td26","14D",48,835.83,214.11
"57","Td26","14D",14,828.11,39.82
"58","Td26","14D",45,850.3,183.68
"59","Td26","14D",59,875.03,389.29
"60","Td26","14D",76,772.95,466.35
"61","Td26","14D",65,873.9,408.2
"62","Td26","14D",11,702.97,33.99
"63","Td26","14D",39,811.04,159.49
"64","Td26","14D",79,768.8,479.51
"65","Td26","14D",8,855.05,28.96
"66","Td26","14D",60,872.44,399.34
"67","Td26","14D",57,875.99,379.08
"68","Td26","14D",7,794.65,21.17
"69","Td26","14D",1,798.1,5.992
"70","Td26","14D",56,804.46,366.36
"71","Td26","14D",29,836.47,105.28
"72","Td26","14D",27,843.34,99.31
"73","Td26","14D",67,781.05,431.22
"74","Td26","14D",83,736.32,609.2
"75","Td26","14D",21,844.44,74.99
"76","Td26","14D",78,766.02,468.75
"77","Td26","14D",35,847.79,148.73
"78","Td26","14D",54,759.75,330.21
"79","Td26","14D",22,859.8,74.72
"80","Td26","14D",77,155.86,468.9
"81","Td26","14D",44,859.46,177.9
"82","Td26","14D",31,876.87,108.06
"83","Td26","14D",16,686.63,45.71
"84","Td26","14D",74,856.99,463.2
