"","MouseID","DPI","ID","X","Y"
"1","Td36","30D",107,209.36,526.26
"2","Td36","30D",118,156.77,574.46
"3","Td36","30D",53,717.67,292.58
"4","Td36","30D",17,213.08,112.71
"5","Td36","30D",64,155.39,320.83
"6","Td36","30D",115,129.96,569.87
"7","Td36","30D",63,138.69,319.45
"8","Td36","30D",60,112.35,316.75
"9","Td36","30D",113,108.82,565.51
"10","Td36","30D",61,170.18,320.2
"11","Td36","30D",120,181.59,590.56
"12","Td36","30D",135,620.61,650.74
"13","Td36","30D",36,518.18,217.49
"14","Td36","30D",134,718.48,640.51
"15","Td36","30D",132,756.09,636.23
"16","Td36","30D",4,149.85,30.16
"17","Td36","30D",6,171.94,32.99
"18","Td36","30D",46,730.36,251.19
"19","Td36","30D",139,707.21,654.41
"20","Td36","30D",114,287.94,571.59
"21","Td36","30D",110,180.37,529.8
"22","Td36","30D",26,23.29,150.94
"23","Td36","30D",42,9.16,231.48
"24","Td36","30D",133,430.63,639.74
"25","Td36","30D",127,837.29,614.75
"26","Td36","30D",52,869.97,266.34
"27","Td36","30D",48,643.55,268.46
"28","Td36","30D",81,523.45,389.16
"29","Td36","30D",80,508.72,385.96
"30","Td36","30D",74,327.57,362.02
"31","Td36","30D",9,156.67,44.84
"32","Td36","30D",87,119.16,448.08
"33","Td36","30D",2,574.48,12.46
"34","Td36","30D",59,409.39,301.41
"35","Td36","30D",112,275.8,556.81
"36","Td36","30D",86,252.21,441.58
"37","Td36","30D",124,87.96,608.19
"38","Td36","30D",32,386.52,195.61
"39","Td36","30D",37,539.1,216.42
"40","Td36","30D",130,779.08,628.11
"41","Td36","30D",84,849.69,432.09
"42","Td36","30D",89,264.52,450.28
"43","Td36","30D",83,529.15,400.62
"44","Td36","30D",56,350.57,289.28
"45","Td36","30D",100,721.84,498.56
"46","Td36","30D",122,201.02,593.76
"47","Td36","30D",109,569.14,533.5
"48","Td36","30D",128,77.52,615.43
"49","Td36","30D",51,725.93,268.11
"50","Td36","30D",57,396.63,294.67
"51","Td36","30D",72,533.07,356.39
"52","Td36","30D",91,615.8,452.62
"53","Td36","30D",90,764.47,452.19
"54","Td36","30D",3,487.57,14.95
"55","Td36","30D",22,398.72,136.61
"56","Td36","30D",73,832.37,358.74
"57","Td36","30D",8,180.47,33.78
"58","Td36","30D",96,638.17,479.36
"59","Td36","30D",20,740.16,117.8
"60","Td36","30D",104,382.8,514.73
"61","Td36","30D",25,9.047,145.8
"62","Td36","30D",75,498.73,371.16
"63","Td36","30D",102,788.84,505.56
"64","Td36","30D",123,714.5,602.88
"65","Td36","30D",7,241.63,30.12
"66","Td36","30D",68,294.37,350.84
"67","Td36","30D",33,3.301,206.86
"68","Td36","30D",30,322.34,171.73
"69","Td36","30D",47,368.7,248.06
"70","Td36","30D",121,85.56,593.68
"71","Td36","30D",29,414.98,162.91
"72","Td36","30D",14,72.62,87.98
"73","Td36","30D",136,727.11,650.73
"74","Td36","30D",77,320.69,374.48
"75","Td36","30D",15,612.36,91.61
"76","Td36","30D",116,93.62,572.15
"77","Td36","30D",62,235.58,318.97
"78","Td36","30D",38,491.38,216.83
"79","Td36","30D",137,134.77,650.07
"80","Td36","30D",23,462.92,138.22
"81","Td36","30D",65,563.27,320.98
"82","Td36","30D",119,89.02,583.09
"83","Td36","30D",106,57.42,517.04
"84","Td36","30D",49,448.69,265.04
"85","Td36","30D",79,439.94,377.1
"86","Td36","30D",88,272.53,444.62
"87","Td36","30D",54,817.93,281.1
"88","Td36","30D",94,400.1,459.75
"89","Td36","30D",12,829.99,80.7
"90","Td36","30D",31,146.76,184.82
"91","Td36","30D",71,569.19,356.5
"92","Td36","30D",10,337.7,72.27
"93","Td36","30D",99,785.56,492.28
