"","MouseID","DPI","ID","X","Y"
"1","Td56","14D",973,661.56,641.75
"2","Td56","14D",594,791.04,348.47
"3","Td56","14D",619,655.42,365.39
"4","Td56","14D",732,697.52,456.74
"5","Td56","14D",444,552.82,263.76
"6","Td56","14D",309,34.17,171.02
"7","Td56","14D",452,501.16,265.35
"8","Td56","14D",234,796.89,119.3
"9","Td56","14D",510,727.98,291.37
"10","Td56","14D",929,739.19,602.11
"11","Td56","14D",188,231.85,97.24
"12","Td56","14D",424,336.05,245.8
"13","Td56","14D",887,869.36,561.56
"14","Td56","14D",304,869.2,170.24
"15","Td56","14D",22,820.02,24.33
"16","Td56","14D",658,698.34,392.33
"17","Td56","14D",180,386.51,100.13
"18","Td56","14D",431,193.67,248.57
"19","Td56","14D",224,645.97,113.89
"20","Td56","14D",46,96.96,26.11
"21","Td56","14D",797,255.6,489.45
"22","Td56","14D",629,286.56,365.37
"23","Td56","14D",334,799.14,182.59
"24","Td56","14D",545,419.74,313.82
"25","Td56","14D",459,763.88,260.52
"26","Td56","14D",955,715.52,617.07
"27","Td56","14D",662,807.99,394.76
"28","Td56","14D",717,780.74,427.19
"29","Td56","14D",78,615.21,45.9
"30","Td56","14D",102,697.63,53.1
"31","Td56","14D",552,778.35,315.79
"32","Td56","14D",517,359.59,299.81
"33","Td56","14D",857,412.52,536.58
"34","Td56","14D",434,362.1,237.72
"35","Td56","14D",389,732.92,209.59
"36","Td56","14D",814,613.76,497.72
"37","Td56","14D",568,6.088,329.8
"38","Td56","14D",572,734.08,331.55
"39","Td56","14D",192,353.68,97.47
"40","Td56","14D",892,522.82,561.76
"41","Td56","14D",430,858.23,236.84
"42","Td56","14D",854,158.14,530.53
"43","Td56","14D",520,753.59,293.39
"44","Td56","14D",556,715.39,317.02
"45","Td56","14D",787,764.76,480.4
"46","Td56","14D",726,329.9,437.97
"47","Td56","14D",920,810.7,572.71
"48","Td56","14D",239,550.81,138.08
"49","Td56","14D",631,526.01,377.39
"50","Td56","14D",885,87.07,556.3
"51","Td56","14D",660,59.54,398.8
"52","Td56","14D",355,562.62,191.77
"53","Td56","14D",168,566.29,84.24
"54","Td56","14D",975,135.08,633.55
"55","Td56","14D",822,27.36,507.55
"56","Td56","14D",384,872.26,216.11
"57","Td56","14D",502,770.22,284.02
"58","Td56","14D",376,361.6,211.95
"59","Td56","14D",264,793.55,140.54
"60","Td56","14D",137,310.68,69.91
"61","Td56","14D",472,793.29,261.04
"62","Td56","14D",13,778.33,9.687
"63","Td56","14D",484,446.79,277.41
"64","Td56","14D",789,684.68,478.44
"65","Td56","14D",643,791.37,378.54
"66","Td56","14D",879,855.41,542.67
"67","Td56","14D",486,116.02,286.21
"68","Td56","14D",118,670.58,64.66
"69","Td56","14D",527,704.89,298.51
"70","Td56","14D",134,708.15,67.21
"71","Td56","14D",830,695.6,505.95
"72","Td56","14D",197,754.24,98.23
"73","Td56","14D",251,20.23,135.93
"74","Td56","14D",170,602.25,82.32
"75","Td56","14D",834,226.53,505.34
"76","Td56","14D",803,845.82,483.14
"77","Td56","14D",1006,799.39,655.01
"78","Td56","14D",262,468.69,137.07
"79","Td56","14D",297,805.8,156.03
"80","Td56","14D",873,599.35,536.09
"81","Td56","14D",237,440.76,118.26
"82","Td56","14D",591,635.64,340.62
"83","Td56","14D",509,512.08,289.23
"84","Td56","14D",865,7.035,536.28
"85","Td56","14D",777,497.78,480.95
"86","Td56","14D",295,78.02,157.82
"87","Td56","14D",245,644.97,123.49
"88","Td56","14D",563,687.65,321.36
"89","Td56","14D",632,818.44,361.9
"90","Td56","14D",333,598.48,176.63
"91","Td56","14D",608,12.97,351.23
"92","Td56","14D",1002,646.96,651.39
"93","Td56","14D",991,61.08,643.18
"94","Td56","14D",57,770.55,31.97
"95","Td56","14D",729,28.96,437.01
"96","Td56","14D",877,554.24,539.79
"97","Td56","14D",181,503.56,91.13
"98","Td56","14D",206,725.87,99.22
"99","Td56","14D",156,340.75,84.86
"100","Td56","14D",87,685.59,39.55
"101","Td56","14D",441,744.19,242.47
"102","Td56","14D",407,781.8,219.27
"103","Td56","14D",690,708.64,406.29
"104","Td56","14D",223,464.35,114.83
"105","Td56","14D",601,838.1,347.71
"106","Td56","14D",751,655.19,460
"107","Td56","14D",296,413.02,160.29
"108","Td56","14D",19,550.88,20.54
"109","Td56","14D",88,587.7,46.03
"110","Td56","14D",746,297.55,453.29
"111","Td56","14D",756,735.54,449.65
"112","Td56","14D",844,661.21,517.32
"113","Td56","14D",380,770.07,205.66
"114","Td56","14D",858,112.67,527.84
"115","Td56","14D",184,602.11,96.34
"116","Td56","14D",833,825.89,509.06
"117","Td56","14D",996,707.1,647.74
"118","Td56","14D",418,92.99,231.79
"119","Td56","14D",597,754.84,344.89
"120","Td56","14D",910,281.05,572.86
"121","Td56","14D",917,690.36,575.14
"122","Td56","14D",602,714.55,342.43
"123","Td56","14D",172,433.5,82.42
"124","Td56","14D",519,808.03,303.51
"125","Td56","14D",883,421.55,557.77
"126","Td56","14D",291,461.13,152.48
"127","Td56","14D",317,222.22,164.53
"128","Td56","14D",705,63.14,417.99
"129","Td56","14D",940,724.96,595.24
"130","Td56","14D",160,653.69,83.57
"131","Td56","14D",1015,430.43,657.22
"132","Td56","14D",303,702.74,157.53
"133","Td56","14D",77,37.11,36.95
"134","Td56","14D",561,841.75,318.11
"135","Td56","14D",1007,563.13,654.95
"136","Td56","14D",804,134.28,483.64
"137","Td56","14D",179,65.96,92.28
"138","Td56","14D",636,584.4,372.16
"139","Td56","14D",807,280.56,488.14
"140","Td56","14D",448,64.54,246.75
"141","Td56","14D",984,854.48,638.65
"142","Td56","14D",222,338.58,113.62
"143","Td56","14D",353,824.86,191.83
"144","Td56","14D",363,384.16,194.96
"145","Td56","14D",474,718.71,262.77
"146","Td56","14D",579,754.52,332.75
"147","Td56","14D",226,296.42,114.26
"148","Td56","14D",618,520.12,354.6
"149","Td56","14D",283,6.506,150.95
"150","Td56","14D",150,273.42,75.27
"151","Td56","14D",900,736.88,555.84
"152","Td56","14D",821,538.11,498.95
"153","Td56","14D",497,847.82,282.38
"154","Td56","14D",100,560.53,55.04
"155","Td56","14D",950,564.36,606.42
"156","Td56","14D",256,402.78,130.38
"157","Td56","14D",146,189.93,76.14
"158","Td56","14D",63,789.64,31.38
"159","Td56","14D",71,7.999,37
"160","Td56","14D",294,759.41,153.47
"161","Td56","14D",315,57.89,168.83
"162","Td56","14D",68,426.83,36.06
"163","Td56","14D",209,533.01,114.96
"164","Td56","14D",42,17.68,25.35
"165","Td56","14D",148,52.26,75.92
"166","Td56","14D",8,562.49,11.78
"167","Td56","14D",198,40.79,95.85
"168","Td56","14D",537,388.14,304.36
"169","Td56","14D",270,381.96,145.1
"170","Td56","14D",269,665.08,141.84
"171","Td56","14D",974,490.4,627.21
"172","Td56","14D",453,708.43,248.22
"173","Td56","14D",396,313.6,209.42
"174","Td56","14D",30,797.19,17.56
"175","Td56","14D",771,310.18,469.98
"176","Td56","14D",120,568.23,67.22
"177","Td56","14D",72,238.51,37.91
"178","Td56","14D",300,653.51,160.93
"179","Td56","14D",872,816.55,536.7
"180","Td56","14D",861,458.66,528.24
"181","Td56","14D",327,778.45,172.37
"182","Td56","14D",319,468.59,169.33
"183","Td56","14D",429,489.05,231.83
"184","Td56","14D",928,333.19,577.92
"185","Td56","14D",422,803.66,230.49
"186","Td56","14D",357,744.03,192.07
"187","Td56","14D",899,596.08,554.6
"188","Td56","14D",136,446.26,70.28
"189","Td56","14D",308,734.36,165.4
"190","Td56","14D",1000,622.17,646.5
"191","Td56","14D",177,9.168,88.11
"192","Td56","14D",609,462.08,353.63
"193","Td56","14D",196,624.52,95.84
"194","Td56","14D",596,549.58,345.04
"195","Td56","14D",553,502.84,319.67
"196","Td56","14D",812,189.81,492.63
"197","Td56","14D",307,780.39,157.78
"198","Td56","14D",649,6.157,385.26
"199","Td56","14D",716,562.89,422.35
"200","Td56","14D",337,175.8,176.33
"201","Td56","14D",154,132.27,83.1
"202","Td56","14D",923,633.85,575.56
"203","Td56","14D",846,524.91,519.7
"204","Td56","14D",151,117.64,79.42
"205","Td56","14D",558,516.94,318.48
"206","Td56","14D",701,699.09,418.63
"207","Td56","14D",259,38.05,135
"208","Td56","14D",808,476.21,486.29
"209","Td56","14D",813,520,489.27
"210","Td56","14D",31,701.52,15.64
"211","Td56","14D",915,616.41,572.6
