"","MouseID","DPI","ID","X","Y"
"1","Td60","7D",1870,413.07,301.59
"2","Td60","7D",2186,805.72,346.87
"3","Td60","7D",1533,795.51,250.99
"4","Td60","7D",704,89.11,121.52
"5","Td60","7D",1146,580.43,191.22
"6","Td60","7D",3695,251.27,545.62
"7","Td60","7D",2790,573.67,425.42
"8","Td60","7D",178,406.08,32.1
"9","Td60","7D",1099,521.61,181
"10","Td60","7D",3106,696.43,469.42
"11","Td60","7D",2032,161.68,322.73
"12","Td60","7D",2492,474.1,385.44
"13","Td60","7D",4360,315.9,633.9
"14","Td60","7D",357,639.5,58.51
"15","Td60","7D",3073,585.82,465.23
"16","Td60","7D",1603,648.48,261.79
"17","Td60","7D",296,167,49.41
"18","Td60","7D",618,446.21,106.57
"19","Td60","7D",3321,551.01,496.83
"20","Td60","7D",1197,141.31,202.81
"21","Td60","7D",1848,251.71,298.31
"22","Td60","7D",2197,667.69,348.28
"23","Td60","7D",890,131.18,149.6
"24","Td60","7D",443,371.15,73.72
"25","Td60","7D",1288,155.67,211.48
"26","Td60","7D",737,119.63,125.18
"27","Td60","7D",4384,280.68,636.99
"28","Td60","7D",194,555.57,30.07
"29","Td60","7D",924,713.33,154.62
"30","Td60","7D",1597,809.6,259.13
"31","Td60","7D",782,698.79,132.94
"32","Td60","7D",989,142.87,163.89
"33","Td60","7D",453,692.74,75.84
"34","Td60","7D",2091,341.89,332.68
"35","Td60","7D",1246,735.19,203.78
"36","Td60","7D",4444,261.38,645.67
"37","Td60","7D",1643,708.3,269.36
"38","Td60","7D",1771,835.49,286.56
"39","Td60","7D",3426,353.22,509.91
"40","Td60","7D",2794,546.64,425.43
"41","Td60","7D",1230,272.46,200.83
"42","Td60","7D",4523,183.26,656.77
"43","Td60","7D",1513,500.48,245.87
"44","Td60","7D",598,803.92,100.37
"45","Td60","7D",2301,722.86,359.71
"46","Td60","7D",2223,642.86,350.23
"47","Td60","7D",3096,663.89,466.84
"48","Td60","7D",3767,370.52,555.03
"49","Td60","7D",2321,121.82,361.61
"50","Td60","7D",4539,600.94,658.03
"51","Td60","7D",48,585.56,7.835
"52","Td60","7D",3213,21.8,484.54
"53","Td60","7D",640,652.7,107.41
"54","Td60","7D",4178,425.41,607.72
"55","Td60","7D",1104,136.81,182.32
"56","Td60","7D",2754,149.39,419.69
"57","Td60","7D",3338,528.93,499.24
"58","Td60","7D",3402,282.21,506.08
"59","Td60","7D",2658,134.78,407.72
"60","Td60","7D",4395,374.2,638.02
"61","Td60","7D",2404,473.57,373.29
"62","Td60","7D",2744,315.95,417.68
"63","Td60","7D",3739,496.64,552.72
"64","Td60","7D",3900,597.93,571.48
"65","Td60","7D",1492,748.15,243.11
"66","Td60","7D",2748,651.33,417.89
"67","Td60","7D",445,766.68,73.05
"68","Td60","7D",533,794.78,89.39
"69","Td60","7D",2615,126.09,402
"70","Td60","7D",790,754.79,134.09
"71","Td60","7D",916,202.32,152.28
"72","Td60","7D",550,537.25,93.94
"73","Td60","7D",1040,353.57,172.26
"74","Td60","7D",439,86.72,73.14
"75","Td60","7D",3250,780.16,486.55
"76","Td60","7D",101,386.56,17.63
"77","Td60","7D",3123,603.54,472.77
"78","Td60","7D",1601,515.59,260.66
"79","Td60","7D",2969,706.89,447.6
"80","Td60","7D",3981,577.4,582.55
"81","Td60","7D",4494,701.31,650.68
"82","Td60","7D",1019,365.88,167.44
"83","Td60","7D",3513,808.66,520.56
"84","Td60","7D",2339,473.34,364.79
"85","Td60","7D",3888,104.35,569.08
"86","Td60","7D",3065,23.71,463.98
"87","Td60","7D",4339,22.17,629.03
"88","Td60","7D",1374,679.82,221.03
"89","Td60","7D",2810,77.32,427.45
"90","Td60","7D",1122,602.06,182.7
"91","Td60","7D",2497,575.02,386.11
"92","Td60","7D",1456,560.21,235.94
"93","Td60","7D",3030,193.59,458.31
"94","Td60","7D",1319,562.17,216.34
"95","Td60","7D",264,859.48,43.15
"96","Td60","7D",2104,565.89,334.36
"97","Td60","7D",1206,182.57,198.21
"98","Td60","7D",527,123.96,89.59
"99","Td60","7D",2110,669.57,334.41
"100","Td60","7D",2507,739.22,387.14
"101","Td60","7D",1528,661.34,248.06
"102","Td60","7D",3481,512.25,515.65
"103","Td60","7D",3142,370.95,474.88
"104","Td60","7D",2846,824.35,431.51
"105","Td60","7D",387,589.13,64.8
"106","Td60","7D",4126,451.45,601.4
"107","Td60","7D",4140,558.19,602.22
"108","Td60","7D",3985,20.9,582.46
"109","Td60","7D",810,323.15,135.42
"110","Td60","7D",1479,426.51,242.46
"111","Td60","7D",3188,229.87,481.63
"112","Td60","7D",951,319.26,159.03
"113","Td60","7D",942,584.85,159.12
"114","Td60","7D",3141,53.13,475.06
"115","Td60","7D",894,503.98,149.53
"116","Td60","7D",112,740.25,20.38
"117","Td60","7D",289,111.54,49.02
"118","Td60","7D",1851,293.23,297.94
"119","Td60","7D",1200,816.57,196.66
"120","Td60","7D",4369,41.79,635.42
"121","Td60","7D",789,833.77,135.47
"122","Td60","7D",1638,751.31,265.51
"123","Td60","7D",2273,488.02,358.07
"124","Td60","7D",867,838.55,145.27
"125","Td60","7D",384,101.48,62.28
"126","Td60","7D",1129,303.3,184.43
"127","Td60","7D",3912,71.93,575.7
"128","Td60","7D",428,356.96,71.75
"129","Td60","7D",558,292.34,93.94
"130","Td60","7D",2857,55.29,434.54
"131","Td60","7D",994,819.28,163.86
"132","Td60","7D",1564,265.35,252.98
"133","Td60","7D",878,676.74,146.97
"134","Td60","7D",2813,157.65,429.13
"135","Td60","7D",1243,400.25,203.3
"136","Td60","7D",1076,568.23,176.29
"137","Td60","7D",2244,611.78,353.14
"138","Td60","7D",4238,213.79,616.35
"139","Td60","7D",652,475.69,107.05
"140","Td60","7D",4018,791.45,588.26
"141","Td60","7D",845,533.37,142.5
"142","Td60","7D",2306,337.62,360.23
"143","Td60","7D",3857,516.9,566.65
"144","Td60","7D",2000,108.86,317.79
"145","Td60","7D",2931,500.62,445.12
"146","Td60","7D",780,424.93,132.72
"147","Td60","7D",2993,116,453.79
"148","Td60","7D",2333,622.39,365.47
"149","Td60","7D",258,631.77,43.2
