"","MouseID","DPI","ID","X","Y"
"1","Td66","0D",1363,722,247
"2","Td66","0D",155,155.59,33.15
"3","Td66","0D",3537,336.51,627.12
"4","Td66","0D",2894,38.33,515.18
"5","Td66","0D",3211,148.04,567.77
"6","Td66","0D",145,215.33,29.6
"7","Td66","0D",545,549.2,101.2
"8","Td66","0D",118,62.62,23.29
"9","Td66","0D",1242,133.43,228.14
"10","Td66","0D",2124,438.57,386.63
"11","Td66","0D",2854,180.5,508.09
"12","Td66","0D",78,106.26,16.25
"13","Td66","0D",2339,229.25,420.75
"14","Td66","0D",3228,218.88,573.5
"15","Td66","0D",678,424.81,124.07
"16","Td66","0D",2067,336,375.42
"17","Td66","0D",482,419.76,91.07
"18","Td66","0D",2175,452.82,394.75
"19","Td66","0D",1450,765.68,262.84
"20","Td66","0D",3209,400.97,568.59
"21","Td66","0D",2371,88.67,427.23
"22","Td66","0D",787,407.11,143.98
"23","Td66","0D",179,305.83,35.57
"24","Td66","0D",1918,157.22,348.37
"25","Td66","0D",353,43.52,66.93
"26","Td66","0D",1707,121.96,311.21
"27","Td66","0D",2278,542.46,409.83
"28","Td66","0D",20,166.47,6.326
"29","Td66","0D",1532,346.59,279.85
"30","Td66","0D",819,240.47,151.39
"31","Td66","0D",319,489.1,60.05
"32","Td66","0D",3612,404.78,637.54
"33","Td66","0D",2543,11.82,458.68
"34","Td66","0D",2498,248.5,453.99
"35","Td66","0D",2529,533.06,455.44
"36","Td66","0D",2922,357.93,520.23
"37","Td66","0D",210,449.9,40.36
"38","Td66","0D",2799,276.8,498.77
"39","Td66","0D",462,147.73,85.27
"40","Td66","0D",2582,259.97,463.78
"41","Td66","0D",809,810.86,148.97
"42","Td66","0D",1756,233.59,319.43
"43","Td66","0D",294,322.74,56.15
"44","Td66","0D",2069,445.21,374.91
"45","Td66","0D",2850,707.5,507.66
"46","Td66","0D",578,151.55,107.39
"47","Td66","0D",3080,318.56,545.06
"48","Td66","0D",889,21.48,163.1
"49","Td66","0D",2493,237.6,450.16
"50","Td66","0D",472,124.87,86.97
"51","Td66","0D",1728,11.23,315.27
"52","Td66","0D",2335,566.77,419.66
"53","Td66","0D",3235,54.51,573.26
"54","Td66","0D",3266,747.59,578.77
"55","Td66","0D",1216,696.51,223.03
"56","Td66","0D",2431,785.77,438.2
"57","Td66","0D",2075,853.64,376.29
"58","Td66","0D",2407,200.91,436.75
"59","Td66","0D",2968,288.02,527.39
"60","Td66","0D",1832,781.77,331.78
"61","Td66","0D",478,190.01,89.14
"62","Td66","0D",3565,475.42,631.54
"63","Td66","0D",867,678.4,159.74
"64","Td66","0D",185,265.52,35.5
"65","Td66","0D",756,179,138.18
"66","Td66","0D",1318,88.29,238.07
"67","Td66","0D",1184,277.22,213.73
"68","Td66","0D",2330,473.25,420.7
"69","Td66","0D",3678,678.57,649.59
"70","Td66","0D",1987,582.65,360.37
"71","Td66","0D",759,146.39,140.5
"72","Td66","0D",1183,89.5,213.67
"73","Td66","0D",1351,283.5,243.28
"74","Td66","0D",3220,300.46,569.75
"75","Td66","0D",526,132.39,97.38
"76","Td66","0D",2347,72.53,421.33
"77","Td66","0D",1612,61.42,292.67
"78","Td66","0D",217,167.84,41.4
"79","Td66","0D",3637,253.96,640.65
"80","Td66","0D",3449,132.44,611.29
"81","Td66","0D",1878,312.31,343.27
"82","Td66","0D",3618,527.57,639.44
"83","Td66","0D",167,684.43,30.51
"84","Td66","0D",2564,280.69,461.28
"85","Td66","0D",794,379.2,142.89
"86","Td66","0D",3063,705.04,540.66
"87","Td66","0D",2257,288.49,409.53
"88","Td66","0D",2160,493.09,392.54
"89","Td66","0D",3327,131.53,587.27
"90","Td66","0D",3121,833.91,550.04
"91","Td66","0D",957,383.8,175.12
"92","Td66","0D",3318,273.97,586.33
"93","Td66","0D",1583,202.32,288.03
"94","Td66","0D",2517,683.69,452.42
"95","Td66","0D",2993,100.18,532.94
"96","Td66","0D",3114,255.06,549.07
"97","Td66","0D",1665,486.11,301.88
"98","Td66","0D",454,494.76,85.58
"99","Td66","0D",1884,772.82,343.43
"100","Td66","0D",1101,88.77,199.62
"101","Td66","0D",2941,62.21,521.49
"102","Td66","0D",2232,330.94,403.63
"103","Td66","0D",1714,324.4,311.72
"104","Td66","0D",1657,552.6,299.96
"105","Td66","0D",3451,570.29,613.58
"106","Td66","0D",1261,107.2,226.98
"107","Td66","0D",838,35.88,153.84
"108","Td66","0D",199,542.37,37.68
"109","Td66","0D",2756,424.77,491.97
"110","Td66","0D",3547,350.56,628.79
"111","Td66","0D",181,174.53,35.13
"112","Td66","0D",3210,427.66,567.86
"113","Td66","0D",3015,616.13,533.81
"114","Td66","0D",2116,422.27,383.69
"115","Td66","0D",2119,275.75,384.88
"116","Td66","0D",2992,248.83,529.97
"117","Td66","0D",3135,120.82,552.79
"118","Td66","0D",3100,356.09,548.9
"119","Td66","0D",638,274.46,118.58
"120","Td66","0D",698,524.41,129.45
"121","Td66","0D",3366,190.66,593.77
"122","Td66","0D",1410,126.65,254.88
"123","Td66","0D",657,488.68,121.7
