"","MouseID","DPI","ID","X","Y"
"1","Td67","0D",107,316.99,515.13
"2","Td67","0D",105,312.13,493.68
"3","Td67","0D",35,388.16,235.76
"4","Td67","0D",25,308.03,197.96
"5","Td67","0D",89,614.69,438.42
"6","Td67","0D",121,302.19,589.04
"7","Td67","0D",74,780.78,363.92
"8","Td67","0D",110,644.67,526.22
"9","Td67","0D",42,872.48,249.21
"10","Td67","0D",41,396.19,248.46
"11","Td67","0D",86,557.37,432.12
"12","Td67","0D",63,821.19,323.58
"13","Td67","0D",70,794.51,348.15
"14","Td67","0D",33,319.03,215.74
"15","Td67","0D",126,521.16,618.99
"16","Td67","0D",49,862.29,286.73
"17","Td67","0D",37,291.8,237.52
"18","Td67","0D",64,636.71,324.26
"19","Td67","0D",30,488.93,204.93
"20","Td67","0D",122,292.22,598.42
"21","Td67","0D",31,468.7,206.28
"22","Td67","0D",67,807.97,333.62
"23","Td67","0D",54,844.8,299.68
"24","Td67","0D",93,592.54,442.87
"25","Td67","0D",113,306.84,536.39
"26","Td67","0D",56,179.84,302.25
"27","Td67","0D",90,570.13,440.02
"28","Td67","0D",84,287.16,426.01
"29","Td67","0D",55,864.07,302.71
"30","Td67","0D",45,516.94,258.9
"31","Td67","0D",44,667.63,260.15
"32","Td67","0D",65,838.66,324.19
"33","Td67","0D",69,277.03,344.43
"34","Td67","0D",97,582.41,452.49
"35","Td67","0D",22,432.93,187.12
"36","Td67","0D",103,109.65,480.88
"37","Td67","0D",17,416.01,165.98
"38","Td67","0D",71,806.25,351.93
"39","Td67","0D",58,849.52,311.42
"40","Td67","0D",127,82.5,625.63
"41","Td67","0D",12,479.41,109.73
"42","Td67","0D",47,247.28,277.19
"43","Td67","0D",8,50.85,57.38
"44","Td67","0D",24,84.03,191.11
"45","Td67","0D",85,541.57,425.42
"46","Td67","0D",102,55.58,479.76
"47","Td67","0D",101,608.54,459.7
"48","Td67","0D",100,595.15,456.73
"49","Td67","0D",29,454.58,203.16
"50","Td67","0D",112,394.44,531.79
"51","Td67","0D",27,179.93,202.68
"52","Td67","0D",82,683.26,406.24
"53","Td67","0D",92,164.85,441.02
"54","Td67","0D",40,80.35,240.53
"55","Td67","0D",104,198.11,485.06
"56","Td67","0D",20,259.14,179.39
"57","Td67","0D",108,658.77,517.96
"58","Td67","0D",116,88.67,551.13
"59","Td67","0D",95,559.65,445.4
"60","Td67","0D",10,220.8,98.13
"61","Td67","0D",119,638.87,583.38
"62","Td67","0D",60,572.1,312.77
"63","Td67","0D",9,292.94,94.18
"64","Td67","0D",38,860.91,237.67
"65","Td67","0D",68,822.96,338.86
"66","Td67","0D",16,526.39,162.73
"67","Td67","0D",75,442.8,360.85
"68","Td67","0D",3,750.58,43.26
"69","Td67","0D",66,703.28,326.64
"70","Td67","0D",109,236.98,518.84
"71","Td67","0D",111,160.05,527.25
"72","Td67","0D",52,474.4,297.54
"73","Td67","0D",91,634.88,437.54
"74","Td67","0D",114,334.55,546.54
"75","Td67","0D",76,454.22,367.43
"76","Td67","0D",34,779.3,227.73
"77","Td67","0D",6,535.74,51.68
"78","Td67","0D",72,222.43,352.31
"79","Td67","0D",57,836.6,307.32
"80","Td67","0D",99,812.97,452.79
"81","Td67","0D",32,444.81,210.2
"82","Td67","0D",4,138.82,45.29
"83","Td67","0D",78,792.53,369.65
"84","Td67","0D",125,729.46,614.88
"85","Td67","0D",77,699.7,367.32
"86","Td67","0D",48,707.31,279.59
"87","Td67","0D",106,491.76,503.41
"88","Td67","0D",73,571.14,355.83
"89","Td67","0D",28,437.99,202.7
"90","Td67","0D",1,708.68,14.98
"91","Td67","0D",59,330.61,309.93
"92","Td67","0D",46,764.01,268.76
"93","Td67","0D",23,728.72,190.16
"94","Td67","0D",120,830.47,581.45
"95","Td67","0D",81,398.98,400.92
"96","Td67","0D",129,379.94,654.26
"97","Td67","0D",18,381.46,163.09
"98","Td67","0D",124,562.23,611.05
"99","Td67","0D",14,402.65,129.88
"100","Td67","0D",115,246.39,548.32
"101","Td67","0D",80,175.44,375.94
"102","Td67","0D",117,237.48,551.4
"103","Td67","0D",43,666.31,251.13
"104","Td67","0D",5,601.26,45
"105","Td67","0D",2,796.3,30.78
"106","Td67","0D",15,655.55,142.03
"107","Td67","0D",21,423.06,182.24
"108","Td67","0D",26,612.44,192.9
"109","Td67","0D",88,595.25,433.74
"110","Td67","0D",83,278.87,415.59
"111","Td67","0D",13,164.64,111.15
"112","Td67","0D",19,422,174.15
"113","Td67","0D",36,303.25,234.92
"114","Td67","0D",128,664.98,646.35
"115","Td67","0D",61,826.21,313.31
"116","Td67","0D",123,195.26,600.99
"117","Td67","0D",51,832.28,295.47
"118","Td67","0D",11,3.6,101.65
"119","Td67","0D",98,631.2,448.56
"120","Td67","0D",62,642.48,315.1
"121","Td67","0D",7,594.97,50.91
"122","Td67","0D",118,300.72,578.84
"123","Td67","0D",87,586.56,432.95
"124","Td67","0D",79,772.48,372.85
"125","Td67","0D",96,547.62,447.29
"126","Td67","0D",39,310.13,238.06
"127","Td67","0D",53,874.02,298.27
"128","Td67","0D",50,877.2,290.09
"129","Td67","0D",94,626.86,442.58
