"","MouseID","DPI","ID","X","Y"
"1","Td67","0D",2118,463.56,446.6
"2","Td67","0D",2484,747.31,516.32
"3","Td67","0D",2258,823.22,472.82
"4","Td67","0D",2308,801.05,480.98
"5","Td67","0D",2238,858.1,468.17
"6","Td67","0D",1824,748.67,383.8
"7","Td67","0D",886,469.63,186.59
"8","Td67","0D",936,407.35,198.94
"9","Td67","0D",1579,532.19,333.28
"10","Td67","0D",1281,166.85,273.94
"11","Td67","0D",1325,871.83,282.51
"12","Td67","0D",1973,752.04,413.96
"13","Td67","0D",3112,108.36,644.56
"14","Td67","0D",2164,302.86,454.7
"15","Td67","0D",3195,386.03,657.37
"16","Td67","0D",251,202.79,59.56
"17","Td67","0D",2395,769.31,496.1
"18","Td67","0D",121,352.8,26.7
"19","Td67","0D",3111,53.23,643.29
"20","Td67","0D",2129,764.62,445.64
"21","Td67","0D",2510,58.16,521.26
"22","Td67","0D",2397,291.98,497.86
"23","Td67","0D",2918,307.04,605.33
"24","Td67","0D",1373,835.63,290.91
"25","Td67","0D",2933,860.29,609.09
"26","Td67","0D",153,96.96,34.38
"27","Td67","0D",919,76.72,193.04
"28","Td67","0D",3047,173.67,631.95
"29","Td67","0D",1498,658.87,316.44
"30","Td67","0D",572,128.32,122.41
"31","Td67","0D",2815,66.83,586.27
"32","Td67","0D",2509,729.67,519.07
"33","Td67","0D",431,544.02,93.29
"34","Td67","0D",3023,784.1,628.35
"35","Td67","0D",1452,54.17,305.53
"36","Td67","0D",1871,837.43,391.88
"37","Td67","0D",1497,862.19,315.31
"38","Td67","0D",2270,700.69,474.59
"39","Td67","0D",1430,818.15,300.01
"40","Td67","0D",2990,543.15,621.82
"41","Td67","0D",480,155.45,103.07
"42","Td67","0D",646,69.78,138
"43","Td67","0D",1410,198.73,298.32
"44","Td67","0D",555,551.61,118.97
"45","Td67","0D",1925,828.44,402.14
"46","Td67","0D",675,7.389,147
"47","Td67","0D",124,149.89,27.22
"48","Td67","0D",1924,96.63,402.32
"49","Td67","0D",880,609.81,186.62
"50","Td67","0D",3113,148.79,643.94
"51","Td67","0D",2394,537.35,497.66
"52","Td67","0D",395,78.64,88.56
"53","Td67","0D",2188,162.68,458.07
"54","Td67","0D",498,175.5,107.32
"55","Td67","0D",648,512.82,137.6
"56","Td67","0D",1827,139.09,382.8
"57","Td67","0D",1094,740.12,237.49
"58","Td67","0D",1587,519.63,332.98
"59","Td67","0D",1606,251.84,339.29
"60","Td67","0D",2867,223.76,596.87
"61","Td67","0D",2463,765.38,510.72
"62","Td67","0D",1304,236.98,276.16
"63","Td67","0D",1130,427.03,244.13
"64","Td67","0D",1726,273.99,360.39
"65","Td67","0D",2519,765.03,522.45
"66","Td67","0D",2375,659.43,492.48
"67","Td67","0D",2107,611.03,442.84
"68","Td67","0D",2958,790.12,615.03
"69","Td67","0D",2145,363.88,449.89
"70","Td67","0D",1848,339.27,389.01
"71","Td67","0D",1690,637.18,353.08
"72","Td67","0D",309,495.67,69.72
"73","Td67","0D",2467,269.91,511.07
"74","Td67","0D",1408,866.76,296.98
"75","Td67","0D",2153,109.95,451.68
"76","Td67","0D",1815,14.2,382.31
"77","Td67","0D",243,756.6,55.92
"78","Td67","0D",1628,573.44,342.22
"79","Td67","0D",2386,572.43,495.21
"80","Td67","0D",2151,11.1,449.97
"81","Td67","0D",804,814.39,170.06
"82","Td67","0D",2883,552.14,599.78
"83","Td67","0D",1260,329.87,268.53
"84","Td67","0D",2792,625.22,581.22
"85","Td67","0D",2436,187.34,507.79
"86","Td67","0D",148,628.23,32.31
"87","Td67","0D",663,591.33,142.17
"88","Td67","0D",2022,523.11,424.63
"89","Td67","0D",2420,482.53,504.68
"90","Td67","0D",1024,89.22,223.67
"91","Td67","0D",2014,322.99,422.29
"92","Td67","0D",2048,830.45,427.78
"93","Td67","0D",1418,124.44,299.13
"94","Td67","0D",448,728.54,97.82
"95","Td67","0D",2018,551.07,424.82
"96","Td67","0D",54,367.83,12.55
"97","Td67","0D",2134,148.7,445.84
"98","Td67","0D",1818,651.17,381.86
"99","Td67","0D",3129,42.92,645.59
"100","Td67","0D",2864,273.42,596.39
"101","Td67","0D",2422,169.14,504.07
"102","Td67","0D",1938,591.83,407.5
"103","Td67","0D",456,219.75,99.23
"104","Td67","0D",1743,107.42,365.13
"105","Td67","0D",1905,114.8,401.25
"106","Td67","0D",1264,854.72,271.72
"107","Td67","0D",1136,443.64,245.59
"108","Td67","0D",1747,26.27,366.37
"109","Td67","0D",954,268.19,203.1
"110","Td67","0D",1886,627.33,394.84
"111","Td67","0D",1117,123.57,241.77
"112","Td67","0D",2547,64.12,529.14
"113","Td67","0D",2676,145.8,556.77
"114","Td67","0D",710,36.94,154.48
"115","Td67","0D",2565,864.52,532.7
"116","Td67","0D",1169,413.55,251.87
"117","Td67","0D",892,649.86,187.89
"118","Td67","0D",1328,255.43,279.74
"119","Td67","0D",1811,47.39,380.15
"120","Td67","0D",1482,834.2,310.69
"121","Td67","0D",204,627.72,45.82
"122","Td67","0D",620,376.03,131.78
