"","MouseID","DPI","ID","X","Y"
"1","Td68","0D",58,819.97,288.91
"2","Td68","0D",53,870.82,268.46
"3","Td68","0D",39,845.99,217.1
"4","Td68","0D",52,673.97,264.82
"5","Td68","0D",60,790.25,294.34
"6","Td68","0D",49,675.88,242.76
"7","Td68","0D",51,711.25,261.44
"8","Td68","0D",56,715.17,280.93
"9","Td68","0D",77,28.49,427.36
"10","Td68","0D",15,344.07,121.92
"11","Td68","0D",35,809.08,210.8
"12","Td68","0D",34,529.43,206.22
"13","Td68","0D",67,178.08,359.38
"14","Td68","0D",1,650.28,7.62
"15","Td68","0D",38,777.57,214.09
"16","Td68","0D",41,726.94,220.05
"17","Td68","0D",66,723.03,335.39
"18","Td68","0D",40,760.27,216.94
"19","Td68","0D",2,635.21,7.731
"20","Td68","0D",11,10.73,88.07
"21","Td68","0D",97,556.65,603.13
"22","Td68","0D",16,589.33,116.44
"23","Td68","0D",86,280.97,551.91
"24","Td68","0D",20,629.86,124.63
"25","Td68","0D",75,498.38,418.99
"26","Td68","0D",44,871.6,223.55
"27","Td68","0D",59,803.01,293.04
"28","Td68","0D",46,837.44,225.8
"29","Td68","0D",76,486.33,425.02
"30","Td68","0D",43,778.99,222.04
"31","Td68","0D",21,349.72,133.89
"32","Td68","0D",29,414.71,161.09
"33","Td68","0D",98,540.72,608.23
"34","Td68","0D",68,164.95,366
"35","Td68","0D",24,389.63,149.21
"36","Td68","0D",7,6.097,74.29
"37","Td68","0D",22,364.67,138.63
"38","Td68","0D",90,341.2,563.41
"39","Td68","0D",25,262.59,150.23
"40","Td68","0D",62,147.59,308.95
"41","Td68","0D",36,793.59,212.86
"42","Td68","0D",87,646.53,555.34
"43","Td68","0D",47,113.9,231.33
"44","Td68","0D",92,453.8,565.41
"45","Td68","0D",78,391.17,429.2
"46","Td68","0D",17,703.48,116.64
"47","Td68","0D",23,737.75,144.89
"48","Td68","0D",50,54.3,239.84
"49","Td68","0D",33,37.32,200.29
"50","Td68","0D",18,556.78,117.29
"51","Td68","0D",10,429.07,84.32
"52","Td68","0D",95,226.96,584.79
"53","Td68","0D",28,400.68,156.87
"54","Td68","0D",4,132.21,32.81
"55","Td68","0D",27,57.44,153.9
"56","Td68","0D",71,186.17,376.31
"57","Td68","0D",30,319.39,162.63
"58","Td68","0D",6,711.21,48.05
"59","Td68","0D",45,399.57,222.47
"60","Td68","0D",64,205.09,326.73
"61","Td68","0D",79,143.49,430.86
"62","Td68","0D",96,826.04,603.35
"63","Td68","0D",89,867.66,554.22
"64","Td68","0D",73,237.65,385.81
"65","Td68","0D",63,506.62,314.63
"66","Td68","0D",81,453.13,461.98
"67","Td68","0D",19,574.97,118.1
"68","Td68","0D",65,354.39,328.37
"69","Td68","0D",26,208.7,151.58
"70","Td68","0D",32,594.04,169.03
"71","Td68","0D",12,254.97,90.6
"72","Td68","0D",61,306.96,306.6
"73","Td68","0D",3,783.65,21.5
"74","Td68","0D",48,498.76,232.2
"75","Td68","0D",31,135.24,167.96
"76","Td68","0D",57,242.07,281.81
"77","Td68","0D",83,761.99,469.79
"78","Td68","0D",88,726.34,554.88
"79","Td68","0D",72,165.05,378.98
"80","Td68","0D",91,92.61,564.89
"81","Td68","0D",55,174.6,279.24
"82","Td68","0D",93,785.32,569.9
"83","Td68","0D",85,539.04,507.27
"84","Td68","0D",37,822.94,214.16
"85","Td68","0D",100,61.3,658.06
"86","Td68","0D",13,86.75,103.56
"87","Td68","0D",8,815.73,75.2
"88","Td68","0D",70,599.94,369.2
"89","Td68","0D",84,422.79,470.31
"90","Td68","0D",80,586.99,435.97
"91","Td68","0D",99,825.3,621.44
"92","Td68","0D",54,43.53,267.07
"93","Td68","0D",74,869.27,405.13
"94","Td68","0D",5,874.22,44.27
"95","Td68","0D",14,568.23,112.54
"96","Td68","0D",9,83.21,81.15
"97","Td68","0D",82,424.82,462.05
"98","Td68","0D",101,616.79,661.19
"99","Td68","0D",94,83.57,571.01
"100","Td68","0D",69,186.73,367.37
"101","Td68","0D",42,829.09,220.15
