"","MouseID","DPI","ID","X","Y"
"1","Td69","0D",60,133.31,254.71
"2","Td69","0D",122,22.55,451.97
"3","Td69","0D",34,869.14,184.74
"4","Td69","0D",150,162.3,564.41
"5","Td69","0D",162,871.97,587.81
"6","Td69","0D",189,507.32,620.66
"7","Td69","0D",139,756.33,545.02
"8","Td69","0D",91,690.47,336.78
"9","Td69","0D",220,706.36,658.14
"10","Td69","0D",17,35.9,82.05
"11","Td69","0D",155,802.39,563.05
"12","Td69","0D",211,726.36,650.69
"13","Td69","0D",200,849.37,645.67
"14","Td69","0D",55,362.2,230.62
"15","Td69","0D",29,24.03,151.99
"16","Td69","0D",160,764.17,573.84
"17","Td69","0D",3,30.61,25.08
"18","Td69","0D",73,830.74,277.31
"19","Td69","0D",195,434.45,629.43
"20","Td69","0D",69,487.57,267.9
"21","Td69","0D",137,760.36,522.51
"22","Td69","0D",27,38.04,114.3
"23","Td69","0D",113,772.92,413.11
"24","Td69","0D",87,642.92,323.53
"25","Td69","0D",30,101.28,159.23
"26","Td69","0D",92,664.25,334.62
"27","Td69","0D",197,834.95,632.37
"28","Td69","0D",106,128.24,400.04
"29","Td69","0D",114,134.46,412.56
"30","Td69","0D",216,590.47,654.95
"31","Td69","0D",50,370.21,215.92
"32","Td69","0D",96,843.34,362.3
"33","Td69","0D",185,13.63,603.7
"34","Td69","0D",157,855.81,565.53
"35","Td69","0D",59,60.84,241.59
"36","Td69","0D",143,799.11,534.49
"37","Td69","0D",192,420.01,620.93
"38","Td69","0D",75,29.39,273.03
"39","Td69","0D",84,781.16,311.7
"40","Td69","0D",5,849.9,37.54
"41","Td69","0D",144,711.17,537.39
"42","Td69","0D",111,162.11,404.53
"43","Td69","0D",154,486.67,558.72
"44","Td69","0D",71,156.24,263.29
"45","Td69","0D",184,725.39,601.92
"46","Td69","0D",214,613.42,655.96
"47","Td69","0D",70,200.78,264.44
"48","Td69","0D",118,715.53,417.31
"49","Td69","0D",13,13.81,65.82
"50","Td69","0D",116,151.07,416.91
"51","Td69","0D",168,45.91,580.2
"52","Td69","0D",147,67.71,548.38
"53","Td69","0D",35,213.02,176.14
"54","Td69","0D",215,490.68,656.02
"55","Td69","0D",7,583.53,45.47
"56","Td69","0D",148,595.87,553.74
"57","Td69","0D",104,601.56,390.58
"58","Td69","0D",26,130.22,101.32
"59","Td69","0D",217,836.4,656.22
"60","Td69","0D",66,218.52,259.06
"61","Td69","0D",199,797.14,631.38
"62","Td69","0D",53,100.83,219.6
"63","Td69","0D",124,205.27,448.7
"64","Td69","0D",40,200.72,183.27
"65","Td69","0D",201,675.07,632.8
"66","Td69","0D",159,497.52,570.41
"67","Td69","0D",190,739.86,613.22
"68","Td69","0D",174,393.59,589.53
"69","Td69","0D",52,62.22,217.3
"70","Td69","0D",82,631.35,299.05
"71","Td69","0D",170,693.5,582.51
"72","Td69","0D",142,731.56,531.52
"73","Td69","0D",6,102.92,38.78
"74","Td69","0D",103,789.78,388.67
"75","Td69","0D",14,109.65,70.02
"76","Td69","0D",9,841.01,49.27
"77","Td69","0D",208,444.88,642.44
"78","Td69","0D",28,363.45,139.09
"79","Td69","0D",24,219.08,97.99
"80","Td69","0D",213,746.28,648.52
"81","Td69","0D",74,12.83,269.98
"82","Td69","0D",78,789.25,281.94
"83","Td69","0D",81,844.04,286.7
"84","Td69","0D",97,479.03,365.82
"85","Td69","0D",135,732.4,501.62
"86","Td69","0D",8,853.75,47.89
"87","Td69","0D",85,861.6,311.02
"88","Td69","0D",126,41.27,453.58
"89","Td69","0D",129,614,465.35
"90","Td69","0D",131,691.68,483.29
"91","Td69","0D",4,10.54,32.79
"92","Td69","0D",10,875.14,55.13
"93","Td69","0D",100,787.75,376.68
"94","Td69","0D",196,687.81,628.12
"95","Td69","0D",191,724.2,612.09
"96","Td69","0D",2,684.98,8.025
"97","Td69","0D",80,784.86,289.31
"98","Td69","0D",146,593.27,540.66
"99","Td69","0D",105,851.77,390.54
"100","Td69","0D",123,757.89,432.6
"101","Td69","0D",115,858.69,405.17
"102","Td69","0D",119,159.57,423.83
"103","Td69","0D",48,583.64,207.13
"104","Td69","0D",41,848.61,183.92
"105","Td69","0D",173,768.21,591.18
"106","Td69","0D",203,821.12,633.15
"107","Td69","0D",204,412.38,638.83
"108","Td69","0D",33,286.63,171.15
"109","Td69","0D",109,792.74,398.96
"110","Td69","0D",22,96.6,99.87
"111","Td69","0D",68,502.19,262.16
"112","Td69","0D",165,434.95,575.51
"113","Td69","0D",182,510.71,602.79
"114","Td69","0D",194,662.18,624.22
"115","Td69","0D",167,22.46,578.27
"116","Td69","0D",166,860.57,577.96
"117","Td69","0D",72,866.97,265.6
