"","MouseID","DPI","ID","X","Y"
"1","Td69","0D",148,176.81,552.96
"2","Td69","0D",19,59.94,158.88
"3","Td69","0D",13,25.32,147.66
"4","Td69","0D",58,177.52,338.11
"5","Td69","0D",146,320.24,530.76
"6","Td69","0D",138,83.98,514.61
"7","Td69","0D",153,81.01,547.7
"8","Td69","0D",80,272.54,385.35
"9","Td69","0D",132,433.06,504.79
"10","Td69","0D",172,110.88,595.98
"11","Td69","0D",39,285.97,270
"12","Td69","0D",157,10.24,560.86
"13","Td69","0D",38,270.82,261.11
"14","Td69","0D",76,200.01,377.7
"15","Td69","0D",29,523.29,209.28
"16","Td69","0D",61,744.86,352.03
"17","Td69","0D",121,279.04,474.36
"18","Td69","0D",120,208.08,476.6
"19","Td69","0D",33,636.78,222.64
"20","Td69","0D",145,389.53,522.42
"21","Td69","0D",190,367.84,654.41
"22","Td69","0D",115,361.14,458.94
"23","Td69","0D",46,574.57,292.71
"24","Td69","0D",189,343.06,656.48
"25","Td69","0D",50,636.67,307.26
"26","Td69","0D",193,171.99,659
"27","Td69","0D",92,132.47,400.08
"28","Td69","0D",86,48.97,394.13
"29","Td69","0D",97,677.44,406.6
"30","Td69","0D",144,306.45,519.23
"31","Td69","0D",1,571.5,14.02
"32","Td69","0D",45,414.67,285.29
"33","Td69","0D",180,203.58,628.62
"34","Td69","0D",94,174.35,407.7
"35","Td69","0D",131,197.33,495.24
"36","Td69","0D",100,393.62,427.11
"37","Td69","0D",158,78.81,560.74
"38","Td69","0D",113,247.19,450.87
"39","Td69","0D",162,346.76,562.89
"40","Td69","0D",41,189.82,271.56
"41","Td69","0D",151,418.39,547.13
"42","Td69","0D",175,134.18,608.71
"43","Td69","0D",177,67.74,615.13
"44","Td69","0D",106,431.06,444.95
"45","Td69","0D",79,433.49,378.97
"46","Td69","0D",64,183.08,353.69
"47","Td69","0D",37,659.98,255.37
"48","Td69","0D",117,439.87,472.32
"49","Td69","0D",124,347.53,492.39
"50","Td69","0D",152,290.7,540.78
"51","Td69","0D",28,495.03,195.63
"52","Td69","0D",112,289.18,455.39
"53","Td69","0D",179,415.56,625.94
"54","Td69","0D",125,71.11,487.21
"55","Td69","0D",88,427.44,396.9
"56","Td69","0D",74,267.37,364.64
"57","Td69","0D",176,304.67,610.4
"58","Td69","0D",186,156.72,639.98
"59","Td69","0D",82,750.41,387.89
"60","Td69","0D",57,198.85,330.21
"61","Td69","0D",5,749.28,24.22
"62","Td69","0D",105,409.13,435.28
"63","Td69","0D",168,237.56,582.38
"64","Td69","0D",110,321.07,449
"65","Td69","0D",169,7.052,584.01
"66","Td69","0D",18,32.84,158.54
"67","Td69","0D",108,449.48,443.3
"68","Td69","0D",36,294.57,248.94
"69","Td69","0D",52,559.79,313.7
"70","Td69","0D",134,386.57,498.81
"71","Td69","0D",21,569.39,157.88
"72","Td69","0D",103,690.11,434.95
"73","Td69","0D",194,282.38,659.37
"74","Td69","0D",15,149.41,140.44
"75","Td69","0D",22,20.36,170.92
"76","Td69","0D",51,233.82,303.65
"77","Td69","0D",84,231.4,392.28
"78","Td69","0D",181,626.08,632.7
"79","Td69","0D",166,783.41,569.03
"80","Td69","0D",32,647.28,208.71
"81","Td69","0D",68,521.51,356.19
"82","Td69","0D",143,338.3,514.28
"83","Td69","0D",66,163.32,353.83
"84","Td69","0D",96,663.12,402.33
"85","Td69","0D",89,81.5,392.27
"86","Td69","0D",63,153.13,351.19
"87","Td69","0D",127,403.69,488.17
"88","Td69","0D",81,356.41,383.93
"89","Td69","0D",59,662.41,342.38
"90","Td69","0D",109,127.98,442.92
"91","Td69","0D",11,2.974,110.16
"92","Td69","0D",2,401.79,9.234
"93","Td69","0D",99,521.98,420.55
"94","Td69","0D",188,287.15,645.05
"95","Td69","0D",17,555.72,153.66
"96","Td69","0D",107,653.36,442.59
"97","Td69","0D",27,475.86,187.79
"98","Td69","0D",102,461.23,434.6
"99","Td69","0D",167,116.99,571.08
"100","Td69","0D",65,277.52,354.92
"101","Td69","0D",173,457.89,591.65
"102","Td69","0D",90,622.11,394.03
"103","Td69","0D",93,576.27,399.87
"104","Td69","0D",156,116.3,550.88
"105","Td69","0D",119,553.16,467.94
"106","Td69","0D",8,256.72,66.58
"107","Td69","0D",135,43.56,498.86
"108","Td69","0D",136,108.56,498.97
"109","Td69","0D",78,95.97,371.54
"110","Td69","0D",171,193.89,590.07
"111","Td69","0D",77,640.89,368.97
"112","Td69","0D",183,291.12,635.54
"113","Td69","0D",187,212.38,644.19
"114","Td69","0D",104,277.6,433.87
"115","Td69","0D",139,268.69,502.41
"116","Td69","0D",101,339.04,428.4
"117","Td69","0D",137,11.54,500.72
"118","Td69","0D",170,22.95,583.72
"119","Td69","0D",73,636.82,362.64
"120","Td69","0D",56,566.7,326.07
"121","Td69","0D",69,489.33,358.43
"122","Td69","0D",7,267.8,44.13
"123","Td69","0D",141,347.11,507.96
"124","Td69","0D",161,127.4,559.07
"125","Td69","0D",91,435.39,394.66
"126","Td69","0D",20,648.12,155.14
"127","Td69","0D",75,22.44,364.09
"128","Td69","0D",114,274.24,455.57
"129","Td69","0D",192,119.5,652.92
"130","Td69","0D",87,294.96,391.73
"131","Td69","0D",185,32.28,635.44
"132","Td69","0D",149,191.75,533.36
"133","Td69","0D",184,502.12,632.45
"134","Td69","0D",85,604.85,388.54
"135","Td69","0D",67,443.37,353.68
"136","Td69","0D",130,120.16,489.74
"137","Td69","0D",3,490.52,18.83
"138","Td69","0D",62,216.22,351.43
"139","Td69","0D",25,338.13,180.9
"140","Td69","0D",165,148.89,565.44
"141","Td69","0D",116,231.52,456.26
"142","Td69","0D",26,350.99,182.57
"143","Td69","0D",49,351.52,296.04
"144","Td69","0D",70,701.25,355.74
"145","Td69","0D",154,258.41,542.23
"146","Td69","0D",71,55.88,359.49
"147","Td69","0D",83,589.64,384.97
"148","Td69","0D",35,648.41,238.27
"149","Td69","0D",34,651.08,232.07
"150","Td69","0D",129,299.43,492.85
"151","Td69","0D",55,77,322.64
"152","Td69","0D",128,175.81,489.03
"153","Td69","0D",6,436.95,28.88
"154","Td69","0D",155,275.97,547.24
"155","Td69","0D",147,415.75,529.12
"156","Td69","0D",160,53.35,560.3
"157","Td69","0D",23,37.16,167.52
"158","Td69","0D",4,376.15,20.16
"159","Td69","0D",191,418.27,653.21
"160","Td69","0D",182,181.86,629.96
"161","Td69","0D",150,234.61,539.63
"162","Td69","0D",12,161.77,110.32
"163","Td69","0D",43,529.48,269.66
"164","Td69","0D",126,275.75,487.5
"165","Td69","0D",31,457.01,208.09
"166","Td69","0D",9,333.3,70.79
"167","Td69","0D",123,301.4,479.57
"168","Td69","0D",54,218.59,313.1
"169","Td69","0D",178,100.74,618.39
"170","Td69","0D",44,364.82,281.2
"171","Td69","0D",195,536.93,658.14
"172","Td69","0D",159,146.27,557.94
"173","Td69","0D",10,469.6,102.65
"174","Td69","0D",72,346.12,357.74
"175","Td69","0D",14,160.36,130.67
"176","Td69","0D",98,476.5,413.3
"177","Td69","0D",122,407.13,474.91
"178","Td69","0D",140,301.63,501.7
"179","Td69","0D",47,44.61,290.31
"180","Td69","0D",42,586.11,270.51
"181","Td69","0D",174,694.32,596.53
"182","Td69","0D",95,521.83,402.84
"183","Td69","0D",142,83.79,507.15
"184","Td69","0D",48,655.51,293.97
"185","Td69","0D",16,37.46,144.88
"186","Td69","0D",60,411.88,346.32
"187","Td69","0D",133,620.96,493.66
"188","Td69","0D",118,92.76,463.51
"189","Td69","0D",164,22.83,564
"190","Td69","0D",163,404.89,559.99
"191","Td69","0D",111,407.79,447.47
"192","Td69","0D",40,486.72,262.8
"193","Td69","0D",53,35.56,308.63
"194","Td69","0D",24,3.945,174.41
"195","Td69","0D",30,603.05,203.36
"196","Td69","0D",196,134.91,660.21
