"","MouseID","DPI","ID","X","Y"
"1","Td73","3D",22,140.83,263.43
"2","Td73","3D",56,616.45,653.01
"3","Td73","3D",50,222.34,544.17
"4","Td73","3D",43,179.88,476.09
"5","Td73","3D",18,194.8,223.14
"6","Td73","3D",37,204.36,410.49
"7","Td73","3D",36,185.35,410.96
"8","Td73","3D",15,227.64,200.11
"9","Td73","3D",12,17.29,128.96
"10","Td73","3D",6,310.34,48.21
"11","Td73","3D",51,219.86,565.91
"12","Td73","3D",28,196.34,317.07
"13","Td73","3D",45,755.03,503.61
"14","Td73","3D",27,839.93,314.92
"15","Td73","3D",46,194.52,502.8
"16","Td73","3D",32,249.55,378.95
"17","Td73","3D",40,23.46,421.9
"18","Td73","3D",54,50.08,622.43
"19","Td73","3D",9,390.01,99.25
"20","Td73","3D",16,212.26,209.43
"21","Td73","3D",31,335.86,370.32
"22","Td73","3D",5,393.31,23.11
"23","Td73","3D",20,90.12,240.4
"24","Td73","3D",29,185.8,354.32
"25","Td73","3D",10,829.68,106.32
"26","Td73","3D",47,301.79,504.19
"27","Td73","3D",38,168.61,413.77
"28","Td73","3D",44,188.3,490.96
"29","Td73","3D",53,765.08,607.35
"30","Td73","3D",30,176.9,367.36
"31","Td73","3D",19,480.84,221.99
"32","Td73","3D",42,145.16,444.68
"33","Td73","3D",2,651.27,5.735
"34","Td73","3D",17,77.7,215.59
"35","Td73","3D",23,326.32,260.78
"36","Td73","3D",49,583.38,523.57
"37","Td73","3D",55,346.61,631.78
"38","Td73","3D",26,6.053,309.67
"39","Td73","3D",41,287.91,432.61
"40","Td73","3D",48,456.11,509.56
"41","Td73","3D",13,108.61,124.76
"42","Td73","3D",8,475.87,81.73
"43","Td73","3D",34,170.5,403.03
"44","Td73","3D",4,68.47,9.811
"45","Td73","3D",7,750.86,73.62
"46","Td73","3D",21,96.67,251.42
"47","Td73","3D",14,741.86,182.85
"48","Td73","3D",24,570.73,285
"49","Td73","3D",52,417.91,572.01
"50","Td73","3D",3,719.05,4.157
"51","Td73","3D",33,177.61,378.71
"52","Td73","3D",39,701.38,415.24
"53","Td73","3D",11,117.28,120.37
"54","Td73","3D",57,166.64,658.79
"55","Td73","3D",1,79.68,3.834
"56","Td73","3D",25,16.81,307.6
"57","Td73","3D",35,161.95,406.34
