"","MouseID","DPI","ID","X","Y"
"1","Td74","3D",276,97.05,532.84
"2","Td74","3D",214,820.66,452.42
"3","Td74","3D",331,257.3,608.59
"4","Td74","3D",105,561.43,250.41
"5","Td74","3D",1,650.81,16.02
"6","Td74","3D",211,548.81,447.43
"7","Td74","3D",55,401.87,151.35
"8","Td74","3D",209,453.35,433.46
"9","Td74","3D",218,269.89,444.18
"10","Td74","3D",238,781.39,481.4
"11","Td74","3D",271,854.76,531.78
"12","Td74","3D",155,626.85,357.75
"13","Td74","3D",35,462.34,107.09
"14","Td74","3D",176,685.67,392.59
"15","Td74","3D",173,336.73,390.08
"16","Td74","3D",341,740.22,624.13
"17","Td74","3D",85,140.56,214.7
"18","Td74","3D",239,661.31,480.51
"19","Td74","3D",243,286.49,486.6
"20","Td74","3D",303,271.33,568.01
"21","Td74","3D",41,370.68,114.97
"22","Td74","3D",348,259.33,626.12
"23","Td74","3D",152,316.23,346.57
"24","Td74","3D",15,296.68,58
"25","Td74","3D",8,452.81,28.41
"26","Td74","3D",228,866.23,457.96
"27","Td74","3D",324,76.87,594.52
"28","Td74","3D",297,344.01,551.42
"29","Td74","3D",26,26,89.99
"30","Td74","3D",146,214.47,337.95
"31","Td74","3D",3,367.48,14.16
"32","Td74","3D",280,448.48,535.9
"33","Td74","3D",59,335.53,160.62
"34","Td74","3D",74,210.89,195.81
"35","Td74","3D",309,224.5,570.79
"36","Td74","3D",113,392.05,265.91
"37","Td74","3D",132,419.21,302.05
"38","Td74","3D",333,874.19,609.44
"39","Td74","3D",335,76.14,603.93
"40","Td74","3D",291,297.68,549.92
"41","Td74","3D",290,747.92,548.44
"42","Td74","3D",13,70.09,42.57
"43","Td74","3D",36,544.4,106.14
"44","Td74","3D",367,173.64,651.29
"45","Td74","3D",69,378.6,191.4
"46","Td74","3D",88,126.82,211.63
"47","Td74","3D",231,471.22,468.57
"48","Td74","3D",321,831.3,596.33
"49","Td74","3D",140,578,312.67
"50","Td74","3D",232,353.53,466.01
"51","Td74","3D",150,714.73,340.73
"52","Td74","3D",265,63.5,515.48
"53","Td74","3D",252,350.33,490.33
"54","Td74","3D",223,617.88,446.47
"55","Td74","3D",63,443.06,172.9
"56","Td74","3D",147,45.67,337.42
"57","Td74","3D",64,290.06,179.51
"58","Td74","3D",358,489.11,637.65
"59","Td74","3D",199,178.86,416.63
"60","Td74","3D",148,511.06,335.69
"61","Td74","3D",193,562.54,409.02
"62","Td74","3D",98,770.79,230.54
"63","Td74","3D",307,505.16,567.61
"64","Td74","3D",169,243.86,377.77
"65","Td74","3D",145,378.73,333.32
"66","Td74","3D",373,545.5,653.48
"67","Td74","3D",245,152.67,482.54
"68","Td74","3D",34,327.99,104.45
"69","Td74","3D",32,606.61,92.7
"70","Td74","3D",29,721.54,91.76
"71","Td74","3D",293,470.6,545.42
"72","Td74","3D",203,67.49,421.4
"73","Td74","3D",24,301.4,81.54
"74","Td74","3D",164,377.7,367.55
"75","Td74","3D",317,208.59,588.27
"76","Td74","3D",44,281.75,122.69
"77","Td74","3D",65,492.58,181.39
"78","Td74","3D",345,494.78,622.8
"79","Td74","3D",272,240.4,517.69
"80","Td74","3D",260,199.96,501.24
"81","Td74","3D",362,567.23,639.61
"82","Td74","3D",256,725.11,499.24
"83","Td74","3D",300,575.99,558.55
"84","Td74","3D",346,74.41,620.58
"85","Td74","3D",236,420.65,471.13
"86","Td74","3D",308,562.72,571.03
"87","Td74","3D",361,290.47,640.09
"88","Td74","3D",340,147.69,608.98
