"","MouseID","DPI","ID","X","Y"
"1","Td77","3D",4371,75.45,593.24
"2","Td77","3D",4744,629.99,645.96
"3","Td77","3D",164,749.18,26.09
"4","Td77","3D",208,113.96,33.59
"5","Td77","3D",2255,170.43,303.8
"6","Td77","3D",2159,635.87,289.05
"7","Td77","3D",1222,833.34,165.4
"8","Td77","3D",802,211.98,109.43
"9","Td77","3D",1096,400.14,152.58
"10","Td77","3D",2248,535.94,302.68
"11","Td77","3D",1799,147.36,242.02
"12","Td77","3D",776,505.7,107.3
"13","Td77","3D",3,85.41,6.506
"14","Td77","3D",2676,147.13,359.15
"15","Td77","3D",4441,121.91,601.21
"16","Td77","3D",4679,510.06,635.68
"17","Td77","3D",1981,184.17,267.67
"18","Td77","3D",3229,645.23,434.34
"19","Td77","3D",3651,409.4,489.61
"20","Td77","3D",3640,294.42,488.01
"21","Td77","3D",4547,136.42,618.91
"22","Td77","3D",725,351.19,99.35
"23","Td77","3D",501,720.06,72.87
"24","Td77","3D",500,252.43,72.09
"25","Td77","3D",36,610.8,8.644
"26","Td77","3D",1832,74.3,244.48
"27","Td77","3D",3601,10.69,483.97
"28","Td77","3D",4434,719.53,597.78
"29","Td77","3D",4346,400.58,587.61
"30","Td77","3D",1468,480.45,199.73
"31","Td77","3D",3317,321.4,443.41
"32","Td77","3D",1934,865.95,257.68
"33","Td77","3D",1662,856.24,221.9
"34","Td77","3D",789,732.12,107.69
"35","Td77","3D",1914,703.97,254.95
"36","Td77","3D",4114,563.05,552.46
"37","Td77","3D",593,796.79,83.65
"38","Td77","3D",1464,160.26,197.88
"39","Td77","3D",1352,826.4,179.97
"40","Td77","3D",2967,301.88,399.32
"41","Td77","3D",909,751.5,124.11
"42","Td77","3D",3899,19.77,522.89
"43","Td77","3D",1862,856.24,247.47
"44","Td77","3D",2297,119.34,308.01
"45","Td77","3D",4348,53.45,590.58
"46","Td77","3D",176,870.87,30.15
"47","Td77","3D",3495,130.26,464.98
"48","Td77","3D",2072,562.67,275.37
"49","Td77","3D",3896,87.64,521.56
"50","Td77","3D",3058,550.9,408.23
"51","Td77","3D",174,586.68,28.05
"52","Td77","3D",4018,378.64,538.3
"53","Td77","3D",4029,202.45,541.78
"54","Td77","3D",2194,777.12,292.43
"55","Td77","3D",2784,123.95,373.72
