"","MouseID","DPI","ID","X","Y"
"1","Td78","3D",33,110.71,171.88
"2","Td78","3D",47,113.28,220.13
"3","Td78","3D",36,580.69,175.52
"4","Td78","3D",9,31.78,50.23
"5","Td78","3D",35,127.9,171.96
"6","Td78","3D",14,50.94,61.36
"7","Td78","3D",39,112.27,193.75
"8","Td78","3D",97,186.21,491.98
"9","Td78","3D",40,572.75,195.41
"10","Td78","3D",38,160.76,173.64
"11","Td78","3D",29,591.62,138.99
"12","Td78","3D",37,143.83,172.06
"13","Td78","3D",101,405.94,504.34
"14","Td78","3D",56,96.53,259.92
"15","Td78","3D",5,236.11,33.27
"16","Td78","3D",20,593.03,94.77
"17","Td78","3D",102,611.18,505.89
"18","Td78","3D",92,119.43,482.75
"19","Td78","3D",104,58.44,515.15
"20","Td78","3D",57,144.57,260.83
"21","Td78","3D",19,336.39,84.39
"22","Td78","3D",22,490.54,102.65
"23","Td78","3D",100,113.89,497.76
"24","Td78","3D",106,718.88,526.78
"25","Td78","3D",82,428.84,410.86
"26","Td78","3D",53,108.53,248.65
"27","Td78","3D",115,821.61,552.7
"28","Td78","3D",60,690.79,273.17
"29","Td78","3D",25,597.28,121.89
"30","Td78","3D",43,726.52,196.12
"31","Td78","3D",124,612.45,586.07
"32","Td78","3D",133,395.3,638.76
"33","Td78","3D",46,832.95,207.44
"34","Td78","3D",116,72.79,552.55
"35","Td78","3D",42,324.58,196.61
"36","Td78","3D",65,286.27,288.81
"37","Td78","3D",32,461.2,159.55
"38","Td78","3D",77,489.94,362.51
"39","Td78","3D",84,419.64,420.75
"40","Td78","3D",125,111.87,587.32
"41","Td78","3D",123,79.33,582.81
"42","Td78","3D",112,555.87,536.75
"43","Td78","3D",11,839.57,58.04
"44","Td78","3D",41,95.72,187.92
"45","Td78","3D",94,803.62,481.8
"46","Td78","3D",31,586.33,156.55
"47","Td78","3D",122,157.67,576.27
"48","Td78","3D",48,769.5,219.35
"49","Td78","3D",98,203.72,491.41
"50","Td78","3D",45,254.99,207.66
"51","Td78","3D",96,221.07,489.74
"52","Td78","3D",128,764.25,611.13
"53","Td78","3D",17,187.31,81.66
"54","Td78","3D",110,70.92,532.75
"55","Td78","3D",71,620.89,323.64
"56","Td78","3D",52,212.91,248.19
"57","Td78","3D",93,30.37,482.91
"58","Td78","3D",12,178.72,58.62
"59","Td78","3D",27,227.94,133.77
"60","Td78","3D",95,141.34,487.62
"61","Td78","3D",111,314.58,534.14
"62","Td78","3D",72,865.14,326.68
"63","Td78","3D",62,202.28,275.67
"64","Td78","3D",34,447.63,165.52
"65","Td78","3D",2,346.69,6.335
"66","Td78","3D",117,173.31,554.79
"67","Td78","3D",18,715.19,83.59
"68","Td78","3D",80,704.53,390.49
"69","Td78","3D",135,575.11,653.13
"70","Td78","3D",26,67.99,131.76
"71","Td78","3D",75,604.17,345.94
"72","Td78","3D",28,740.73,134.78
"73","Td78","3D",3,62.78,8.551
"74","Td78","3D",24,69.59,116.13
"75","Td78","3D",78,376.87,378.97
"76","Td78","3D",68,555.48,318.2
"77","Td78","3D",105,483.46,519.43
"78","Td78","3D",113,529.06,540.88
"79","Td78","3D",131,372.46,627.18
"80","Td78","3D",118,671.41,563.13
"81","Td78","3D",120,831.02,568.49
"82","Td78","3D",69,272.92,316.77
"83","Td78","3D",86,123.52,441.56
"84","Td78","3D",121,205.77,573.95
"85","Td78","3D",132,62.83,628.1
"86","Td78","3D",107,326.37,525.13
"87","Td78","3D",90,554.95,474.41
"88","Td78","3D",54,329.52,247.87
"89","Td78","3D",67,188.82,305.29
"90","Td78","3D",61,461.43,276.43
"91","Td78","3D",99,412.69,493.9
"92","Td78","3D",63,72.61,280.27
"93","Td78","3D",134,264.98,643.39
"94","Td78","3D",91,180.51,477.72
"95","Td78","3D",70,468.25,319.15
"96","Td78","3D",55,19.08,257.96
"97","Td78","3D",76,708.48,343.01
"98","Td78","3D",130,563.22,623.83
"99","Td78","3D",16,184.05,69.28
"100","Td78","3D",51,113.58,239.37
"101","Td78","3D",74,352.26,337.95
"102","Td78","3D",8,12.55,45.53
"103","Td78","3D",83,52.71,410.6
"104","Td78","3D",1,323.16,4.483
"105","Td78","3D",58,445.93,262.75
"106","Td78","3D",23,6.044,112.49
"107","Td78","3D",119,76.32,567.62
"108","Td78","3D",79,257.49,386.98
"109","Td78","3D",44,243.01,200.6
"110","Td78","3D",15,581.42,67.39
"111","Td78","3D",21,645.7,101.07
"112","Td78","3D",6,648.3,41.11
"113","Td78","3D",87,300.64,449.31
"114","Td78","3D",64,767.84,283.27
"115","Td78","3D",127,291.39,608.49
"116","Td78","3D",30,767.24,136.2
"117","Td78","3D",126,380.91,589
"118","Td78","3D",66,512.37,294.91
"119","Td78","3D",109,5.182,530.67
"120","Td78","3D",4,829.4,21.83
"121","Td78","3D",129,551.12,620.91
"122","Td78","3D",85,433.76,424.49
"123","Td78","3D",7,524.47,38.71
"124","Td78","3D",88,720.48,467.91
"125","Td78","3D",49,125.48,230.41
"126","Td78","3D",89,712.89,471.37
"127","Td78","3D",13,362.3,55.66
"128","Td78","3D",81,550.71,399.96
"129","Td78","3D",103,627.99,506.54
"130","Td78","3D",59,457.89,266.17
"131","Td78","3D",50,759.63,237.17
"132","Td78","3D",73,854.01,327.22
"133","Td78","3D",108,12.9,526.25
"134","Td78","3D",10,3.831,51.79
"135","Td78","3D",114,66.68,542.85
