"","Brain","Pdgfr_Intensity","Gfap_Intensity"
"1","Td12_7D_MCAO_Cortex","2661.13467037506","757.918102322011"
"1","Td12_7D_MCAO_Perilesion","1314.46788720592","1204.92889660543"
"1","Td12_7D_MCAO_Striatum","827.887488896776","5541.77747669679"
"1","Td14_7D_MCAO_Cortex","1352.65080973189","2671.48534922048"
"1","Td14_7D_MCAO_Perilesion","872.495197359467","2380.30243163117"
"1","Td14_7D_MCAO_Striatum","1376.73739116709","4822.80398991661"
"1","Td16_7D_MCAO_Cortex","3506.12247532415","1213.6577799199"
"1","Td16_7D_MCAO_Perilesion","775.333250003603","3151.89821197117"
"1","Td16_7D_MCAO_Striatum","853.904121121171","4734.5178992857"
"1","Td18_7D_MCAO_Cortex","2619.28781534496","151.598651691991"
"1","Td18_7D_MCAO_Perilesion","842.546731497029","3875.71496488633"
"1","Td18_7D_MCAO_Striatum","953.959458632279","5343.86139216135"
"1","Td20_14D_MCAO_Cortex","5511.81265739785","712.656628370589"
"1","Td20_14D_MCAO_Perilesion","748.725879645946","3122.52724806889"
"1","Td20_14D_MCAO_Striatum","1354.52478073445","6957.71424638129"
"1","Td21_14D_MCAO_Cortex","4884.21387079779","5311.6962766218"
"1","Td21_14D_MCAO_Perilesion","1116.58945155492","3442.81747562768"
"1","Td21_14D_MCAO_Striatum","1986.80154860996","7391.57525287941"
"1","Td22_14D_MCAO_Cortex","7321.64173563012","2597.34217995817"
"1","Td22_14D_MCAO_Perilesion","1955.09266602808","9767.03620657994"
"1","Td22_14D_MCAO_Striatum","1465.4315982181","4303.65256718075"
"1","Td23_7D_MCAO_Cortex","1643.53772829894","2024.77070651262"
"1","Td23_7D_MCAO_Perilesion","1202.08054649542","6628.37371764727"
"1","Td23_7D_MCAO_Striatum","1591.53186541101","4917.74925608481"
"1","Td25_14D_MCAO_Cortex","6435.37715610869","4448.13269030233"
"1","Td25_14D_MCAO_Perilesion","795.743766404826","2903.61821145591"
"1","Td25_14D_MCAO_Striatum","2897.310197623","9761.57709024724"
"1","Td26_14D_MCAO_Cortex","4936.40551225486","711.248821662793"
"1","Td26_14D_MCAO_Perilesion","1243.19636383871","6486.60959907683"
"1","Td26_14D_MCAO_Striatum","1450.74955852987","7489.91632543328"
"1","Td27_14D_MCAO_Cortex","6481.70912844491","3202.92518700789"
"1","Td27_14D_MCAO_Perilesion","929.199430723837","5262.64768491773"
"1","Td27_14D_MCAO_Striatum","2484.48433739234","7605.04866666199"
"1","Td28_14D_MCAO_Cortex","10565.9358863242","1599.11564481972"
"1","Td28_14D_MCAO_Perilesion","1197.65365633493","4453.24739820312"
"1","Td28_14D_MCAO_Striatum","836.139976710191","5734.73782006283"
"1","Td33_30D_MCAO_Cortex","12324.3723601917","2000.37955777528"
"1","Td33_30D_MCAO_Perilesion","922.689437678322","1151.24553691974"
"1","Td33_30D_MCAO_Striatum","3848.29156671334","11688.027778114"
"1","Td36_30D_MCAO_Cortex","12343.8690711344","4383.33309872937"
"1","Td36_30D_MCAO_Perilesion","1214.84066078208","3483.10958685772"
"1","Td36_30D_MCAO_Striatum","7180.23226776739","11419.2661066019"
"1","Td39_30D_MCAO_Cortex","10898.770872412","5907.61318957393"
"1","Td39_30D_MCAO_Perilesion","1570.41405461815","7548.11916574531"
"1","Td39_30D_MCAO_Striatum","2098.67585227237","10695.6612712194"
"1","Td40_30D_MCAO_Cortex","12720.5759830262","1553.65813533144"
"1","Td40_30D_MCAO_Perilesion","771.753075695069","2476.39448464791"
"1","Td40_30D_MCAO_Striatum","6834.10290776872","9896.79347013914"
"1","Td43_30D_MCAO_Cortex","8876.29931826114","459.332971714213"
"1","Td43_30D_MCAO_Perilesion","1161.16840671077","3102.09953909594"
"1","Td43_30D_MCAO_Striatum","2450.34992603209","3991.10025830985"
"1","Td45_30D_MCAO_Cortex","1262.00397451887","1279.6543797569"
"1","Td45_30D_MCAO_Perilesion","1050.92703602142","1042.38291377735"
"1","Td45_30D_MCAO_Striatum","875.650243560348","3039.51671082006"
"1","Td46_30D_MCAO_Cortex","6158.75862120178","6623.24600324773"
"1","Td46_30D_MCAO_Perilesion","1290.6217922601","455.51357373886"
"1","Td46_30D_MCAO_Striatum","1922.03667574788","5319.32079998645"
"1","Td47_30D_MCAO_Cortex","9648.92043394951","4898.11609814994"
"1","Td47_30D_MCAO_Perilesion","1296.78189334236","1635.80983931422"
"1","Td47_30D_MCAO_Striatum","4729.82779367738","9122.41296391965"
"1","Td48_30D_MCAO_Cortex","16626.9985792044","1666.7985428619"
"1","Td48_30D_MCAO_Perilesion","1003.25944719394","2520.7947454705"
"1","Td48_30D_MCAO_Striatum","2245.80864921147","3720.15631205258"
"1","Td49_30D_MCAO_Cortex","7948.0146040904","10639.2159373039"
"1","Td49_30D_MCAO_Perilesion","1216.07064033938","1857.8857005185"
"1","Td49_30D_MCAO_Striatum","8553.37169487781","10005.4969101573"
"1","Td50_30D_MCAO_Cortex","7299.33692459629","3032.75676092904"
"1","Td50_30D_MCAO_Perilesion","862.859439004715","4459.53096198476"
"1","Td50_30D_MCAO_Striatum","806.053342559411","3572.08902334223"
"1","Td52_30D_MCAO_Cortex","9099.88165676655","13976.7322502045"
"1","Td52_30D_MCAO_Perilesion","1466.79214121689","3137.06989740029"
"1","Td52_30D_MCAO_Striatum","1877.08814537826","5656.51674302327"
"1","Td53_14D_MCAO_Cortex","7769.82997045107","338.554682808326"
"1","Td53_14D_MCAO_Perilesion","1029.43744216964","7543.58256803002"
"1","Td53_14D_MCAO_Striatum","3175.89970377863","12998.4436152001"
"1","Td55_14D_MCAO_Cortex","5883.72905808767","625.477503472383"
"1","Td55_14D_MCAO_Perilesion","878.12894536563","2980.57228571219"
"1","Td55_14D_MCAO_Striatum","1584.36634197335","6809.40427826844"
"1","Td56_14D_MCAO_Cortex","5271.28093928482","3545.06274031775"
"1","Td56_14D_MCAO_Perilesion","813.201090416482","5294.27793239897"
"1","Td56_14D_MCAO_Striatum","1938.91548921379","8623.95889332915"
"1","Td57_14D_MCAO_Cortex","8960.50421422574","248.902894839604"
"1","Td57_14D_MCAO_Perilesion","1750.90507518822","4271.53170516933"
"1","Td57_14D_MCAO_Striatum","3492.82821518452","10916.140229143"
"1","Td58_14D_MCAO_Cortex","4463.21955329825","8231.97230703207"
"1","Td58_14D_MCAO_Perilesion","1047.30955975035","5599.72772672971"
"1","Td58_14D_MCAO_Striatum","1536.23399043416","6837.08534204212"
"1","Td59_7D_MCAO_Cortex","5847.4539990336","50.4816172578441"
"1","Td59_7D_MCAO_Perilesion","788.481056732152","6384.15307225065"
"1","Td59_7D_MCAO_Striatum","2006.35571451186","6735.62275586123"
"1","Td60_7D_MCAO_Cortex","6118.94742282689","1885.48961284782"
"1","Td60_7D_MCAO_Perilesion","971.233062375785","9230.93684501507"
"1","Td60_7D_MCAO_Striatum","1492.58245167227","7538.80628132774"
"1","Td61_7D_MCAO_Cortex","1428.32747303081","34.6261205583226"
"1","Td61_7D_MCAO_Perilesion","1001.87104923476","9690.36619890092"
"1","Td61_7D_MCAO_Striatum","1498.18484105781","5866.48783268144"
"1","Td62_7D_MCAO_Cortex","4243.28635513026","127.553698050008"
