"Ki67","Pdgfrb","Colocalized","MouseID","DPI","DPI_Cont","Percentage_Pdgfrb","Percentage_Ki67"
561,1622,46,"Td010","7D",7,2.83600493218249,8.19964349376114
488,1680,38,"Td011","7D",7,2.26190476190476,7.78688524590164
397,2660,57,"Td020","14D",14,2.14285714285714,14.3576826196474
323,2301,22,"Td021","14D",14,0.956106040851804,6.81114551083591
493,2268,59,"Td022","14D",14,2.60141093474427,11.9675456389452
1753,3017,254,"Td023","7D",7,8.4189592310242,14.4894466628637
475,2005,54,"Td025","14D",14,2.69326683291771,11.3684210526316
800,2734,95,"Td026","14D",14,3.474762253109,11.875
367,3251,41,"Td027","14D",14,1.26115041525684,11.1716621253406
532,3562,89,"Td028","14D",14,2.49859629421673,16.7293233082707
62,1939,16,"Td031","30D",30,0.825167612171222,25.8064516129032
181,3821,37,"Td033","30D",30,0.968332897147344,20.4419889502762
115,2074,17,"Td039","30D",30,0.819672131147541,14.7826086956522
215,2774,42,"Td040","30D",30,1.51405912040375,19.5348837209302
150,1919,21,"Td043","30D",30,1.09431995831162,14
70,1396,7,"Td045","30D",30,0.501432664756447,10
111,1441,11,"Td046","30D",30,0.763358778625954,9.90990990990991
185,2469,30,"Td047","30D",30,1.21506682867558,16.2162162162162
173,2611,35,"Td048","30D",30,1.34048257372654,20.2312138728324
252,3232,55,"Td049","30D",30,1.70173267326733,21.8253968253968
132,2266,23,"Td050","30D",30,1.01500441306267,17.4242424242424
128,3228,16,"Td052","30D",30,0.495662949194548,12.5
911,4118,128,"Td053","14D",14,3.10830500242836,14.0504939626784
375,2652,45,"Td055","14D",14,1.69683257918552,12
738,2385,74,"Td056","14D",14,3.10272536687631,10.0271002710027
392,2977,51,"Td057","14D",14,1.71313402754451,13.0102040816327
422,2903,45,"Td058","14D",14,1.55012056493283,10.6635071090047
2120,3322,200,"Td059","7D",7,6.02046959662854,9.43396226415094
482,3254,45,"Td05","7D",7,1.38291333743085,9.33609958506224
783,2578,76,"Td060","7D",7,2.94802172226532,9.70625798212005
2880,2590,217,"Td061","7D",7,8.37837837837838,7.53472222222222
1199,2155,97,"Td062","7D",7,4.50116009280742,8.09007506255213
1779,3787,228,"Td063","7D",7,6.0205967784526,12.8161888701518
1163,2376,97,"Td064a","7D",7,4.08249158249158,8.34049871023216
2100,3264,243,"Td064b","7D",7,7.44485294117647,11.5714285714286
46,2484,2,"Td065","0D",0,0.0805152979066023,4.34782608695652
93,2522,4,"Td066","0D",0,0.158604282315623,4.3010752688172
101,1928,9,"Td067","0D",0,0.466804979253112,8.91089108910891
122,2082,11,"Td068","0D",0,0.528338136407301,9.01639344262295
1781,1702,171,"Td071","3D",3,10.0470035252644,9.60134755755194
934,1225,56,"Td072","3D",3,4.57142857142857,5.99571734475375
989,1580,58,"Td073","3D",3,3.67088607594937,5.86450960566228
1029,1155,57,"Td074","3D",3,4.93506493506494,5.53935860058309
1218,1209,39,"Td075","3D",3,3.2258064516129,3.20197044334975
2323,1923,240,"Td076","3D",3,12.4804992199688,10.3314679294016
1369,1604,83,"Td077","3D",3,5.17456359102244,6.06281957633309
2149,1988,237,"Td078","3D",3,11.9215291750503,11.0283852954863
1606,1816,100,"Td079","3D",3,5.50660792951542,6.2266500622665
1252,4170,139,"Td08","7D",7,3.33333333333333,11.1022364217252
1127,2969,85,"Td09","7D",7,2.86291680700573,7.54214729370009
