"AnimalID","DPI","Condition","Lesion","Region","Pdgfrb_Perivascular","Pdgfrb_Total","Pdgfrb_Parenchymal","DPI2"
"Td102","30D","MCAO","L2","Ctx",473,532,59,30
"Td102","30D","MCAO","L2","Peri",114,121,7,30
"Td102","30D","MCAO","L2","Str",232,302,70,30
"Td103","30D","MCAO","L2","Ctx",178,199,21,30
"Td103","30D","MCAO","L2","Peri",99,103,4,30
"Td103","30D","MCAO","L2","Str",189,216,27,30
"Td104","30D","MCAO","L2","Ctx",260,296,36,30
"Td104","30D","MCAO","L2","Peri",127,134,7,30
"Td104","30D","MCAO","L2","Str",123,155,32,30
"Td105","30D","MCAO","L2","Ctx",131,141,10,30
"Td105","30D","MCAO","L2","Peri",87,95,8,30
"Td105","30D","MCAO","L2","Str",171,218,47,30
"Td106","30D","MCAO","L2","Ctx",160,182,22,30
"Td106","30D","MCAO","L2","Peri",81,86,5,30
"Td106","30D","MCAO","L2","Str",132,180,48,30
"Td107","30D","MCAO","L2","Ctx",151,212,61,30
"Td107","30D","MCAO","L2","Peri",73,81,8,30
"Td107","30D","MCAO","L2","Str",269,347,78,30
"Td108","30D","MCAO","L2","Ctx",93,98,5,30
"Td108","30D","MCAO","L2","Peri",100,110,10,30
"Td108","30D","MCAO","L2","Str",137,190,53,30
"Td109","30D","MCAO","L2","Ctx",227,251,24,30
"Td109","30D","MCAO","L2","Peri",111,117,6,30
"Td109","30D","MCAO","L2","Str",250,346,96,30
"Td110","30D","MCAO","L2","Ctx",93,118,25,30
"Td110","30D","MCAO","L2","Peri",89,100,11,30
"Td110","30D","MCAO","L2","Str",176,234,58,30
"Td111","30D","MCAO","L2","Peri",96,98,2,30
"Td111","30D","MCAO","L2","Str",70,87,17,30
"Td114","14D","MCAO","L2","Ctx",101,116,15,14
"Td114","14D","MCAO","L2","Peri",41,41,0,14
"Td114","14D","MCAO","L2","Str",36,36,0,14
"Td12","7D","MCAO","L1","Ctx",188,233,45,7
"Td12","7D","MCAO","L1","Peri",66,70,4,7
"Td12","7D","MCAO","L1","Str",24,33,9,7
"Td16","7D","MCAO","L1","Ctx",368,572,204,7
"Td16","7D","MCAO","L1","Peri",93,102,9,7
"Td16","7D","MCAO","L1","Str",177,184,7,7
"Td18","7D","MCAO","L1","Ctx",284,439,155,7
"Td18","7D","MCAO","L1","Peri",89,110,21,7
"Td18","7D","MCAO","L1","Str",115,141,26,7
"Td20","14D","MCAO","L1","Ctx",398,525,127,14
"Td20","14D","MCAO","L1","Peri",85,85,0,14
"Td20","14D","MCAO","L1","Str",128,157,29,14
"Td21","14D","MCAO","L1","Ctx",337,576,239,14
"Td21","14D","MCAO","L1","Peri",112,115,3,14
"Td21","14D","MCAO","L1","Str",169,188,19,14
"Td22","14D","MCAO","L1","Ctx",375,743,368,14
"Td22","14D","MCAO","L1","Peri",84,93,9,14
"Td22","14D","MCAO","L1","Str",150,186,36,14
"Td23","7D","MCAO","L1","Ctx",223,278,55,7
"Td23","7D","MCAO","L1","Peri",114,115,1,7
"Td23","7D","MCAO","L1","Str",107,140,33,7
"Td25","14D","MCAO","L1","Ctx",389,794,405,14
"Td25","14D","MCAO","L1","Peri",92,97,5,14
"Td25","14D","MCAO","L1","Str",335,497,162,14
"Td26","14D","MCAO","L1","Ctx",402,769,367,14
"Td26","14D","MCAO","L1","Peri",73,76,3,14
"Td26","14D","MCAO","L1","Str",365,675,310,14
"Td27","14D","MCAO","L1","Ctx",253,404,151,14
"Td27","14D","MCAO","L1","Peri",102,103,1,14
