"MouseID","DPI","Condition","PdgfrbHigh_Intensity","PdgfrbLow_Intensity","Gfap_Intensity","Centroid.Y","Tissue_Area","Tisue_Area","Pdgfrb_Total","Pdgfrb_Neg","Pdgfrb_Pos","Gfap_Area","Gfap_MeanInt","Gfap_sdInt","Gfap_IntDen","Pdgfrb_Area","Pdgfbr_MeanInt","Pdgfrb_sdInt","Pdgfrb_IntDen"
"Td12",7,"MCAO",29.9122972087651,14.7068794609762,215.950167904391,3573.2,14.24422,14244220,1074,369,705,0.79007,44,22,345.53145,0.477576,46,24,218.00793
"Td14",7,"MCAO",66.3386948226277,40.6714845410829,316.765363682329,4068.1,15.510598,15510598,2812,1046,1766,1.439629,45,24,643.50724,1.050141,54,36,567.51744
"Td16",7,"MCAO",96.913516959512,26.8097205794538,169.553367988978,3092.9,13.224364,13224364,2732,598,2134,0.630846,38,16,241.47135,1.210625,50,31,609.49456
"Td18",7,"MCAO",55.467889318251,23.2494920690314,214.731263828582,3024.2,13.71403,13714030,1807,522,1285,0.835833,42,19,347.35151,0.773663,47,25,359.7724
"Td20",14,"MCAO",157.57657642843,20.7898730741162,194.145430092131,2896.2,8.884908,8884908,3346,410,2936,0.675368,44,22,297.28748,1.34395,55,39,744.78944
"Td21",14,"MCAO",101.249493727409,31.1136676510742,337.047389705115,3117.3,9.239494,9239494,2543,597,1946,1.460502,48,26,704.25858,0.913425,56,39,510.16428
"Td22",14,"MCAO",98.579305103324,30.2626045448921,416.675413323328,2948,10.81318,10813180,2289,503,1786,1.382393,45,24,625.29253,1.006835,52,33,521.54677
"Td23",7,"MCAO",67.077655720974,38.4654353428184,332.356520154205,2910.5,12.5287,12528700,2229,837,1392,1.797427,53,33,949.06331,0.843202,57,39,476.45596
"Td25",14,"MCAO",231.037874160051,25.4656251929697,402.699938284681,3010.2,8.77009,8770090,3892,392,3500,1.396881,51,30,716.83616,1.826966,59,40,1077.65676
"Td26",14,"MCAO",217.681343602958,13.5976939241392,320.550854159489,3029.8,8.780221,8780221,3911,248,3663,1.452877,51,31,747.74737,1.990107,57,41,1130.78199
"Td27",14,"MCAO",203.602354407967,23.9407555131116,389.725838640432,3054.2,11.312977,11312977,4296,461,3835,1.787792,53,31,942.30422,2.070815,59,40,1217.46041
"Td28",14,"MCAO",231.058801750432,28.003028080995,263.255520027131,2796.8,8.90517,8905170,3831,423,3408,0.866696,44,22,382.66486,1.810085,64,43,1152.18438
"Td33",30,"MCAO",128.719490841225,25.232853043317,324.087783391801,2972.4,10.060107,10060107,2893,486,2407,1.609787,54,35,864.22822,1.706785,61,41,1047.358
"Td36",30,"MCAO",187.808679735033,25.9822465428641,403.850036815855,2829.6,5.865863,5865863,2090,246,1844,1.120346,58,42,654.11408,1.573621,94,73,1481.19034
"Td39",30,"MCAO",95.4708620099332,34.2003214541913,359.768045827305,2655.7,8.1419665,8141966.5,2152,523,1629,1.552943,51,32,789.80634,0.990494,64,50,638.8659
"Td40",30,"MCAO",147.08779961565,31.4473429693324,341.346613685299,3176.5,7.7468565,7746856.5,2498,457,2041,1.387734,55,37,766.63926,1.176646,74,53,869.27708
"Td43",30,"MCAO",224.158576870545,24.1646125420729,176.942195785047,2850.5,7.2166665,7216666.5,3123,279,2844,0.565929,51,32,288.1287,1.770841,71,49,1261.00373
"Td45",30,"MCAO",61.6483733058396,41.68187887818,133.061382572651,2824,8.310817,8310817,1421,601,820,0.29937,43,23,128.61461,0.555242,63,49,347.95278
"Td46",30,"MCAO",130.24587012081,22.545166256574,242.428444385449,2914.1,8.368226,8368226,2250,357,1893,0.811258,51,34,416.76022,1.369165,67,54,910.68251
"Td48",30,"MCAO",184.867911165781,29.370012365261,216.195924355393,2962.5,7.2774525,7277452.5,2626,343,2283,0.679592,50,31,336.55554,1.679578,94,70,1581.62989
"Td49",30,"MCAO",276.120701001349,26.1912382226946,243.082080236774,3344.5,6.706738,6706738,3531,308,3223,0.82203,49,33,402.08791,1.854619,72,51,1344.50368
"Td50",30,"MCAO",108.72309771049,24.5187398187317,379.129771139931,3187.9,8.614748,8614748,1903,322,1581,1.338112,51,32,678.29132,1.10141,72,58,797.92373
"Td52",30,"MCAO",131.782824975472,26.8300362225513,421.389392436541,3341.1,9.371198,9371198,2417,448,1969,1.428618,54,36,767.42201,1.232274,66,50,808.4734
