MouseID,DPI,Condition,PdgfrHigh_Intensity,PdgfrLow_Intensity,Gfap_Intensity,Tissue_Area,Gfap_Num,Pdgfr_Total,Pdgfr_NonReact,Pdgfr_React,Pdgfr_PercPositive,Gfap_Area,Gfap_MeanInt,Gfap_sdInt,Gfap_IntDen,Pdgfr_Area,Pdgfr_MeanInt,Pdgfr_sdInt,Pdgfr_IntDen
Td12,7,MCAO,29.27984692,15.38855591,216.0220524,14.24422,5206,1074,369,705,65.64,0.79007,44,22,345.53145,0.477576,46,24,218.00793
Td14,7,MCAO,67.19403006,39.67792273,316.0551776,15.510598,8318,2812,1046,1766,62.8,1.439629,45,24,643.50724,1.050141,54,36,567.51744
Td16,7,MCAO,96.08746905,27.27294704,169.0561485,13.224364,3745,2732,598,2134,78.11,0.630846,38,16,241.47135,1.210625,50,31,609.49456
Td18,7,MCAO,54.1473381,24.67584007,214.8454768,13.71403,4931,1807,522,1285,71.11,0.835833,42,19,347.35151,0.773663,47,25,359.7724
Td20,14,MCAO,154.6344551,23.9048433,194.1201338,8.884908,3649,3346,410,2936,87.75,0.675368,44,22,297.28748,1.34395,55,39,744.78944
Td21,14,MCAO,100.8789822,31.40768311,337.476595,9.239494,6529,2543,597,1946,76.52,1.460502,48,26,704.25858,0.913425,56,39,510.16428
Td22,14,MCAO,100.7390271,28.31522487,417.1701258,10.81318,7411,2289,503,1786,78.03,1.382393,45,24,625.29253,1.006835,52,33,521.54677
Td23,7,MCAO,64.68854238,40.82102747,332.0615367,12.5287,7026,2229,837,1392,62.45,1.797427,53,33,949.06331,0.843202,57,39,476.45596
Td25,14,MCAO,231.4046065,25.49148918,402.9768575,8.77009,6119,3892,392,3500,89.93,1.396881,51,30,716.83616,1.826966,59,40,1077.65676
Td26,14,MCAO,217.5792381,13.96863444,320.6867008,8.780221,5423,3911,248,3663,93.66,1.452877,51,31,747.74737,1.990107,57,41,1130.78199
Td27,14,MCAO,205.0664381,22.23229323,389.2768677,11.312977,7378,4296,461,3835,89.27,1.787792,53,31,942.30422,2.070815,59,40,1217.46041
Td28,14,MCAO,231.4582168,27.58030154,263.7704328,8.90517,3921,3831,423,3408,88.96,0.866696,44,22,382.66486,1.810085,64,43,1152.18438
Td33,30,MCAO,128.6822849,25.7792441,325.3961018,10.060107,6094,2893,486,2407,83.2,1.609787,54,35,864.22822,1.706785,61,41,1047.358
Td36,30,MCAO,189.0199526,25.03847364,403.4888457,5.865863,3963,2090,246,1844,88.23,1.120346,58,42,654.11408,1.573621,94,73,1481.19034
Td39,30,MCAO,98.1581083,30.95940335,357.7131062,8.1419665,5970,2152,523,1629,75.7,1.552943,51,32,789.80634,0.990494,64,50,638.8659
Td40,30,MCAO,145.0988826,32.95756331,340.8468344,7.7468565,4785,2498,457,2041,81.71,1.387734,55,37,766.63926,1.176646,74,53,869.27708
Td43,30,MCAO,228.5941774,19.53932163,177.1247449,7.2166665,2230,3123,279,2844,91.07,0.565929,51,32,288.1287,1.770841,71,49,1261.00373
Td45,30,MCAO,57.54178663,46.00422027,132.9010808,8.310817,1841,1421,601,820,57.71,0.29937,43,23,128.61461,0.555242,63,49,347.95278
Td46,30,MCAO,128.2667193,24.1092672,241.499008,8.368226,3574,2250,357,1893,84.13,0.811258,51,34,416.76022,1.369165,67,54,910.68251
Td48,30,MCAO,188.1322655,26.12948132,216.3847672,7.2774525,2660,2626,343,2283,86.94,0.679592,50,31,336.55554,1.679578,94,70,1581.62989
Td49,30,MCAO,272.6569403,29.42094965,243.0649386,6.706738,2848,3531,308,3223,91.28,0.82203,49,33,402.08791,1.854619,72,51,1344.50368
Td50,30,MCAO,111.7249508,21.06175728,377.5773308,8.614748,5441,1903,322,1581,83.08,1.338112,51,32,678.29132,1.10141,72,58,797.92373
Td52,30,MCAO,128.1030544,30.64477585,420.47789,9.371198,6439,2417,448,1969,81.46,1.428618,54,36,767.42201,1.232274,66,50,808.4734
Td53,14,MCAO,243.6155588,31.20746145,460.5875932,9.668374,7468,4458,468,3990,89.5,1.765582,52,31,920.43771,2.211974,61,41,1339.08974
Td55,14,MCAO,134.6531867,33.36748564,324.208903,9.867618,5490,2841,567,2274,80.04,1.019126,46,25,472.21441,1.203433,57,39,684.86385
Td56,14,MCAO,192.3577683,16.59647611,457.6708794,8.648518,7964,3626,289,3337,92.03,2.202593,57,35,1244.98104,1.736075,56,39,979.94912
Td57,14,MCAO,249.8168353,26.98638653,410.0388673,7.851544,5331,3594,344,3250,90.43,1.121633,48,26,542.19412,1.754247,62,44,1093.11808
Td58,14,MCAO,91.93323015,38.4489789,474.58665,10.667969,8312,2271,695,1576,69.4,1.649401,52,31,853.84966,0.861609,55,38,477.57715
Td59,7,MCAO,174.8971795,23.15091282,351.1065564,12.798861,7501,4227,504,3723,88.08,1.809454,60,42,1077.83661,2.029988,50,31,1006.36623
Td60,7,MCAO,140.1278007,30.60872415,293.436815,13.737669,6642,3862,646,3216,83.27,1.261385,48,27,603.47466,1.817274,52,33,941.53048
Td61,7,MCAO,102.2960712,15.78430103,313.0984303,13.470885,7264,2741,344,2397,87.45,1.709549,51,32,871.25123,1.435613,48,29,688.67827
Td62,7,MCAO,74.65416698,21.98606236,236.596283,14.281367,5772,2356,560,1796,76.23,1.343361,46,24,613.59249,1.080632,45,25,482.43627
Td63,7,MCAO,114.5645742,22.0371706,316.9189193,16.061051,8835,3808,607,3201,84.06,2.284554,52,32,1195.27073,1.850957,49,30,910.23675
Td64,7,MCAO,81.35734373,18.49030539,229.3678359,13.744423,5226,2267,422,1845,81.39,0.949338,46,25,437.85518,0.964597,46,26,440.6327
Td65,0,SHAM,28.64944586,43.70668303,29.87030293,14.781165,758,1782,1100,682,38.27,0.156052,49,32,75.95568,0.455496,51,33,234.07736
Td66,0,SHAM,17.14313026,46.18468882,39.6092416,15.004047,1014,1620,1158,462,28.52,0.209487,46,28,97.16228,0.367166,50,31,184.26464
