"","Brain","Low","High"
"1","Td12_7D_MCAO_Ctx","316"
"1","Td12_7D_MCAO_Peri","156","0"
"1","Td12_7D_MCAO_Str","35","63"
"1","Td14_7D_MCAO_Ctx","155","5"
"1","Td14_7D_MCAO_Peri","91","12"
"1","Td14_7D_MCAO_Str","114","49"
"1","Td16_7D_MCAO_Ctx","410","6"
"1","Td16_7D_MCAO_Peri","69","23"
"1","Td16_7D_MCAO_Str","74","27"
"1","Td18_7D_MCAO_Ctx","311"
"1","Td18_7D_MCAO_Peri","72","28"
"1","Td18_7D_MCAO_Str","52","61"
"1","Td20_14D_MCAO_Ctx","604","7"
"1","Td20_14D_MCAO_Peri","68","20"
"1","Td20_14D_MCAO_Str","50","111"
"1","Td21_14D_MCAO_Ctx","488","49"
"1","Td21_14D_MCAO_Peri","95","37"
"1","Td21_14D_MCAO_Str","88","148"
"1","Td22_14D_MCAO_Ctx","573","143"
"1","Td22_14D_MCAO_Peri","232"
"1","Td22_14D_MCAO_Str","109","65"
"1","Td23_7D_MCAO_Ctx","178","16"
"1","Td23_7D_MCAO_Peri","39","103"
"1","Td23_7D_MCAO_Str","143","46"
"1","Td25_14D_MCAO_Ctx","507","118"
"1","Td25_14D_MCAO_Peri","68","26"
"1","Td25_14D_MCAO_Str","64","280"
"1","Td26_14D_MCAO_Ctx","566","17"
"1","Td26_14D_MCAO_Peri","37","110"
"1","Td26_14D_MCAO_Str","31","141"
"1","Td27_14D_MCAO_Ctx","671","98"
"1","Td27_14D_MCAO_Peri","72","38"
"1","Td27_14D_MCAO_Str","106","189"
"1","Td28_14D_MCAO_Ctx","930","147"
"1","Td28_14D_MCAO_Peri","91","51"
"1","Td28_14D_MCAO_Str","39","60"
"1","Td33_30D_MCAO_Ctx","1329","125"
"1","Td33_30D_MCAO_Peri","109"
"1","Td33_30D_MCAO_Str","457"
"1","Td36_30D_MCAO_Ctx","640","340"
"1","Td36_30D_MCAO_Peri","114","29"
"1","Td36_30D_MCAO_Str","21","814"
"1","Td39_30D_MCAO_Ctx","383","390"
"1","Td39_30D_MCAO_Peri","14","172"
"1","Td39_30D_MCAO_Str","1","248"
"1","Td40_30D_MCAO_Ctx","759","27"
"1","Td40_30D_MCAO_Peri","90","1"
"1","Td40_30D_MCAO_Str","255","555"
"1","Td43_30D_MCAO_Ctx","713","2"
"1","Td43_30D_MCAO_Peri","92","45"
"1","Td43_30D_MCAO_Str","126","138"
"1","Td45_30D_MCAO_Ctx","143","0"
"1","Td45_30D_MCAO_Peri","122","1"
"1","Td45_30D_MCAO_Str","100","4"
